장애학생	장애학생/NNG
취업	취업/NNG
위해	위하/VV+여/EC
‘워크투게더’	‘/SL+워크/NNG+투/XSN+게더/JKB+’/SN

한국장애인고용공단	한국장애인고용공단/NNP
경기지사,	경기/NNP+지사/NNG+,/SP
인천지사,	인천/NNP+지사/NNG+,/SP
경기북부지사와	경기/NNP+북부지사/NNG+와/JC
경기직업전환교육지원센터는	경기직업전환교육지원센터/NNG+는/JX
7일	7/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
경기도광주하남교육지원청에서	경기도광주하남/NNP+교육지원/NNG+청/XSN+에서/JKB
‘장애학생의	‘/SN+장애학생/NNG+의/JKG
진로·직업교육과	진로/NNG+·/SP+직업교육/NNG+과/JC
고용증진을	고용증진/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
업무협약’을	업무협약’/NNG+을/JKO
체결했다	체결하/VV+였/EP+다/EC

장애학생에	장애학생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
서비스는	서비스/NNG+는/JX
그동안	그동안/NNG
각	각/MM
정부부처별(고용노동부,	정부부처/NNG+별/XSN+(/SS+고용노동부/NNG+,/SP
보건복지부,	보건복지부/NNG+,/SP
교육과학기술부	교육과학기술부/NNG
등)로	등/NNB+)/SS+로/JKB
나뉘어	나뉘/VV+어/EC
제공되어	제공되/VV+어/EC
기관	기관/NNG
간	간/NNB
연계가	연계/NNG+가/JKS
미흡하고	미흡하/VA+고/EC
효율적이지	효율적/NNG+이/VCP+지/EC
못하다는	못하/VX+다는/ETM
지적이	지적/NNG+이/JKS
많았다	많/VA+았/EP+다/EC

이에	이/NP+에/JKB
이번	이번/NNG
협약은	협약/NNG+은/JX
기관	기관/NNG
간	간/NNB
협력을	협력/NNG+을/JKO
통해	통하/VV+여/EC
장애학생에게	장애학생/NNG+에게/JKB
체계적으로	체계적/NNG+으로/JKB
진로·직업교육과	진로/NNG+·/SP+직업교육/NNG+과/JC
고용서비스를	고용서비스/NNG+를/JKO
제공하기	제공하/VV+기/ETN
위해	위하/VV+여/EC
추진됐다	추진되/VV+었/EP+다/EF

이번	이번/NNG
협약을	협약/NNG+을/JKO
통해	통하/VV+여/EC
공단은	공단/NNG+은/JX
장애학생의	장애학생/NNG+의/JKG
진로설계	진로설계/NNG
및	및/MAG
사업장	사업장/NNG
현장체험	현장체험/NNG
실시	실시/NNG
장애학생의	장애학생/NNG+의/JKG
효율적인	효율적/NNG+이/VCP+ㄴ/ETM
취업	취업/NNG
및	및/MAG
직업생활	직업생활/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
협의체	협의/NNG+체/XSN
구성	구성/NNG
등을,	등/NNB+을/JKO+,/SP
경기직업전환센터에서는	경기직업전환센터/NNG+에서/JKB+는/JX
장애학생의	장애학생/NNG+의/JKG
진로·직업교육에	진로/NNG+·/SP+직업교육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정보	정보/NNG
제공	제공/NNG
취업	취업/NNG
후	후/NNG
적응지도	적응지도/NNG
등을	등/NNB+을/JKO
실시하기로	실시하/VV+기/ETN+로/JKB
합의했다	합의하/VV+였/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
서비스는	서비스/NNG+는/JX
향후	향후/NNG
공단	공단/NNG
경기지사의	경기/NNP+지사/NNG+의/JKG
‘워크투게더센터‘를	‘/SL+워크투게더센터/NNG+‘/SN+를/JKO
중심으로	중심/NNG+으로/JKB
제공될	제공되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

‘워크투게더센터’는	‘/SL+워크투게더센터/NNG+’/SL+는/JX
정부의	정부/NNG+의/JKG
‘장애인고용	‘/SL+장애인고/NNG+용/XSN
확충을	확충/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
종합대책’의	종합대책/NNG+’/SL+의/JKG
일환으로	일환/NNG+으로/JKB
장애학생에	장애학생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
고용·교육·복지서비스	고용/NNG+·/SP+교육/NNG+·/SP+복지서비스/NNG
연계체계	연계체계/NNG
마련을	마련/NNG+을/JKO
위해	위하/VV+여/EC
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
1일	1/SN+일/NNB
설치된	설치되/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

김현우	김현우/NNP
공단	공단/NNG
경기지사장은	경기지사장/NNG+은/JX
“이번	“/SN+이번/NNG
협약은	협약/NNG+은/JX
장애학생의	장애학생/NNG+의/JKG
취업관련	취업관련/NNG
유관기관	유관기관/NNG
간에	간/NNB+에/JKB
협조체계를	협조체계/NNG+를/JKO
구축한	구축하/VV+ㄴ/ETM
데	데/NNB
의의가	의의/NNG+가/JKS
있다”며	있/VA+다/EC+”/VX+며/EC
“향후	“/SN+향후/NNG
워크투게더센터를	워크투게더센터/NNG+를/JKO
통해	통하/VV+여/EC
장애학생의	장애학생/NNG+의/JKG
사회	사회/NNG
진출을	진출/NNG+을/JKO
적극	적극/NNG
지원하겠다”고	지원하/VV+겠/EP+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC
