대법원·국회	대법원/NNG+·/SP+국회/NNG
등	등/NNB
장애인	장애인/NNG
제도	제도/NNG
외면	외면/NNG
‘심각’	‘/SN+심각/NNG+’/SL

직업재활을	직업재활/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
장애인의	장애인/NNG+의/JKG
자립과	자립/NNG+과/JC
생업지원을	생업지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
취지로	취지/NNG+로/JKB
‘중증장애인생산품우선구매특별법’에	‘/SL+중증장애인생산품우선구매특별법’/NNG+에/JKB
명시되어	명시되/VV+어/EC
있는	있/VX+는/ETM
장애인	장애인/NNG
생산품에	생산품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우선구매제도와	우선구매제도/NNG+와/JC
‘장애인복지법’에	‘/SN+장애인복지법’/NNG+에/JKB
명시되고	명시되/VV+고/EC
있는	있/VX+는/ETM
자판기·매점	자판기/NNG+·/SP+매점/NNG
등의	등/NNB+의/JKG
우선배정과	우선배정/NNG+과/JKB
같은	같/VA+은/ETM
각종	각종/NNG
제도들이	제도/NNG+들/XSN+이/JKS
제대로	제대로/MAG
지켜지지	지키/VV+어/EC+지/VX+지/EC
않는	않/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

특히	특히/MAG
힘	힘/NNG
있는	있/VA+는/ETM
공공기관	공공기관/NNG
일수록	이/VCP+ㄹ수록/EC
위반정도가	위반정도/NNG+가/JKS
심각해	심각하/VA+여/EC
권력의	권력/NNG+의/JKG
크기와	크기/NNG+와/JC
약자에	약자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
배려가	배려/NNG+가/JKS
반비례하는	반비례하/VV+는/ETM
것은	것/NNB+은/JX
아니냐는	아니/VCN+냐는/ETM
비난을	비난/NNG+을/JKO
면치	면하/VV+지/EC
못하게	못하/VX+게/EC
되었다	되/VV+었/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
사실은	사실/NNG+은/JX
보건복지부가	보건복지부/NNG+가/JKS
국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
김정록	김정록/NNP
의원(새누리당)에게	의원/NNG+(/SS+새누리당/NNP+)/SS+에게/JKB
제출한	제출하/VV+ㄴ/ETM
지난해	지난해/NNG
12월말	12/SN+월말/NNB
현재	현재/MAG
‘정부·지자체	‘/SL+정부/NNG+·/SP+지자체/NNG
등	등/NNB
공공기관의	공공기관/NNG+의/JKG
장애인	장애인/NNG
매점·자판기	매점/NNG+·/SP+자판기/NNG
우선허가	우선허가/NNG
실적	실적/NNG
및	및/MAG
장애인생산품	장애인생산품/NNG
우선구매	우선구매/NNG
현황분석’을	현황분석’/NNG+을/JKO
통해	통하/VV+여/EC
드러났다	드러나/VV+았/EP+다/EC

먼저	먼저/MAG
공공시설	공공시설/NNG
내	내/NNB
매점	매점/NNG
및	및/MAG
자판기	자판기/NNG
등	등/NNB
장애인	장애인/NNG
우선허가	우선허/NNP+가/JKS
실태를	실태/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
정부	정부/NNG
각	각/MM
부처?청과	부처/NNG+?/SF+청/NNG+과/JKB
같은	같/VA+은/ETM
중앙행정기관의	중앙행정기관/NNG+의/JKG
경우	경우/NNG
총	총/XPN
대상	대상/NNG
시설수	시설수/NNG
중	중/NNB
평균	평균/NNG
장애인	장애인/NNG
우선허가율은	우선허가율/NNG+은/JX
9%에	9/SN+%/SW+에/JKB
불과했다	불과하/VA+었/EP+다/EC

특히	특히/MAG
대법원,	대법원/NNG+,/SP
국회는	국회/NNG+는/JX
매점·자판기	매점/NNG+·/SP+자판기/NNG
등	등/NNB
수익시설의	수익시설/NNG+의/JKG
운영권을	운영/NNG+권/XSN+을/JKO
장애인에게	장애인/NNG+에게/JKB
부여한	부여하/VV+ㄴ/ETM
실적이	실적/NNG+이/JKS
0%로	0/SN+%/SW+로/JKB
나타났다	나타나/VV+았/EP+다/EC

통일부	통일부/NNG
경찰청	경찰청/NNG
등	등/NNB
총	총/MM
7개	7/SN+개/NNB
기관도	기관/NNG+도/JX
우선허가율이	우선허가율/NNG+이/JKS
0%로	0/SN+%/SW+로/JKB
나타났다	나타나/VV+았/EP+다/EC

장애인에게	장애인/NNG+에게/JKB
운영권을	운영/NNG+권/XSN+을/JKO
부여했다	부여하/VV+었/EP+다/EF
하더라도	하/VV+더라도/EC
지식경제부,	지식경제부/NNG+,/SP
국토해양부	국토해양부/NNP
등	등/NNB
20개	20/SN+개/NNB
기관도	기관/NNG+도/JX
평균	평균/NNG
9%에도	9/SN+%/SW+에/JKB+도/JX
미치지	미치/VV+지/EC
못하는	못하/VX+는/ETM
저조한	저조하/VA+ㄴ/ETM
허가율을	허가율/NNG+을/JKO
보였다	보이/VV+었/EP+다/EF

다만,	다만/MAG+,/SP
교육과학기술부,	교육과학기술부/NNG+,/SP
보건복지부,	보건복지부/NNG+,/SP
여성가족부	여성가족부/NNG
등이	등/NNB+이/JKS
60%를	60/SN+%/SW+를/JKO
장애인에게	장애인/NNG+에게/JKB
내주어	내주/VV+어/EC
공공기관으로서의	공공기관/NNG+으로서/JKB+의/JKG
자존심을	자존심/NNG+을/JKO
지켰다	지키/VV+었/EP+다/EC

‘장애인복지법	‘/SL+장애인복지법/NNG
42조’에서는	42/SN+조/NR+’/SL+에서/JKB+는/JX
장애인의	장애인/NNG+의/JKG
생업지원	생업지원/NNG
일환으로	일환/NNG+으로/JKB
‘국가와	‘/SN+국가/NNG+와/JC
지방자치단체,	지방자치단체/NNG+,/SP
그	그/MM
밖의	밖/NNG+의/JKG
공공단체는	공공단체/NNG+는/JX
소관공공시설	소관공공시설/NNG
안에	안/NNG+에/JKB
식료품·사무용품·신문	식료품/NNG+·/SP+사무용품/NNG+·/SP+신문/NNG
등	등/NNB
일상생활용품을	일상생활용품/NNG+을/JKO
판매하는	판매하/VV+는/ETM
매점이나	매점/NNG+이나/JC
자동판매기의	자동판매기/NNG+의/JKG
설치를	설치/NNG+를/JKO
허가하거나	허가하/VV+거나/EC
위탁할	위탁하/VV+ㄹ/ETM
때에는	때/NNG+에/JKB+는/JX
장애인이	장애인/NNG+이/JKS
신청하면	신청하/VV+면/EC
우선적으로	우선적/NNG+으로/JKB
반영하도록	반영하/VV+도록/EC
노력해야	노력하/VV+여야/EC
한다’고	하/VX+ㄴ다’고/EC
규정하고	규정하/VV+고/EC
있다	있/VX+다/EC

한편,	한편/NNG+,/SP
‘중증장애인생산품우선구매특별법’에서	‘/SL+중증장애인생산품우선구매특별법/NNG+’/SL+에서/JKB
규정하고	규정하/VV+고/EC
있는	있/VX+는/ETM
장애인생산품	장애인생산품/NNG
우선구매에	우선구매/NNG+에/JKB
있어	있/VA+어/EC
2011년	2011/SN+년/NNB
중앙행정기관의	중앙행정기관/NNG+의/JKG
전체	전체/NNG
장애인생산품	장애인생산품/NNG
우선구매율은	우선구매/NNG+율/XSN+은/JX
0	0/SN

55%로	55/SN+%/SW+로/JKB
나타났다	나타나/VV+았/EP+다/EC

동법	동법/NNG
시행령	시행령/NNG
제10조에	제/XPN+10/SN+조/NNB+에/JKB
따라	따르/VV+아/EC
100분의	100/SN+분/XSN+의/JKG
1이상	1/SN+이상/NNG
구매해야	구매하/VV+여야/EC
함에도	하/VX+ㅁ에도/EC
법제처,	법제처/NNG+,/SP
검찰청,	검찰청/NNG+,/SP
관세청,	관세청/NNG+,/SP
외교통상부,	외교통상부/NNG+,/SP
법무부,	법무부/NNG+,/SP
국방부,	국방부/NNG+,/SP
문화체육관광부	문화체육관광부/NNG
등	등/NNB
19개	19/SN+개/NNB
중앙행정기관은	중앙행정기관/NNG+은/JX
법정기준을	법정기준/NNG+을/JKO
위반한	위반하/VV+ㄴ/ETM
것	것/NNB

김정록	김정록/NNP
의원은	의원/NNG+은/JX
“소위	“/SN+소위/NNG
힘이	힘/NNG+이/JKS
있다고	있/VA+다고/EC
인식되는	인식되/VV+는/ETM
기관일수록	기관/NNG+이/VCP+ㄹ수록/EC
법에서	법/NNG+에서/JKB
명시하고	명시하/VV+고/EC
있는	있/VX+는/ETM
장애인	장애인/NNG
우선	우선/MAG
배려	배려/NNG
사항을	사항/NNG+을/JKO
준수하지	준수하/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
측면이	측면/NNG+이/JKS
강하다”며	강하/VA+다/EC+”/SN+며/EC
“법을	“/SN+법/NNB+을/JKO
준수하고	준수하/VV+고/EC
관장해	관장하/VV+여/EC
법치국가를	법치국가/NNG+를/JKO
선도해야	선도하/VV+여야/EC
할	하/VX+ㄹ/ETM
국회,	국회/NNG+,/SP
대법원	대법원/NNG
등이	등/NNB+이/JKS
최저수준인	최저수준/NNG+이/VCP+ㄴ/ETM
상황	상황/NNG
속에서	속/NNG+에서/JKB
과연	과연/MAG
누가	누구/NP+가/JKS
국민에게	국민/NNG+에게/JKB
법을	법/NNG+을/JKO
잘	잘/MAG
지키라고	지키/VV+라고/EC
감히	감히/MAG
말할	말하/VV+ㄹ/ETM
수	수/NNB
있겠냐”고	있/VA+겠/EP+냐/EC+”/SN+고/JKQ
성토했다	성토하/VV+였/EP+다/EC

이어	이어/MAG
김	김/NNP
의원은	의원/NNG+은/JX
“주무부처인	“/SL+주무부처/NNG+이/VCP+ㄴ/ETM
보건복지부도	보건복지부/NNG+도/JX
법에	법/NNG+에/JKB
명시되어	명시되/VV+어/EC
있는	있/VX+는/ETM
의무규정을	의무규정/NNG+을/JKO
제대로	제대로/MAG
이행할	이행하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
중앙행정기관을	중앙행정기관/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
공공기관에	공공기관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관리?감독을	관리/NNG+?/SF+감독/NNG+을/JKO
철저히	철저히/MAG
해야	하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“무엇보다도	“/SL+무엇/NP+보다/JKB+도/JX
공공기관	공공기관/NNG
스스로	스스로/MAG
법을	법/NNG+을/JKO
지키지	지키/VV+지/EC
않는	않/VX+는/ETM
것에	것/NNB+에/JKB
대해서	대하/VV+여서/EC
깊이	깊이/MAG
반성하고	반성하/VV+고/EC
스스로	스스로/MAG
모범을	모범/NNG+을/JKO
보이는	보이/VV+는/ETM
자세를	자세/NNG+를/JKO
촉구한다”고	촉구하/VV+ㄴ다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
