사진	사진/NNG
찍고	찍/VV+고/EC
땡(?)인	땡/SL+(/SS+?/SF+)/SS+이/VCP+ㄴ/ETM
‘장애인고용증진협약’	‘/SN+장애인고용증진협약/NNG+’/SN

상위	상위/NNG
30대	30/SN+대/NNG
기업	기업/NNG
중	중/NNB
고용증진협약체결기업의	고용증진협약체결기업/NNG+의/JKG
장애인고용률이	장애인고용률/NNG+이/JKS
체결하지	체결하/VV+지/EC
않은	않/VX+은/ETM
기업보다	기업/NNG+보다/JKB
훨씬	훨씬/MAG
낮다는	낮/VA+다는/ETM
지적이다	지적/NNG+이/VCP+다/EC

국회	국회/NNG
환경노동위원회	환경노동위원회/NNG
소속	소속/NNG
주영순	주영순/NNP
의원(새누리당)은	의원/NNG+(/SS+새누리당/NNP+)/SS+은/JX
18일	18/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
한국장애인고용공단	한국/NNP+장애인고용공단/NNG
국정감사에서	국정감사/NNG+에서/JKB
장애인고용증진협약을	장애인고용증진협약/NNG+을/JKO
체결한	체결하/VV+ㄴ/ETM
대기업의	대기업/NNG+의/JKG
낮은	낮/VA+은/ETM
장애인고용률을	장애인고용률/NNG+을/JKO
지적하며,	지적하/VV+며/EC+,/SP
공단의	공단/NNG+의/JKG
존립	존립/NNG
자체와	자체/NNG+와/JKB
관련한	관련하/VV+ㄴ/ETM
중요한	중요하/VA+ㄴ/ETM
문제라고	문제/NNG+이/VCP+라고/EC
강하게	강하/VA+게/EC
질타했다	질타하/VA+었/EP+다/EC

지난	지나/VV+ㄴ/ETM
2005년부터	2005/SN+년/NNB+부터/JX
공단은	공단/NNG+은/JX
장애인고용률	장애인고용률/NNG
1%	1/SN+%/SW
미만	미만/NNG
줄이기	줄이/VV+기/ETN
운동과	운동/NNG+과/JKB
더불어	더불/VV+어/EC
장애인고용증진협약사업을	장애인고용증진협약사업/NNG+을/JKO
추진했다	추진하/VV+였/EP+다/EF

하지만	하지만/MAJ
협약을	협약/NNG+을/JKO
맺은	맺/VV+은/ETM
12개	12/SN+개/NNB
대기업의	대기업/NNG+의/JKG
평균	평균/NNG
장애인	장애인/NNG
고용률은	고용/NNG+률/XSN+은/JX
1	1/SN

13%에	13/SN+%/SW+에/JKB
불과했으며,	불과하/VA+였/EP+으며/EC+,/SP
GS리테일은	GS/SL+리테일/NNG+은/JX
0	0/SN

31%로	31/SN+%/SW+로/JKB
가장	가장/MAG
낮았다	낮/VA+았/EP+다/EC

이는	이/NP+는/JX
협약을	협약/NNG+을/JKO
맺지	맺/VV+지/EC
않은	않/VX+은/ETM
18개	18/SN+개/NNB
대기업의	대기업/NNG+의/JKG
장애인고용률이	장애인고용률/NNG+이/JKS
2	2/SN

26%인	26/SN+%/SW+이/VCP+ㄴ/ETM
것에	것/NNB+에/JKB
비해	비하/VV+여/EC
오히려	오히려/MAG
절반이나	절반/NNG+이나/JC
낮은	낮/VA+은/ETM
아이러니한	아이러니하/VA+ㄴ/ETM
상황이다	상황/NNG+이/VCP+다/EC

30대	30/SN+대/NNB
대기업	대기업/NNG
중	중/NNB
장애인고용증진협약	장애인고용증진협약/NNG
체결	체결/NNG
12개	12/SN+개/NNB
기업	기업/NNG
현황	현황/NNG

ⓒ주영순	ⓒ/SL+주영순/NNP
의원실	의원실/NNG
주	주/NNB
의원은	의원/NNG+은/JX
“장애인고용증진협약을	“/SL+장애인고용증진협약/NNG+을/JKO
체결한	체결하/VV+ㄴ/ETM
대기업의	대기업/NNG+의/JKG
장애인고용률이	장애인고용률/NNG+이/JKS
협약을	협약/NNG+을/JKO
체결하지	체결하/VV+지/EC
않은	않/VX+은/ETM
대기업보다	대기업/NNG+보다/JKB
훨씬	훨씬/MAG
낮다는	낮/VA+다는/ETM
것은	것/NNB+은/JX
공단의	공단/NNG+의/JKG
존립	존립/NNG
자체와	자체/NNG+와/JKB
관련한	관련하/VV+ㄴ/ETM
중요한	중요하/VA+ㄴ/ETM
문제”라며	문제”/NNG+이/VCP+라며/EC
“시급한	“/SN+시급하/VA+ㄴ/ETM
대책이	대책/NNG+이/JKS
필요하다”고	필요하/VA+다”고/EC
피력했다	피력하/VV+었/EP+다/EC

또한	또한/MAG
주	주/NNG
의원은	의원/NNG+은/JX
장애인	장애인/NNG
직업능력개발훈련기관의	직업능력개발훈련기관/NNG+의/JKG
안이한	안이하/VA+ㄴ/ETM
관리체계와	관리체계/NNG+와/JC
부적절한	부적절하/VA+ㄴ/ETM
업무태도도	업무태도/NNG+도/JX
함께	함께/MAG
지적했다	지적하/VV+였/EP+다/EF

주	주/NNG
의원에	의원/NNG+에/JKB
따르면	따르/VV+면/EC
장애인	장애인/NNG
직업능력	직업능력/NNG
개발훈련기관인	개발훈련기관/NNG+이/VCP+ㄴ/ETM
대구경북	대구경북/NNP
산업인력개발원은	산업인력개발/NNG+원/XSN+은/JX
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
출결관리	출결관리/NNG
허위	허위/NNG
기재,	기재/NNG+,/SP
교사대체	교사대체/NNG
위반	위반/NNG
등으로	등/NNB+으로/JKB
세	세/MM
차례나	차례/NNG+나/JC
재발방지	재발방지/NNG
서약서를	서약서/NNG+를/JKO
제출하고도	제출하/VV+고도/EC
1년이	1/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
2010년에도	2010/SN+년/NNB+에/JKB+도/JX
두	두/MM
차례나	차례/NNG+나/JC
규정을	규정/NNG+을/JKO
위반했다	위반하/VV+였/EP+다/EC

문제는	문제/NNG+는/JX
2년	2/SN+년/NNB
동안	동안/NNG
5회의	5/SN+회/NNB+의/JKG
지적을	지적/NNG+을/JKO
받았음에도	받/VV+았/EP+음/ETN+에/JKB+도/JX
관할기관인	관할기관/NNG+이/VCP+ㄴ/ETM
공단	공단/NNG
산하	산하/NNG
대구능력개발원은	대구능력개발원/NNP+은/JX
재발방지	재발방지/NNG
서약서	서약서/NNG
제출	제출/NNG
등의	등/NNB+의/JKG
시정요구	시정요구/NNG
뿐이었다는	뿐/NNB+이/VCP+었/EP+다는/ETM
것	것/NNB

경일지역전문학교,	경일/NNP+지역전문학교/NNG+,/SP
한솔직업전문학교를	한솔직업/NNP+전문학교/NNG+를/JKO
지도	지도/NNG
점검한	점검하/VV+ㄴ/ETM
일산능력개발원도	일산능력개발/NNG+원/XSN+도/JX
미비한	미비하/VA+ㄴ/ETM
조치에	조치/NNG+에/JKB
그쳤다	그치/VV+었/EP+다/EC

주	주/NNG
의원은	의원/NNG+은/JX
“이런	“/SL+이런/MM
식으로	식/NNB+으로/JKB
해서	하/VV+여서/EC
훈련기관의	훈련기관/NNG+의/JKG
부당행위나	부당행위/NNG+나/JC
부당이득을	부당이득/NNG+을/JKO
적발하고	적발하/VV+고/EC
바로	바로/MAG
잡을	잡/VV+을/ETM
수	수/NNB
있겠느냐”며	있/VA+겠/EP+느냐/EF+”/SN+며/EC
“훈련기관에	“/SL+훈련기관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
엄격한	엄격하/VA+ㄴ/ETM
관리가	관리/NNG+가/JKS
필요하고	필요하/VA+고/EC
관할기관에	관할기관/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
대책이	대책/NNG+이/JKS
필요하다”고	필요하/VA+다”고/EC
질타했다	질타하/VA+었/EP+다/EC
