장애인생산품생산시설	장애인생산품생산시설/NNG
장애근로자	장애근로자/NNG
범위	범위/NNG
확대	확대/NNG

앞으로	앞/NNG+으로/JKB
중증장애인생산품을	중증장애인생산품/NNG+을/JKO
만드는	만들/VV+는/ETM
생산시설로	생산시설/NNG+로/JKB
인정받기	인정받/VV+기/ETN
위한	위하/VV+ㄴ/ETM
장애인	장애인/NNG
고용비율	고용비율/NNG
산정	산정/NNG
때	때/NNG
생산시설의	생산시설/NNG+의/JKG
업종에	업종/NNG+에/JKB
따라	따르/VV+아/EC
사무·관리직에	사무/NNG+·/SP+관리직/NNG+에/JKB
종사하는	종사하/VV+는/ETM
장애인	장애인/NNG
근로자도	근로자/NNG+도/JX
포함될	포함되/VV+ㄹ/ETM
전망이다	전망/NNG+이/VCP+다/EC

국민권익위원회는	국민권익위원회/NNG+는/JX
보건복지부에	보건복지부/NNG+에/JKB
중증장애인생산품	중증장애인생산품/NNG
생산시설로	생산시설/NNG+로/JKB
지정할	지정하/VV+ㄹ/ETM
때	때/NNG
사무·관리업무에	사무/NNG+·/SP+관리업무/NNG+에/JKB
종사하는	종사하/VV+는/ETM
장애인도	장애인/NNG+도/JX
장애인근로자	장애인근로자/NNG
고용비율	고용비율/NNG
산정에	산정/NNG+에/JKB
포함될	포함되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
관련	관련/NNG
제도를	제도/NNG+를/JKO
개선할	개선하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
권고했다고	권고하/VV+였/EP+다고/EC
3일	3/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

현행	현행/NNG
중증장애인생산품	중증장애인생산품/NNG
생산시설	생산시설/NNG
지정기준은	지정기준/NNG+은/JX
직접	직접/MAG
생산	생산/NNG
또는	또는/MAG
서비스	서비스/NNG
과정에	과정/NNG+에/JKB
참여하는	참여하/VV+는/ETM
장애인만	장애인/NNG+만/JX
‘장애인근로자’로	‘/SN+장애인근로자’/NNG+로/JKB
인정하고,	인정하/VV+고/EC+,/SP
사무·관리직	사무/NNG+·/SP+관리직/NNG
장애인근로자는	장애인근로자/NNG+는/JX
제외되고	제외되/VV+고/EC
있다	있/VX+다/EC

또한	또한/MAG
사업주에	사업주/NNG+에/JKB
대해	대하/VV+여/EC
직장	직장/NNG
내	내/NNB
장애인	장애인/NNG
인식개선	인식개선/NNG
교육	교육/NNG
실시	실시/NNG
의무는	의무/NNG+는/JX
부과되고	부과되/VV+고/EC
있으나,	있/VX+으나/EC+,/SP
교육의	교육/NNG+의/JKG
내용과	내용/NNG+과/JC
방법에	방법/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기준이	기준/NNG+이/JKS
없고	없/VA+고/EC
교육관리가	교육관리/NNG+가/JKS
체계적으로	체계적/NNG+으로/JKB
이뤄지지	이루어지/VV+지/EC
않아	않/VX+아/EC
활성화되지	활성화되/VV+지/EC
못하고	못하/VX+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
국민권익위는	국민권익위/NNG+는/JX
사업장에서의	사업장/NNG+에서/JKB+의/JKG
장애인	장애인/NNG
인식개선	인식개선/NNG
교육을	교육/NNG+을/JKO
활성화·실효성을	활성화/NNG+·/SP+실효성/NNG+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+여/EC
장애인	장애인/NNG
관련	관련/NNG
교육	교육/NNG
프로그램을	프로그램/NNG+을/JKO
다양화하고	다양화하/VV+고/EC
관리시스템	관리시스템/NNG
구축	구축/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
제도개선	제도개선/NNG
방안도	방안/NNG+도/JX
고용노동부에	고용노동부/NNG+에/JKB
권고했다	권고하/VV+였/EP+다/EC

이와	이/NP+와/JKB
관련	관련/NNG
국민권익위	국민권익위/NNG
관계자는	관계자/NNG+는/JX
“이번	“/SL+이번/NNG
계기로	계기/NNG+로/JKB
장애인에게	장애인/NNG+에게/JKB
다양한	다양하/VA+ㄴ/ETM
고용기회가	고용기회/NNG+가/JKS
제공되고,	제공되/VV+고/EC+,/SP
장애에	장애/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식	인식/NNG
개선으로	개선/NNG+으로/JKB
장애인	장애인/NNG
고용이	고용/NNG+이/JKS
한층	한층/MAG
촉진될	촉진되/VV+ㄹ/ETM
수	수/NNB
있길	있/VA+기/ETN+ㄹ/JKO
바란다”고	바란다”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC
