개발원,	개발원/NNG+,/SP
중증장애인생산품	중증장애인생산품/NNG
수의계약	수의계약/NNG
대행	대행/NNG

한국장애인개발원(원장	한국/NNP+장애인개발/NNG+원/XSN+(/SS+원장/NNG
변용찬)이	변용찬/NNP+)/SS+이/JKS
시행	시행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
공공기관과	공공기관/NNG+과/JC
중증장애인생산품	중증장애인생산품/NNG
판매시설간의	판매시설/NNG+간/NNB+의/JKG
수의계약	수의계약/NNG
대행이	대행/NNG+이/JKS
중증장애인생산품	중증장애인생산품/NNG
판매	판매/NNG
활성화의	활성화/NNG+의/JKG
활로가	활로/NNG+가/JKS
되고	되/VV+고/EC
있다	있/VX+다/EC

공공기관은	공공기관/NNG+은/JX
구매물품의	구매물품/NNG+의/JKG
금액단위가	금액단위/NNG+가/JKS
큰	크/VA+ㄴ/ETM
경우	경우/NNG
공공기관	공공기관/NNG
운영에	운영/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
등에	등/NNB+에/JKB
의해	의하/VV+여/EC
조달청	조달청/NNG
등록을	등록/NNG+을/JKO
해야	하/VV+여야/EC
하는데,	하/VX+는데/EC+,/SP
생산시설의	생산시설/NNG+의/JKG
대부분은	대부분/NNG+은/JX
조달청	조달청/NNG
등록이	등록/NNG+이/JKC
안	안/MAG
돼	되/VV+어/EC
개별	개별/NNG
계약을	계약/NNG+을/JKO
할	하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없는	없/VA+는/ETM
것이	것/NNB+이/JKS
현실	현실/NNG

따라서	따라서/MAJ
개발원의	개발원/NNG+의/JKG
수의계약	수의계약/NNG
대행은	대행/NNG+은/JX
장애인생산품	장애인생산품/NNG
판매를	판매/NNG+를/JKO
늘리기	늘리/VV+기/ETN
위해	위하/VV+여/EC
꼭	꼭/MAG
필요하다는	필요하/VA+다는/ETM
게	것/NNB+이/JKS
개발원측의	개발원/NNG+측/NNB+의/JKG
설명이다	설명/NNG+이/VCP+다/EC

또한,	또한/MAG+,/SP
특정	특정/NNG
시설과	시설/NNG+과/JC
계약을	계약/NNG+을/JKO
할	하/VV+ㄹ/ETM
경우	경우/NNG
다른	다른/MM
시설?단체의	시설/NNG+?/SF+단체/NNG+의/JKG
반발	반발/NNG
등	등/NNB
민원제기의	민원제기/NNG+의/JKG
요인이	요인/NNG+이/JKC
되는	되/VV+는/ETM
등	등/NNB
공공기관들이	공공기관/NNG+들/XSN+이/JKS
생산시설과	생산시설/NNG+과/JKB
직접	직접/MAG
거래	거래/NNG
시	시/NNB
겪는	겪/VV+는/ETM
어려움도	어려움/NNG+도/JX
해결할	해결하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것	것/NNB

따라서	따라서/MAJ
개발원은	개발원/NNG+은/JX
그동안	그동안/NNG
소극적으로	소극적/NNG+으로/JKB
진행해오던	진행하/VV+여/EC+오/VX+던/ETM
수의계약	수의계약/NNG
대행	대행/NNG
업무를	업무/NNG+를/JKO
올해부터는	올해/NNG+부터는/JX
적극	적극/NNG
