뇌병변장애	뇌병변장애/NNG
근로자	근로자/NNG
절반	절반/NNG
자립센터	자립센터/NNG
근무	근무/NNG

뇌병변장애인	뇌병변장애인/NNG
근로자	근로자/NNG
2명	2/SN+명/NNB
중	중/NNB
1명이	1/SN+명/NNB+이/JKS
장애인자립생활센터	장애인자립생활센터/NNG
활동가로	활동가/NNG+로/JKB
활동하고	활동하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
조사됐다	조사되/VV+었/EP+다/EF

한국뇌병변장애인인권협회는	한국/NNP+뇌병변장애인인권협회/NNG+는/JX
13일	13/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
국회	국회/NNG
의정관에서	의정관/NNG+에서/JKB
‘뇌병변장애인	‘/SN+뇌병변장애인/NNG
노동권	노동권/NNG
확보와	확보/NNG+와/JC
일자리	일자리/NNG
창출	창출/NNG
방안	방안/NNG
모색’	모색/NNG+’/SN
토론회를	토론회/NNG+를/JKO
개최했다	개최하/VV+였/EP+다/EC

이날	이날/NNG
구교현	구교현/NNP
실태조사단	실태조사단/NNG
연구원은	연구원/NNG+은/JX
‘뇌병변장애인의	‘/SN+뇌병변장애인/NNG+의/JKG
노동권의	노동권/NNG+의/JKG
실태와	실태/NNG+와/JC
문제점’에	문제점’/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
실태조사	실태조사/NNG
결과를	결과/NNG+를/JKO
발표하고,	발표하/VV+고/EC+,/SP
뇌병변장애인의	뇌병변장애인/NNG+의/JKG
일자리	일자리/NNG
확보	확보/NNG
방안을	방안/NNG+을/JKO
제시했다	제시하/VV+였/EP+다/EC

실태조사에	실태조사/NNG+에/JKB
따르면	따르/VV+면/EC
설문에	설문/NNG+에/JKB
응답한	응답하/VV+ㄴ/ETM
151명의	151/SN+명/NNB+의/JKG
뇌병변장애인	뇌병변장애인/NNG
중	중/NNB
취업자는	취업자/NNG+는/JX
25	25/SN

8%(39명)인	8/SN+%/SW+(/SS+39/SN+명/NNB+)/SS+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

취업자	취업자/NNG
중	중/NNB
장애인자립생활센터	장애인자립생활센터/NNG
활동가로	활동가/NNG+로/JKB
근무하는	근무하/VV+는/ETM
뇌병변장애인은	뇌병변장애인/NNG+은/JX
51	51/SN

3%(20명)로	3/SN+%/SW+(/SS+20/SN+명/NNB+)/SS+로/JKB
절반을	절반/NNG+을/JKO
차지했고	차지하/VV+였/EP+고/EC
직장·아르바이트가	직장/NNG+·/SP+아르바이트/NNG+가/JKS
43	43/SN

6%(17명),	6/SN+%/SW+(/SS+17/SN+명/NNB+)/SS+,/SP
개인사업이	개인사업/NNG+이/JKS
5	5/SN

1%(2명)로	1/SN+%/SW+(/SS+2/SN+명/NNB+)/SS+로/JKB
뒤를	뒤/NNG+를/JKO
이었다	잇/VV+었/EP+다/EF

25	25/SN

6%는	6/SN+%/SW+는/JX
지난달	지난달/NNG
근로소득이	근로소득/NNG+이/JKS
없었다고	없/VA+었/EP+다고/EC
응답한	응답하/VV+ㄴ/ETM
반면	반면/NNG
1~100만원이하인	1/SN+~/SO+100/SN+만/NR+원/NNB+이하/NNG+이/VCP+ㄴ/ETM
소득을	소득/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
뇌병변장애인은	뇌병변장애인/NNG+은/JX
56	56/SN

5%인	5/SN+%/SW+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다	조사되/VV+었/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
구	구/XPN
연구원은	연구원/NNG+은/JX
장애인자립생활센터가	장애인자립생활센터/NNG+가/JKS
공익적	공익/NNG+적/XSN
활동을	활동/NNG+을/JKO
목적으로	목적/NNG+으로/JKB
정부지원에	정부지원/NNG+에/JKB
의지해	의지하/VV+여/EC
운영되고	운영되/VV+고/EC
있어	있/VX+어/EC
중증장애인	중증장애인/NNG
고용에	고용/NNG+에/JKB
