장애인창업	장애인창업/NNG
아이템	아이템/NNG
공모…대상	공/NNP+모/NP+…/SE+대상/NNG
300만원	300/SN+만/NR+원/NNB

우수한	우수하/VA+ㄴ/ETM
창업아이템을	창업아이템/NNG+을/JKO
조기	조기/NNG
발굴해	발굴하/VV+여/EC
장애인	장애인/NNG
창업	창업/NNG
육성에	육성/NNG+에/JKB
이바지하고자	이바지하/VV+고자/EC
‘2012년	‘/SL+2012/SN+년/NNB
제	제/XPN
6회	6/SN+회/NNB
장애인	장애인/NNG
창업경진대회’가	창업경진대회/NNG+’/SL+가/JKS
중소기업청	중소기업청/NNG
주최,	주최/NNG+,/SP
장애인기업종합지원센터	장애인기업종합지원센터/NNG
주관으로	주관/NNG+으로/JKB
개최된다	개최되/VV+ㄴ다/EF

장애인	장애인/NNG
창업경진대회는	창업경진대회/NNG+는/JX
전	전/MM
국민	국민/NNG
대상으로	대상/NNG+으로/JKB
참신한	참신하/VA+ㄴ/ETM
장애인	장애인/NNG
창업아이템을	창업아이템/NNG+을/JKO
발굴해	발굴하/VV+여/EC
장애인(예비)창업자에게	장애인/NNG+(/SS+예비/NNG+)/SS+창업자/NNG+에게/JKB
정보를	정보/NNG+를/JKO
제공하고,	제공하/VV+고/EC+,/SP
성공	성공/NNG
창업사례를	창업사례/NNG+를/JKO
공모하여	공모하/VV+여/EC
장애인	장애인/NNG
CEO에게	CEO/SL+에게/JKB
자긍심을	자긍심/NNG+을/JKO
고취시키고자	고취/NNG+시키/XSV+고자/EC
지난	지나/VV+ㄴ/ETM
2007년부터	2007/SN+년/NNB+부터/JX
정부가	정부/NNG+가/JKS
지원하고	지원하/VV+고/EC
있는	있/VX+는/ETM
사업이다	사업/NNG+이/VCP+다/EC

올해로	올해/NNG+로/JKB
6회째를	6/SN+회/NNB+째/XSN+를/JKO
맞이하는	맞이하/VV+는/ETM
장애인	장애인/NNG
창업경진대회는	창업경진대회/NNG+는/JX
장애인기업종합지원센터에서	장애인기업종합지원센터/NNG+에서/JKB
오는	오/VV+는/ETM
10월	10/SN+월/NNB
5일까지	5/SN+일/NNB+까지/JX
신청·접수를	신청/NNG+·/SP+접수/NNG+를/JKO
받으며,	받/VV+으며/EC+,/SP
각	각/MM
분야	분야/NNG
전문가로	전문가/NNG+로/JKB
구성된	구성되/VV+ㄴ/ETM
심사위원단이	심사위원단/NNG+이/JKS
1차	1/SN+차/NNB
서류심사와	서류심사/NNG+와/JC
2차	2/SN+차/NNB
발표심사를	발표심사/NNG+를/JKO
통해	통하/VV+여/EC
최종	최종/NNG
수상자를	수상자/NNG+를/JKO
선정하게	선정하/VV+게/EC
된다	되/VV+ㄴ다/EF

최종	최종/NNG
수상자	수상자/NNG
20명에	20/SN+명/NNB+에/JKB
대해서는	대하/VV+여서/EC+는/JX
대상	대상/NNG
300만원,	300/SN+만/NR+원/NNB+,/SP
최우수상	최우수상/NNG
150만원	150/SN+만/NR+원/NNB
등	등/NNB
총	총/MM
1,750만원의	1,750/SN+만/NR+원/NNB+의/JKG
상금과	상금/NNG+과/JC
아이디어	아이디어/NNG
사업화를	사업/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
창업컨설팅,	창업컨설팅/NNG+,/SP
장애인	장애인/NNG
창업	창업/NNG
보육실	보육실/NNG
입주지원	입주지원/NNG
시	시/NNG
가점	가점/NNG
부여	부여/NNG
등이	등/NNB+이/JKS
지원된다	지원되/VV+ㄴ다/EF

시상은	시상/NNG+은/JX
오는	오/VV+는/ETM
11월	11/SN+월/NNB
예정된	예정되/VV+ㄴ/ETM
제7회	제/XPN+7/SN+회/NNB
전국장애경제인대회에서	전/MM+국장애경제인대회/NNG+에서/JKB
진행된다	진행되/VV+ㄴ다/EC

이날	이날/NNG
시상식에서는	시상식/NNG+에서/JKB+는/JX
대상수상작	대상수상작/NNG
발표도	발표/NNG+도/JX
함께	함께/MAG
있을	있/VA+을/ETM
예정이어서	예정/NNG+이/VCP+어서/EC
장애인	장애인/NNG
예비창업자들이	예비창업자/NNG+들/XSN+이/JKS
우수	우수/NNG
아이템을	아이템/NNG+을/JKO
공유하고	공유하/VV+고/EC
창업의욕을	창업의욕/NNG+을/JKO
고취할	고취하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대하/VV+고/EC
있다	있/VX+다/EC

중소기업청	중소기업청/NNG
관계자는	관계자/NNG+는/JX
“장애인에게도	“/SN+장애인/NNG+에게/JKB+도/JX
충분히	충분히/MAG
경쟁력	경쟁력/NNG
있는	있/VA+는/ETM
특화된	특화되/VV+ㄴ/ETM
창업아이템의	창업아이템/NNG+의/JKG
발굴과	발굴/NNG+과/JC
보급으로	보급/NNG+으로/JKB
장애인창업을	장애인창업/NNG+을/JKO
활성화하고	활성화하/VV+고/EC
성공적인	성공적/NNG+이/VCP+ㄴ/ETM
장애인기업을	장애인기업/NNG+을/JKO
육성할	육성하/VV+ㄹ/ETM
계획”이라며	계획/NNG+”/XSN+이/VCP+라며/EC
“장애인들에	“/SL+장애인/NNG+들/XSN+에/JKB
