장애인기업종합지원	장애인기업종합지/NNG+원/XSN
인천지역센터	인천/NNP+지역센터/NNG
20일	20/SN+일/NNB
개소	개소/NNG

장애인기업종합지원센터는	장애인기업종합지원센터/NNG+는/JX
장애인기업	장애인기업/NNG
지원	지원/NNG
전국	전국/NNG
네트워크	네트워크/NNG
구축을	구축/NNG+을/JKO
위해	위하/VV+여/EC
장애인기업	장애인기업/NNG
종합지원	종합지원/NNG
인천지역센터를	인천/NNP+지역센터/NNG+를/JKO
오는	오/VV+는/ETM
20일	20/SN+일/NNB
개소한다	개소하/VV+ㄴ다/EF

그간	그간/NNG
장애인기업종합지원센터는	장애인기업종합지원센터/NNG+는/JX
서울,	서울/NNP+,/SP
대구,	대구/NNP+,/SP
광주,	광주/NNP+,/SP
부산,	부산/NNP+,/SP
대전,	대전/NNP+,/SP
경기지역을	경기/NNP+지역/NNG+을/JKO
거점으로	거점/NNG+으로/JKB
장애인	장애인/NNG
창업	창업/NNG
및	및/MAG
기업지원	기업지원/NNG
사업을	사업/NNG+을/JKO
수행하고	수행하/VV+고/EC
있었다	있/VX+었/EP+다/EF

하지만	하지만/MAJ
전국	전국/NNG
지역센터	지역센터/NNG
미설치	미설치/NNG
지역의	지역/NNG+의/JKG
장애인	장애인/NNG
창업(기업)지원	창업/NNG+(/SS+기업/NNG+)/SS+지원/NNG
수요를	수요/NNG+를/JKO
충족하기에는	충족하/VV+기/ETN+에/JKB+는/JX
절대적으로	절대적/NNG+으로/JKB
부족하다는	부족하/VA+다는/ETM
판단에	판단/NNG+에/JKB
따라	따르/VV+아/EC
먼저	먼저/MAG
인천지역센터를	인천/NNP+지역센터/NNG+를/JKO
개소하게	개소하/VV+게/EC
됐다	되/VV+었/EP+다/EC

이번	이번/NNG
개소로	개소/NNB+로/JKB
인해	인하/VV+여/EC
창업상담,	창업상담/NNG+,/SP
교육,	교육/NNG+,/SP
보육실	보육실/NNG
운영,	운영/NNG+,/SP
판로지원	판로지원/NNG
등	등/NNB
종합적	종합적/NNG
서비스를	서비스/NNG+를/JKO
제공해	제공하/VV+여/EC
비경제활동	비경제활동/NNG
장애인의	장애인/NNG+의/JKG
경제활동	경제활동/NNG
촉진을	촉진/NNG+을/JKO
유도하는	유도하/VV+는/ETM
지역	지역/NNG
장애인의	장애인/NNG+의/JKG
창업과	창업/NNG+과/JC
기업지원을	기업지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
구심적으로서의	구심적/NNG+으로서/JKB+의/JKG
역할이	역할/NNG+이/JKS
기대된다	기대되/VV+ㄴ다/EF

장애인기업종합지원센터	장애인기업종합지원센터/NNG
인천지역센터에	인천/NNP+지역센터/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
자세한	자세하/VA+ㄴ/ETM
문의는	문의/NNG+는/JX
(재)장애인기업종합지원센터(www	(/SS+재/NNG+)/SS+장애인기업종합지원센터/NNG+(/SS+www/SL

debc	debc/SL

or	or/SL

kr,	kr/SL+,/SP
전화:	전화/NNG+:/SP
02-326-6200)를	02/SN+-/SO+326/SN+-/SO+6200/SN+)/SS+를/JKO
통해	통하/VV+여/EC
알아볼	알아보/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC
