한은,	한은/NNP+,/SP
장애인	장애인/NNG
3명	3/SN+명/NNB
일반사무직원으로	일반사무직원/NNG+으로/JKB
채용	채용/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
이강원	이강원/NNP
기자	기자/NNG
=	=/SW
한국은행은	한국은행/NNP+은/JX
28일	28/SN+일/NNB
장애인	장애인/NNG
3명과	3/SN+명/NNB+과/JC
고졸자	고졸/NNG+자/XSN
5명을	5/SN+명/NNB+을/JKO
일반사무직원으로	일반사무직원/NNG+으로/JKB
채용했다	채용하/VV+였/EP+다/EC

이번에	이번/NNG+에/JKB
선발된	선발되/VV+ㄴ/ETM
일반사무직원은	일반사무직원/NNG+은/JX
모두	모두/MAG
14명이다	14/SN+명/NNB+이/VCP+다/EC

한은은	한은/NNP+은/JX
"공공기관의	"/SS+공공기관/NNG+의/JKG
장애인	장애인/NNG
고용을	고용/NNG+을/JKO
촉진하고자	촉진하/VV+고자/EC
장애인고용공단의	장애인고용공단/NNG+의/JKG
추천을	추천/NNG+을/JKO
받아	받/VV+아/EC
장애인	장애인/NNG
3명을	3/SN+명/NNB+을/JKO
일반사무직원으로	일반사무직원/NNG+으로/JKB
선발했다"고	선발하/VV+였/EP+다/EF+"/SS+고/JKQ
설명했다	설명하/VV+었/EP+다/EC

고졸자	고졸/NNG+자/XSN
5명은	5/SN+명/NNB+은/JX
상업계열	상업계열/NNG
특성화	특성/NNG+화/XSN
고등학교	고등학교/NNG
졸업예정자	졸업예정자/NNG
가운데	가운데/NNG
학교장	학교장/NNG
추천을	추천/NNG+을/JKO
받아	받/VV+아/EC
필기시험과	필기시험/NNG+과/JC
면접을	면접/NNG+을/JKO
거쳐	거치/VV+어/EC
뽑았다	뽑/VV+았/EP+다/EF

한은은	한은/NNP+은/JX
지난달	지난달/NNG
정규직원	정규직원/NNG
공채시험에	공채시험/NNG+에/JKB
중증	중증/NNG
종합1급	종합/NNG+1/SN+급/NNG
장애인	장애인/NNG
1명을	1/SN+명/NNB+을/JKO
선발한	선발하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

gija007@yna	gija/SL+007/SN+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
