행안부,	행안부/NNG+,/SP
장애인	장애인/NNG
3만7천명에	3/SN+만/NR+7/SN+천/NR+명/NNB+에/JKB
정보통신보조기기	정보통신보조기기/NNG
지급	지급/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
권혜진	권혜진/NNP
기자	기자/NNG
=	=/SW
행정안전부는	행정안전부/NNG+는/JX
장애인과	장애인/NNG+과/JC
일반인	일반인/NNG
간의	간/NNB+의/JKG
정보격차를	정보격차/NNG+를/JKO
해소하기	해소하/VV+기/ETN
위해	위하/VV+여/EC
2003년부터	2003/SN+년/NNB+부터/JX
10년간	10/SN+년/NNB+간/XSN
모두	모두/MAG
3만7천여명의	3/SN+만/NR+7/SN+천/NR+여/XSN+명/NNB+의/JKG
장애인에게	장애인/NNG+에게/JKB
정보통신보조기기를	정보통신보조기기/NNG+를/JKO
지급했다고	지급하/VV+였/EP+다고/EC
7일	7/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

손과	손/NNG+과/JC
팔의	팔/NNG+의/JKG
사용이	사용/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
입으로	입/NNG+으로/JKB
타이핑을	타이핑/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와주는	도와주/VV+는/ETM
마우스스틱,	마우스스틱/NNG+,/SP
모니터	모니터/NNG
위에	위/NNG+에/JKB
센서를	센서/NNG+를/JKO
설치해	설치하/VV+여/EC
얼굴	얼굴/NNG
등에	등/NNB+에/JKB
부착한	부착하/VV+ㄴ/ETM
반사체의	반사체/NNG+의/JKG
움직임에	움직임/NNG+에/JKB
따라	따르/VV+아/EC
마우스의	마우스/NNG+의/JKG
커서를	커서/NNG+를/JKO
조작할	조작하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
특수	특수/NNG
마우스인	마우스/NNG+이/VCP+ㄴ/ETM
스마트나브	스마트나브/NNG
등이	등/NNB+이/JKS
대표적인	대표적/NNG+이/VCP+ㄴ/ETM
정보통신보조기기로,	정보통신보조기기/NNG+로/JKB+,/SP
행안부는	행안부/NNG+는/JX
장애인이	장애인/NNG+이/JKS
이러한	이러하/VA+ㄴ/ETM
제품을	제품/NNG+을/JKO
구입할	구입하/VV+ㄹ/ETM
경우	경우/NNG
비용의	비용/NNG+의/JKG
80%를	80/SN+%/SW+를/JKO
지원해준다	지원하/VV+여/EC+주/VX+ㄴ다/EF

행안부는	행안부/NNG+는/JX
또	또/MAG
장애인을	장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
연간	연간/NNG
600시간	600/SN+시간/NNB
이상의	이상/NNG+의/JKG
IT	IT/SL
전문인력	전문인력/NNG
양성교육을	양성교육/NNG+을/JKO
실시해	실시하/VV+여/EC
취업을	취업/NNG+을/JKO
지원하고	지원하/VV+고/EC
있는데	있/VX+는데/EC
2004년부터	2004/SN+년/NNB+부터/JX
최근까지	최근/NNG+까지/JX
모두	모두/MAG
1천500여명이	1/SN+천/NR+500/SN+여/XSN+명/NNB+이/JKS
이	이/MM
과정을	과정/NNG+을/JKO
수료했다	수료하/VV+였/EP+다/EC

행안부는	행안부/NNG+는/JX
"정보통신보조기기	"/SS+정보통신보조기기/NNG
지급과	지급/NNG+과/JC
IT	IT/SL
전문인력	전문인력/NNG
양성교육이	양성교육/NNG+이/JKS
장애인의	장애인/NNG+의/JKG
정보격차해소	정보격차해소/NNG
및	및/MAG
삶의	삶/NNG+의/JKG
질	질/NNG
개선에	개선/NNG+에/JKB
크게	크/VA+게/EC
기여했다"고	기여하/VV+였/EP+다/EF+"/SS+고/JKQ
자평하면서,	자평하/VV+면서/EC+,/SP
"11일	"/SS+11/SN+일/NNB
지체장애인의	지체장애인/NNG+의/JKG
날을	날/NNG+을/JKO
맞아	맞/VV+아/EC
모든	모든/MM
장애인이	장애인/NNG+이/JKS
신체적	신체/NNG+적/XSN
장애를	장애/NNG+를/JKO
이겨내고	이기/VV+어/EC+내/VX+고/EC
사회에	사회/NNG+에/JKB
적극적으로	적극적/NNG+으로/JKB
참여할	참여하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
다양한	다양하/VA+ㄴ/ETM
정보화	정보/NNG+화/XSN
지원정책을	지원정책/NNG+을/JKO
강구하겠다"고	강구하/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

lucid@yna	lucid/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
