서울시의회,	서울시/NNP+의회/NNG+,/SP
'주거	'/SS+주거/NNG
약자	약자/NNG
지원'	지원/NNG+'/SS
기본조례	기본조례/NNG
제정	제정/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
이정현	이정현/NNP
기자	기자/NNG
=	=/SW
서울시의회	서울시/NNP+의회/NNG
도시계획관리위원회(위원장	도시계획관리위원회/NNG+(/SS+위원장/NNG
장환진)는	장환진/NNP+)/SS+는/JX
27일	27/SN+일/NNB
상임위원회에서	상임위원회/NNG+에서/JKB
`서울특별시	`/SW+서울특별시/NNP
주거복지	주거복지/NNG
기본조례'	기본조례/NNG+'/SS
제정안을	제정안/NNG+을/JKO
의결했다고	의결하/VV+였/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

조례안은	조례안/NNG+은/JX
장애인,	장애인/NNG+,/SP
고령자,	고령자/NNG+,/SP
기초생활수급자의	기초생활수급자/NNG+의/JKG
주거문제를	주거문제/NNG+를/JKO
보편적	보편적/NNG
복지	복지/NNG
영역으로	영역/NNG+으로/JKB
확대해	확대하/VV+여/EC
주거복지사업을	주거복지사업/NNG+을/JKO
안정적으로	안정적/NNG+으로/JKB
추진할	추진하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
시행	시행/NNG
근거를	근거/NNG+를/JKO
담았으며,	담/VV+았/EP+으며/EC+,/SP
지원	지원/NNG
대상부터	대상/NNG+부터/JX
재원	재원/NNG
마련까지	마련/NNG+까지/JX
종합해	종합하/VV+여/EC
제정한	제정하/VV+ㄴ/ETM
것은	것/NNB+은/JX
전국	전국/NNG
지방자치단체	지방자치단체/NNG
중	중/NNB
서울시가	서울시/NNP+가/JKS
최초라고	최초/NNG+이/VCP+라고/EC
위원회는	위원회/NNG+는/JX
설명했다	설명하/VV+었/EP+다/EC

조례안은	조례안/NNG+은/JX
주거복지사업	주거복지사업/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
`주거	`/SW+주거/NNG
약자'의	약자/NNG+'/SS+의/JKG
범위에	범위/NNG+에/JKB
장애인,	장애인/NNG+,/SP
65세	65/SN+세/NNB
이상	이상/NNG
외에	외/NNB+에/JKB
공공이	공공/NNG+이/JKS
소유한	소유하/VV+ㄴ/ETM
임대주택	임대주택/NNG
거주자와	거주자/NNG+와/JKB
입주할	입주하/VV+ㄹ/ETM
자격이	자격/NNG+이/JKS
있는	있/VA+는/ETM
자,	자/NNB+,/SP
시장이	시장/NNG+이/JKS
특별히	특별히/MAG
필요하다고	필요하/VA+다고/EC
인정하는	인정하/VV+는/ETM
자	자/NNB
등을	등/NNB+을/JKO
포함했다	포함하/VV+였/EP+다/EF

또	또/MAG
5년마다	5/SN+년/NNB+마다/JX
서울시	서울시/NNP
주거복지	주거복지/NNG
기본계획을	기본계획/NNG+을/JKO
의무적으로	의무적/NNG+으로/JKB
수립하고	수립하/VV+고/EC
연도별	연도/NNG+별/XSN
시행계획을	시행계획/NNG+을/JKO
세우되	세우/VV+되/EC
주거복지위원회의	주거복지위원회/NNG+의/JKG
심의를	심의/NNG+를/JKO
거쳐	거치/VV+어/EC
확정하도록	확정하/VV+도록/EC
했다	하/VX+였/EP+다/EC

아울러	아울러/MAG
주거	주거/NNG
약자에	약자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정기적	정기적/NNG
주거실태조사를	주거실태조사/NNG+를/JKO
시행하고	시행하/VV+고/EC
주거복지사업	주거복지사업/NNG
재원	재원/NNG
마련을	마련/NNG+을/JKO
위해	위하/VV+여/EC
사회복지기금을	사회복지기금/NNG+을/JKO
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
했다	하/VX+였/EP+다/EF

장	장/NNP
위원장은	위원장/NNG+은/JX
"조례가	"/SS+조례/NNG+가/JKS
시행되면	시행되/VV+면/EC
여러	여러/MM
부서에	부서/NNG+에/JKB
흩어져	흩어지/VV+어/EC
산발적으로	산발적/NNG+으로/JKB
집행되는	집행되/VV+는/ETM
주거복지사업이	주거복지사업/NNG+이/JKS
체계적이고	체계적/NNG+이/VCP+고/EC
종합적으로	종합적/NNG+으로/JKB
집행될	집행되/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
타	타/MM
지자체의	지자체/NNG+의/JKG
주거복지사업	주거복지사업/NNG
활성화에도	활성화/NNG+에/JKB+도/JX
영향을	영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다"고	기대하/VV+ㄴ다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

이	이/MM
조례안은	조례안/NNG+은/JX
다음달	다음달/NNG
11일	11/SN+일/NNB
시의회	시의회/NNG
본회의에서	본회의/NNG+에서/JKB
의결되면	의결되/VV+면/EC
내년	내년/NNG
1월부터	1/SN+월/NNB+부터/JX
시행될	시행되/VV+ㄹ/ETM
전망이다	전망/NNG+이/VCP+다/EC

lisa@yna	lisa/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
