장애학생	장애학생/NNG
진로·직업교육	진로/NNG+·/SP+직업교육/NNG
업무협약	업무협약/NNG
체결	체결/NNG

한국장애인고용공단	한국장애인고용공단/NNP
전남직업능력개발원(원장	전남직업능력개발원/NNP+(/SS+원장/NNG
박관식,	박관식/NNP+,/SP
이하	이하/NNG
전남개발원)은	전남/NNP+개발/NNG+원/XSN+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
광주광역시교육청(교육감	광주광역시/NNP+교육청/NNG+(/SS+교육감/NNG
장휘국)과	장휘국/NNG+)/SS+과/JC
‘장애학생	‘/SN+장애학생/NNG
진로·직업교육을	진로/NNG+·/SP+직업교육/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
업무협약’을	업무협약’/NNG+을/JKO
체결했다	체결하/VV+였/EP+다/EC

이번	이번/NNG
업무	업무/NNG
협약을	협약/NNG+을/JKO
통해	통하/VV+여/EC
장애학생의	장애학생/NNG+의/JKG
직업재활	직업재활/NNG
서비스와	서비스/NNG+와/JKB
관련된	관련되/VV+ㄴ/ETM
학생	학생/NNG
현황	현황/NNG
파악	파악/NNG
및	및/MAG
정보를	정보/NNG+를/JKO
제공받아	제공/NNG+받/VV+아/EC
직업재활을	직업재활/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
위탁교육	위탁교육/NNG
연계로	연계/NNG+로/JKB
직업교육	직업교육/NNG
실시하기로	실시하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

전남개발원은	전남/NNP+개발/NNG+원/XSN+은/JX
취업	취업/NNG
전	전/MM
장애	장애/NNG
재학생을	재학생/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
직업훈련	직업훈련/NNG
위탁교육	위탁교육/NNG
실시,	실시/NNG+,/SP
졸업	졸업/NNG
예정자를	예정자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
기초학습,	기초학습/NNG+,/SP
인성교육	인성교육/NNG
뿐만	뿐만/JX
아니라	아니/VCN+라/EC
취업지원,	취업지원/NNG+,/SP
직업능력평가,	직업능력평가/NNG+,/SP
직업재활	직업재활/NNG
프로그램	프로그램/NNG
실시	실시/NNG
등	등/NNB
장애학생의	장애학생/NNG+의/JKG
직업재활을	직업재활/NNG+을/JKO
위해	위하/VV+여/EC
필요한	필요하/VA+ㄴ/ETM
내용을	내용/NNG+을/JKO
지원하기로했다	지원하/VV+기/ETN+로/JKB+하/VV+였/EP+다/EF

박관식	박관식/NNP
전남개발원장은	전남개/NNP+발원장/NNG+은/JX
“광주광역시교육청과	“/SN+광주광역시교육청/NNG+과/JKB
함께	함께/MAG
장애유형별특성에	장애유형별특성/NNP+에/JKB
맞는	맞/VV+는/ETM
직업훈련을	직업훈련/NNG+을/JKO
실시해	실시하/VV+여/EC
장애학생들이	장애학생/NNG+들/XSN+이/JKS
일을	일/NNG+을/JKO
통해	통하/VV+여/EC
사회	사회/NNG
참여할	참여하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
발판을	발판/NNG+을/JKO
만든데	만들/VV+ㄴ/ETM+데/NNB
노력할	노력하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC
