경승,	경승/NNG+,/SP
‘자회사형	‘/SN+자회사형/NNG
장애인	장애인/NNG
표준사업장’	표준사업/NNG+장/XSN+’/SL
설립	설립/NNG

중견	중견/NNG
의류제조업체인	의류제조업체/NNG+이/VCP+ㄴ/ETM
㈜경승(대표이사	㈜/SW+경승/NNP+(/SS+대표이사/NNG
박종진)이	박종진/NNP+)/SS+이/JKS
직원	직원/NNG
30%	30/SN+%/SW
이상을	이상/NNG+을/JKO
장애인으로	장애인/NNG+으로/JKB
채용하는	채용하/VV+는/ETM
‘자회사형	‘/SL+자회사형/NNG
장애인	장애인/NNG
표준사업장’을	표준사업장/NNG+’/SL+을/JKO
설립한다	설립하/VV+ㄴ다/EF

한국장애인고용공단	한국장애인고용공단/NNP
서울남부지사(지사장	서울/NNP+남부지사/NNG+(/SS+지사장/NNG
유용구)는	유용구/NNP+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
경승	경승/NNP
본사에서	본사/NNG+에서/JKB
유용구	유용구/NNP
지사장,	지사장/NNG+,/SP
박종진	박종진/NNP
대표이사	대표이사/NNG
등	등/NNB
10여명이	10/SN+여/XSN+명/NNB+이/JKS
참석한	참석하/VV+ㄴ/ETM
가운데	가운데/NNG
자회사형	자회사형/NNG
표준사업장	표준사업장/NNG
설립을	설립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
협약식을	협약/NNG+식/XSN+을/JKO
가졌다	가지/VV+었/EP+다/EC

협약	협약/NNG
체결에	체결/NNG+에/JKB
따라	따르/VV+아/EC
㈜경승은	㈜/SW+경승/NNP+은/JX
경기도	경기도/NNP
성남시에	성남시/NNP+에/JKB
법인을	법인/NNG+을/JKO
연내에	연내/NNG+에/JKB
설립하고,	설립하/VV+고/EC+,/SP
최대	최대/NNG
140명(장애인근로자	140/SN+명/NNB+(/SS+장애인근로자/NNG
31~70명)	31/SN+~/SO+70/SN+명/NNB+)/SS
규모의	규모/NNG+의/JKG
자회사형	자회사형/NNG
표준사업장을	표준사업장/NNG+을/JKO
운영할	운영하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

또한	또한/MAG
공단과	공단/NNG+과/JC
본격적인	본격적/NNG+이/VCP+ㄴ/ETM
테스크포스팀을	테스크포스팀/NNP+을/JKO
구성,	구성/NNG+,/SP
가동하고	가동하/VV+고/EC
적합	적합/NNG
장애인을	장애인/NNG+을/JKO
집중	집중/NNG
배치해	배치하/VV+여/EC
성공적인	성공적/NNG+이/VCP+ㄴ/ETM
자회사형표준사업장을	자회사형표준사업장/NNG+을/JKO
운영해	운영하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

유용구	유용구/NNP
지사장은	지사장/NNG+은/JX
“앞으로	“/SN+앞/NNG+으로/JKB
기업은	기업/NNG+은/JX
사회적기여	사회적기여/NNG
및	및/MAG
역할이	역할/NNG+이/JKS
기업	기업/NNG
성장에	성장/NNG+에/JKB
매우	매우/MAG
중요한	중요하/VA+ㄴ/ETM
요소가	요소/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“장애인	“/SL+장애인/NNG
고용에	고용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심과	관심/NNG+과/JC
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
참여에	참여/NNG+에/JKB
감사하며	감사하/VV+며/EC
이에	이/NP+에/JKB
필요한	필요하/VA+ㄴ/ETM
공단의	공단/NNG+의/JKG
역량을	역량/NNG+을/JKO
최대한	최대한/NNG
동원해	동원하/VV+여/EC
적극	적극/NNG
지원하겠다”고	지원하/VV+겠/EP+다/EC+”/VX+고/EC
말했다	말하/VV+였/EP+다/EC

박종진	박종진/NNP
대표이사는	대표이사/NNG+는/JX
“이번	“/SL+이번/NNG
장애인	장애인/NNG
표준사업장	표준사업장/NNG
설립을	설립/NNG+을/JKO
통해	통하/VV+여/EC
소외받는	소외/NNG+받/VV+는/ETM
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
나눔의	나누/VV+ㅁ/ETN+의/JKG
경영을	경영/NNG+을/JKO
실천할	실천하/VV+ㄹ/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
장애인	장애인/NNG
다수고용을	다수고용/NNG+을/JKO
통해	통하/VV+여/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
일하기	일하/VV+기/ETN
좋은	좋/VA+은/ETM
여건을	여건/NNG+을/JKO
만들어	만들/VV+어/EC
갈	가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC
