‘지적장애인	‘/SL+지적장애인/NNG
바리스타’	바리스타’/NNG
필기시험	필기시험/NNG
면제될까	면제되/VV+ㄹ까/EC

#	#/SW
난	나/VV+ㄴ/ETM
바리스타,	바리스타/NNG+,/SP
커피를	커피/NNG+를/JKO
배워보고	배우/VV+어/EC+보/VX+고/EC
바리스타가	바리스타/NNG+가/JKS
재미있고	재미있/VA+고/EC
실습도	실습/NNG+도/JX
해보니까	하/VV+여/EC+보/VX+니까/EC
너무	너무/MAG
좋았어요	좋/VA+았/EP+어요/EC

바리스타	바리스타/NNG
하면서	하/VV+면서/EC
커피도	커피/NNG+도/JX
내려보고	내리/VV+어/EC+보/VV+고/EC
커피도	커피/NNG+도/JX
마셔보고	마시/VV+어/EC+보/VX+고/EC
카페모카,	카페모카/NNG+,/SP
캬라멜마끼아또,	캬/SL+라멜마/NNG+끼/VV+아/EC+또/MAG+,/SP
녹차라떼,	녹차라떼/NNP+,/SP
아메리카노,	아메리카노/NNP+,/SP
카푸치노,	카푸치노/NNG+,/SP
초코라떼	초코라떼/NNG
등을	등/NNB+을/JKO
배웠어요	배우/VV+었/EP+어요/EF

바리스타	바리스타/NNG
정말	정말/MAG
재미있어요	재미있/VA+어요/EC

그래서	그래서/MAJ
열심히	열심히/MAG
일하고	일하/VV+고/EC
돈도	돈/NNG+도/JX
많이	많이/MAG
벌어서	벌/VV+어서/EC
가족들과	가족/NNG+들/XSN+과/JKB
친구들과	친구/NNG+들/XSN+과/JKB
모두	모두/MAG
행복하게	행복하/VA+게/EC
살고	살/VV+고/EC
싶어요(바리스타	싶/VX+어요/EF+(/SS+바리스타/NNG
교육생	교육/NNG+생/XSN
지적장애인	지적장애/NNG+이/VCP+ㄴ/ETM
A씨)최근	A/SL+씨/NNB+)/SS+최근/NNG
장애인들에게	장애인/NNG+들/XSN+에게/JKB
인기직종으로	인기직종/NNG+으로/JKB
떠오른	떠오르/VV+ㄴ/ETM
바리스타,	바리스타/NNG+,/SP
하지만	하/VV+지만/EC
지적장애인은	지적장애인/NNG+은/JX
까다로운	까다롭/VA+ㄴ/ETM
필기시험으로	필기시험/NNG+으로/JKB
합격의	합격/NNG+의/JKG
문턱에서	문턱/NNG+에서/JKB
주저앉는	주저앉/VV+는/ETM
경우가	경우/NNG+가/JKS
많다	많/VA+다/EC

이에	이/NP+에/JKB
커피시장에서의	커피시장/NNG+에서/JKB+의/JKG
지적장애인	지적장애인/NNG
영역을	영역/NNG+을/JKO
넓히기	넓히/VV+기/ETN
위한	위하/VV+ㄴ/ETM
바리스타	바리스타/NNG
필기시험	필기시험/NNG
면제	면제/NNG
목소리가	목소리/NNG+가/JKS
나오고	나오/VV+고/EC
있다	있/VX+다/EC

관련	관련/NNG
단체	단체/NNG
등에	등/NNB+에/JKB
따르면,	따르/VV+면/EC+,/SP
부산장애인인권포럼이	부산장애인인권포럼/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
한국커피협회	한국/NNP+커피협회/NNG
회원기관	회원기관/NNG
측에	측/NNB+에/JKB
지적장애인	지적장애인/NNG
1,2급을	1/SN+,/SP+2/SN+급/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
2급	2/SN+급/NNG
바리스타	바리스타/NNG
자격증	자격증/NNG
필기시험을	필기시험/NNG+을/JKO
면제해달라	면제해달라/VV
건의한	건의하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

현행	현행/NNG
사단법인	사단법인/NNG
한국커피협회(이하	한국/NNP+커피협회/NNG+(/SS+이하/NNG
협회)의	협회/NNG+)/SS+의/JKG
바리스타	바리스타/NNG
2급	2/SN+급/NNG
인증시험은	인증시험/NNG+은/JX
사지선다형으로	사지선다/NNG+형/XSN+으로/JKB
이뤄진	이루어지/VV+ㄴ/ETM
필기시험과	필기시험/NNG+과/JC
실기시험으로	실기시험/NNG+으로/JKB
이뤄져	이루어지/VV+어/EC
있다	있/VX+다/EC

필기시험의	필기시험/NNG+의/JKG
경우,	경우/NNG+,/SP
60분	60/SN+분/NNB
동안	동안/NNG
커피학	커피학/NNG
개론,	개론/NNG+,/SP
커피추출	커피추출/NNG
등의	등/NNB+의/JKG
50문항으로	50/SN+문항/NNG+으로/JKB
이뤄져	이루어지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
60점	60/SN+점/NNB
이상을	이상/NNG+을/JKO
합격으로	합격/NNG+으로/JKB
하고	하/VV+고/EC
있다	있/VX+다/EC

문제는	문제/NNG+는/JX
지능지수가	지능지수/NNG+가/JKS
낮은	낮/VA+은/ETM
지적장애인의	지적장애인/NNG+의/JKG
경우,	경우/NNG+,/SP
바리스타	바리스타/NNG
쪽에	쪽/NNB+에/JKB
재능이	재능/NNG+이/JKS
있어도	있/VA+어도/EC
필기시험의	필기시험/NNG+의/JKG
합격이	합격/NNG+이/JKS
거의	거의/MAG
불가능한	불가능하/VA+ㄴ/ETM
상황이다	상황/NNG+이/VCP+다/EC

한번	한/MM+번/NNB
암기하면	암기하/VV+면/EC
반복학습능력	반복학습능력/NNG
때문에	때문/NNB+에/JKB
실기시험은	실기시험/NNG+은/JX
무난하게	무난하/VA+게/EC
합격하지만,	합격하/VV+지만/EC+,/SP
상대평가인	상대평가/NNG+이/VCP+ㄴ/ETM
필기시험의	필기시험/NNG+의/JKG
경우	경우/NNG
커트라인을	커트라인/NNG+을/JKO
넘기는	넘기/VV+는/ETM
것이	것/NNB+이/JKS
거의	거의/MAG
불가능하다는	불가능하/VA+다는/ETM
의견	의견/NNG

금정장애인자립생활센터	금정장애인자립생활센터/NNG
전웅길	전웅길/NNP
팀장은	팀장/NNG+은/JX
“지적장애인의	“/SL+지적장애인/NNG+의/JKG
경우	경우/NNG
한번	한/MM+번/NNB
암기한	암기하/VV+ㄴ/ETM
것을	것/NNB+을/JKO
바로	바로/MAG
습성하는	습성하/VV+는/ETM
특별한	특별하/VA+ㄴ/ETM
재능을	재능/NNG+을/JKO
갖고	갖/VV+고/EC
있지만	있/VX+지만/EC
필기시험이	필기시험/NNG+이/JKS
발목을	발목/NNG+을/JKO
잡는다	잡/VV+는다/EF

상대평가기	상대평가기/NNG
때문에	때문/NNB+에/JKB
60점의	60/SN+점/NNB+의/JKG
커트라인을	커트라인/NNG+을/JKO
넘기기	넘기/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
편”이라며	편”/NNG+이/VCP+라며/EC
“협회	“/XPN+협회/NNG
(기관)	(/SS+기관/NNG+)/SS
측에	측/NNB+에/JKB
1급,2급만이라도	1/SN+급/NNG+,/SP+2/SN+급/NNG+만이라도/JX
필기시험을	필기시험/NNG+을/JKO
면제해달라고	면제하/VV+여/EC+달/VX+라고/EC
구두	구두/NNG
상으로	상/NNG+으로/JKB
건의했다”고	건의하/VV+였/EP+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
전	전/MM
팀장은	팀장/NNG+은/JX
“필기시험이	“/SL+필기시험/NNG+이/JKS
면제가	면제/NNG+가/JKC
된다면	되/VV+ㄴ다면/EC
실기의	실기/NNG+의/JKG
경우,	경우/NNG+,/SP
지적장애인이	지적장애인/NNG+이/JKS
청각,	청각/NNG+,/SP
지체장애인	지체장애인/NNG
보다	보다/MAG
