“장애인	“/SL+장애인/NNG
맞춤	맞춤/NNG
창업,	창업/NNG+,/SP
우리에게	우리/NP+에게/JKB
맡겨주세요”	맡기/VV+어/EC+주/VX+세요/EF+”/SN

중소기업청은	중소기업청/NNG+은/JX
창업에	창업/NNG+에/JKB
쉽게	쉽/VA+게/EC
접근하기	접근하/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
장애인을	장애인/NNG+을/JKO
위해	위하/VV+여/EC
매년	매년/MAG
진로설정에서	진로설정/NNG+에서/JKB
성공창업까지	성공창업/NNP+까지/JX
일괄적으로	일괄적/NNG+으로/JKB
지원하는	지원하/VV+는/ETM
서비스를	서비스/NNG+를/JKO
제공하고	제공하/VV+고/EC
있어,	있/VX+어/EC+,/SP
적극적이고	적극적/NNG+이/VCP+고/EC
능동적으로	능동적/NNG+으로/JKB
활용할	활용하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
당부했다	당부하/VV+였/EP+다/EC

장애인기업종합지원센터에서	장애인기업종합지원센터/NNG+에서/JKB
주관해	주관하/VV+여/EC
시행하는	시행하/VV+는/ETM
창업지원은	창업지원/NNG+은/JX
장애인의	장애인/NNG+의/JKG
활동제약,	활동제약/NNG+,/SP
아이템	아이템/NNG
등	등/NNB
정보력	정보력/NNG
취약,	취약/NNG+,/SP
자금부족	자금부족/NNG
등의	등/NNB+의/JKG
특성을	특성/NNG+을/JKO
반영해	반영하/VV+여/EC
철저한	철저하/VA+ㄴ/ETM
준비를	준비/NNG+를/JKO
통해	통하/VV+여/EC
창업에	창업/NNG+에/JKB
도전할	도전하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
체계적	체계적/NNG
지원절차의	지원절차/NNG+의/JKG
구축에	구축/NNG+에/JKB
중점을	중점/NNG+을/JKO
두고	두/VV+고/EC
있다	있/VX+다/EC

주된	주되/VV+ㄴ/ETM
지원으로	지원/NNG+으로/JKB
장애인예비창업자	장애인예비창업자/NNG
및	및/MAG
전업자를	전업자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
'원스탑	'/SS+원스탑/NNG
패키지	패키지/NNG
창업지원',	창업지원/NNG+'/SS+,/SP
장애인창업자금	장애인창업자금/NNG
및	및/MAG
창업보육서비스	창업보육서비스/NNG
등을	등/NNB+을/JKO
중점적으로	중점적/NNG+으로/JKB
지원하고	지원하/VV+고/EC
있다	있/VX+다/EC

먼저	먼저/MAG
'원스탑	'/SS+원스탑/NNG
패키지	패키지/NNG
창업지원'은	창업지원/NNG+'/SS+은/JX
장애인이	장애인/NNG+이/JKS
창업마인드	창업마인드/NNG
개선,	개선/NNG+,/SP
창업아이템	창업아이템/NNG
분석	분석/NNG
등	등/NNB
창업기초교육(12시간),	창업기초교육/NNG+(/SS+12/SN+시간/NNB+)/SS+,/SP
창업전문가의	창업전문가/NNG+의/JKG
심층상담을	심층상담/NNG+을/JKO
