‘제29회	‘/SL+제/XPN+29/SN+회/NNB
전국장애인기능경기대회’	전/MM+국장애인기능경기대회/NNG+’/SN
17일	17/SN+일/NNB
막올라	막/NNG+오르/VV+아/EC

‘2012	‘/SL+2012/SN
제29회	제/XPN+29/SN+회/NNB
전국장애인기능경기대회’가	전/MM+국장애인기능경기대회/NNG+’/SL+가/JKS
오는	오/VV+는/ETM
17일부터	17/SN+일/NNB+부터/JX
20일까지	20/SN+일/NNB+까지/JX
4일	4/SN+일/NNB
동안	동안/NNG
인천	인천/NNP
송도	송도/NNP
컨벤시아,	컨벤시아/NNP+,/SP
인천기계공고에서	인천기계공고/NNP+에서/JKB
펼쳐진다	펼치/VV+어/EC+지/VX+ㄴ다/EC

고용노동부와	고용노동부/NNG+와/JC
인천시가	인천시/NNP+가/JKS
주최하고,	주최하/VV+고/EC+,/SP
한국장애인고용공단이	한국/NNP+장애인고용공단/NNG+이/JKS
주관하는	주관하/VV+는/ETM
이번	이번/NNG
대회는	대회/NNG+는/JX
전국	전국/NNG
360여명의	360/SN+여/XSN+명/NNB+의/JKG
선수가	선수/NNG+가/JKS
출전해	출전하/VV+여/EC
도자기·시계수리	도자기/NNG+·/SP+시계수리/NNG
등	등/NNB
9개	9/SN+개/NNB
레저직종,	레저직종/NNG+,/SP
워드프로세서·시각디자인	워드프로세서/NNG+·/SP+시각디자인/NNG
등	등/NNB
20개	20/SN+개/NNB
정규직종,	정규직종/NNG+,/SP
번역·보석가공	번역/NNG+·/SP+보석가공/NNG
등	등/NNB
6개	6/SN+개/NNB
시범직종에서	시범직종/NNG+에서/JKB
그동안	그동안/NNG
갈고	갈/VV+고/EC
닦은	닦/VV+은/ETM
실력을	실력/NNG+을/JKO
뽐내게	뽐내/VV+게/EC
된다	되/VV+ㄴ다/EF

개회식은	개회식/NNG+은/JX
17일	17/SN+일/NNB
오후	오후/NNG
4시	4/SN+시/NNB
송도	송도/NNP
컨벤시아에서	컨벤시아/NNP+에서/JKB
열린다	열리/VV+ㄴ다/EF

이곳에서는	이곳/NP+에서/JKB+는/JX
18일부터	18/SN+일/NNB+부터/JX
19일까지	19/SN+일/NNB+까지/JX
부대행사로	부대행사/NNG+로/JKB
보조공학기기	보조공학기기/NNG
전시관,	전시관/NNG+,/SP
한지공예	한지공예/NNP
체험존	체험존/NNG
등	등/NNB
‘고객과	‘/SL+고객/NNG+과/JKB
함께하는	함께하/VV+는/ETM
종합	종합/NNG
체험의	체험/NNG+의/JKG
장’도	장’/NNG+도/JX
운영된다	운영되/VV+ㄴ다/EF

한편	한편/MAG
전국장애인기능경기대회는	전/MM+국장애인기능경기대회/NNG+는/JX
장애인	장애인/NNG
기능	기능/NNG
향상	향상/NNG
촉진	촉진/NNG
및	및/MAG
장애	장애/NNG
인식개선,	인식개선/NNG+,/SP
사회와	사회/NNG+와/JC
기업의	기업/NNG+의/JKG
장애인	장애인/NNG
고용에	고용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심	관심/NNG
유도	유도/NNG
및	및/MAG
취업기회	취업기회/NNG
확대	확대/NNG
등의	등/NNB+의/JKG
목적으로	목적/NNG+으로/JKB
매년	매년/MAG
개최돼	개최되/VV+어/EC
오고	오/VX+고/EC
있다	있/VX+다/EC
