㈜베어베터,	㈜/SW+베어베터/NNG+,/SP
발달장애인	발달장애인/NNG
30명	30/SN+명/NNB
채용	채용/NNG

“친구들이랑	“/SL+친구/NNG+들/XSN+이랑/NNB
함께	함께/MAG
일해서	일하/VV+여서/EC
좋아요	좋/VA+아요/EF

열심히	열심히/MAG
일해서	일하/VV+여서/EC
저축도	저축/NNG+도/JX
하고	하/VV+고/EC
부모	부모/NNG
님께	님/NNG+께/JKB
효도할	효도하/VV+ㄹ/ETM
거예요	것/NNB+이/VCP+에요/EC

”5일부터	”/SL+5/SN+일/NNB+부터/JX
서울	서울/NNP
성동구에	성동구/NNP+에/JKB
소재한	소재하/VV+ㄴ/ETM
㈜베어베터에	㈜/SW+베어베터/NNP+에/JKB
정규직	정규직/NNG
사원으로	사원/NNG+으로/JKB
근무하게	근무하/VV+게/EC
된	되/VV+ㄴ/ETM
윤석준	윤석준/NNP
군(지적	군/NNG+(/SS+지적/NNG
장애	장애/NNG
3급,	3/SN+급/NNG+,/SP
19세)의	19/SN+세/NNB+)/SS+의/JKG
첫	첫/MM
출근	출근/NNG
소감이다	소감/NNG+이/VCP+다/EC

윤	윤/NNP
군과	군/NNB+과/JKB
함께	함께/MAG
입사하는	입사하/VV+는/ETM
지적·자폐성	지적/NNG+·/SP+자폐성/NNG
장애를	장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
청년	청년/NNG
발달장애인은	발달장애인/NNG+은/JX
모두	모두/MAG
30명,	30/SN+명/NNB+,/SP
청년실업이	청년실업/NNG+이/JKS
높은	높/VA+은/ETM
요즘	요즘/NNG
중증장애인이라는	중증장애인/NNG+이/VCP+라는/ETM
어려움을	어려움/NNG+을/JKO
뚫고	뚫/VV+고/EC
당당히	당당히/MAG
정규직	정규직/NNG
취업에	취업/NNG+에/JKB
성공한	성공하/VV+ㄴ/ETM
이들의	이/NP+들/XSN+의/JKG
성공	성공/NNG
비결은	비결/NNG+은/JX
무얼까	무엇/NP+ㄹ/JKO+까/EC

발달장애인	발달장애인/NNG
고용을	고용/NNG+을/JKO
목적으로	목적/NNG+으로/JKB
설립된	설립되/VV+ㄴ/ETM
인쇄	인쇄/NNG
제본	제본/NNG
전문업체	전문업체/NNG
베어베터는	베어베터/NNP+는/JX
지난	지나/VV+ㄴ/ETM
9월26일	9/SN+월/NNB+26/SN+일/NNB
한국장애인고용공단	한국/NNP+장애인고용공단/NNG
고용개발원과	고용개발/NNG+원/XSN+과/JC
발달장애인의	발달장애인/NNG+의/JKG
직업영역개발	직업영역개발/NNG
및	및/MAG
좋은	좋/VA+은/ETM
일자리	일자리/NNG
확대를	확대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
협약을	협약/NNG+을/JKO
체결,	체결/NNG+,/SP
전문적이고	전문적/NNG+이/VCP+고/EC
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
직업영역개발	직업영역개발/NNG
시범사업을	시범사업/NNG+을/JKO
통해	통하/VV+여/EC
