‘신한장애인자립대출’	‘/SL+신한/NNP+장애인자립대출/NNG+’/SN
상담	상담/NNG
받으세요	받/VV+으시/EP+어요/EC

‘신한장애인자립대출’을	‘/SL+신한/NNP+장애인자립대출/NNG+’/SL+을/JKO
출시하고,	출시하/VV+고/EC+,/SP
전국	전국/NNG
9개	9/SN+개/NNB
지부에서	지부/NNG+에서/JKB
신청과	신청/NNG+과/JKB
상담을	상담/NNG+을/JKO
실시하고	실시하/VV+고/EC
있는	있/VX+는/ETM
신한미소금융이	신/XPN+한미/NNP+소금융/NNG+이/JKS
오는	오/VV+는/ETM
25일	25/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
서울시	서울시/NNP
중구	중구/NNG
신한은행	신한은행/NNP
본점에서	본점/NNG+에서/JKB
열리는	열리/VV+는/ETM
‘서민금융	‘/SL+서민금융/NNG
상담’에	상담’/NNG+에/JKB
동참한다	동참하/VV+ㄴ다/EF

금융감독원과	금융감독/NNG+원/XSN+과/JC
신한은행이	신한은행/NNP+이/JKS
주최하는	주최하/VV+는/ETM
이번	이번/NNG
상담에는	상담/NNG+에/JKB+는/JX
신한미소금융,	신/XPN+한미소금융/NNP+,/SP
한국자산관리공사,	한국자산관리공사/NNP+,/SP
대한법률구조공단,	대한/NNP+법률구조공단/NNG+,/SP
한국주택금융공사,	한국주택금융공사/NNP+,/SP
신용회복위원회	신용회복위원회/NNG
등	등/NNB
금융	금융/NNG
관련	관련/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
참여해	참여하/VV+여/EC
강연과	강연/NNG+과/JC
함께	함께/MAG
금융	금융/NNG
상담에	상담/NNG+에/JKB
나선다	나서/VV+ㄴ다/EF

강연은	강연/NNG+은/JX
서민금융지원제도에	서민금융지원제도/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
설명과	설명/NNG+과/JC
서민을	서민/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
재무	재무/NNG
설계,	설계/NNG+,/SP
보이스피싱	보이스피싱/NNG
피해사례	피해사례/NNG
및	및/MAG
대응요령	대응요령/NNG
등에	등/NNB+에/JKB
대해	대하/VV+여/EC
실시된다	실시되/VV+ㄴ다/EF

상담은	상담/NNG+은/JX
불법	불법/NNG
사금융	사금융/NNG
피해신고·법률자문	피해신고/NNG+·/SP+법률자문/NNG
및	및/MAG
서민금융	서민금융/NNG
관련	관련/NNG
상담	상담/NNG
저소득·저신용자를	저소득/NNG+·/SP+저/XPN+신용자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
대출	대출/NNG
상담	상담/NNG
영세	영세/NNG
사업자	사업자/NNG
대출	대출/NNG
청년·대학생	청년/NNG+·/SP+대학생/NNG
소액자금	소액자금/NNG
대출	대출/NNG
상담	상담/NNG
저소득자	저소득자/NNG
창업자금	창업자금/NNG
지원	지원/NNG
전·월세자금대출	전/XSN+·/SP+월세자금대출/NNG
보증상담	보증상담/NNG
신용회복	신용회복/NNG
지원	지원/NNG
상담	상담/NNG
채무·연체	채무/NNG+·/SP+연체/NNG
신용등급	신용등급/NNG
상담	상담/NNG
등으로	등/NNB+으로/JKB
이뤄진다	이루어지/VV+ㄴ다/EC

신청	신청/NNG
접수	접수/NNG
없이	없이/MAG
누구나	누구/NP+나/JX
참석	참석/NNG
가능하며	가능하/VA+며/EC
기타	기타/NNG
자세한	자세하/VA+ㄴ/ETM
사항은	사항/NNG+은/JX
신한미소금융재단(032-508-5102)로	신/XPN+한미소금융재단/NNP+(/SS+032/SN+-/SO+508/SN+-/SO+5102/SN+)/SS+로/JKB
문의하면	문의하/VV+면/EC
된다	되/VV+ㄴ다/EF

한편	한편/MAG
신한미소금융이	신/XPN+한미/NNP+소금융/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
한국장애인단체총연합회와	한국장애인단체총연합회/NNP+와/JC
업무협약을	업무협약/NNG+을/JKO
맺은	맺/VV+은/ETM
뒤	뒤/NNG
곧바로	곧바로/MAG
출시한	출시하/VV+ㄴ/ETM
‘신한장애인자립대출’은	‘/SN+신한/NNP+장애인자립대출/NNG+’/SL+은/JX
중증장애인	중증장애인/NNG
개인과	개인/NNG+과/JC
가족,	가족/NNG+,/SP
장애인을	장애인/NNG+을/JKO
고용하고	고용하/VV+고/EC
있는	있/VX+는/ETM
소규모	소규모/NNG
사업주를	사업주/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
장애인	장애인/NNG
자립을	자립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
창업자금	창업자금/NNG
및	및/MAG
운영자금을	운영자금/NNG+을/JKO
지원하는	지원하/VV+는/ETM
장애인	장애인/NNG
맞춤형	맞춤/NNG+형/XSN
대출	대출/NNG
상품이다	상품/NNG+이/VCP+다/EC
