‘보조기구지원위원회’	‘/SL+보조기구지원위원회/NNG+’/SN
설치	설치/NNG
법률안	법률안/NNG
발의	발의/NNG

법정장애인의	법정장애인/NNG+의/JKG
범주가	범주/NNG+가/JKS
확대되고	확대되/VV+고/EC
고령화	고령화/NNG
사회로	사회/NNG+로/JKB
급속하게	급속하/VA+게/EC
진입하고	진입하/VV+고/EC
있어	있/VX+어/EC
재활보조기구를	재활보조기구/NNG+를/JKO
필요로	필요/NNG+로/JKB
하는	하/VV+는/ETM
인구가	인구/NNG+가/JKS
계속	계속/MAG
늘어나는	늘어나/VV+는/ETM
가운데,	가운데/NNG+,/SP
재활보조기구를	재활보조기구/NNG+를/JKO
체계적으로	체계적/NNG+으로/JKB
관리·감독할	관리/NNG+·/SP+감독하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
전달체계를	전달체계/NNG+를/JKO
구축하는	구축하/VV+는/ETM
법안이	법안/NNG+이/JKS
국회에	국회/NNG+에/JKB
제출됐다	제출되/VV+었/EP+다/EF

국회	국회/NNG
국토해양위원회	국토해양위원회/NNP
소속	소속/NNG
이명수	이명수/NNP
의원(새누리당)이	의원/NNG+(/SS+새누리당/NNP+)/SS+이/JKS
4일	4/SN+일/NNB
‘장애인·노인을	‘/SN+장애인/NNG+·/SP+노인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
보조기구	보조기구/NNG
지원	지원/NNG
및	및/MAG
산업	산업/NNG
육성에	육성/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률안’을	법률안’/NNG+을/JKO
대표발의했다	대표/NNG+발의하/VV+였/EP+다/EC

현재	현재/MAG
장애인	장애인/NNG
중	중/NNB
최소	최소/NNG
1개	1/SN+개/NNB
이상	이상/NNG
재활보조기구가	재활보조기구/NNG+가/JKS
필요한	필요하/VA+ㄴ/ETM
사람이	사람/NNG+이/JKS
약	약/MM
108만	108/SN+만/NR
명에	명/NNB+에/JKB
이르고,	이르/VV+고/EC+,/SP
노인인구	노인인구/NNG
중	중/NNB
잠재적	잠재적/NNG
수요자도	수요자/NNG+도/JX
약	약/MM
358만	358/SN+만/NR
명에	명/NNB+에/JKB
이르고	이르/VV+고/EC
있다	있/VX+다/EC

하지만	하지만/MAJ
재활보조기구	재활보조기구/NNG
수요가	수요/NNG+가/JKS
늘어나고	늘어나/VV+고/EC
있음에도	있/VX+음/ETN+에/JKB+도/JX
불구하고,	불구하/VV+고/EC+,/SP
수요자에	수요자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재활보조기구	재활보조기구/NNG
지원	지원/NNG
및	및/MAG
서비스	서비스/NNG
체계가	체계/NNG+가/JKS
제대로	제대로/MAG
갖추어져	갖추/VV+어/EC+지/VX+어/EC
있지	있/VX+지/EC
않을	않/VX+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
품질관리·유통체계도	품질관리/NNG+·/SP+유통체계/NNG+도/JX
매우	매우/MAG
허술한	허술하/VA+ㄴ/ETM
실정	실정/NNG

또한	또한/MAG
일부	일부/NNG
재활보조기구	재활보조기구/NNG
유통업체의	유통업체/NNG+의/JKG
얄팍한	얄팍하/VA+ㄴ/ETM
상술과	상술/NNG+과/JC
도덕적	도덕적/NNG
해이	해이/NNG
등	등/NNB
보조기구에	보조기구/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
