서울시,	서울시/NNP+,/SP
취약계층	취약계층/NNG
1238명에	1238/SN+명/NNB+에/JKB
일자리	일자리/NNG
제공	제공/NNG

형편이	형편/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
계층이나	계층/NNG+이나/JC
미취업청년층에게는	미취업청년/NNG+층/XSN+에게/JKB+는/JX
자신의	자신/NNG+의/JKG
재능과	재능/NNG+과/JC
기술을	기술/NNG+을/JKO
활용할	활용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일자리를	일자리/NNG+를/JKO
제공하고,	제공하/VV+고/EC+,/SP
또	또/MAG
이	이/MM
일자리를	일자리/NNG+를/JKO
통해	통하/VV+여/EC
지역민들은	지역민/NNG+들/XSN+은/JX
다양한	다양하/VA+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
제공받는	제공/NNG+받/VV+는/ETM
‘지역공동체	‘/SL+지역공동체/NNG
사업’이	사업’/NNG+이/JKS
활발하게	활발하/VA+게/EC
운영되고	운영되/VV+고/EC
있다	있/VX+다/EC

서울시는	서울시/NNP+는/JX
이달	이달/NNG
초부터	초/NNB+부터/JX
4개월간	4/SN+개월/NNB+간/XSN
운영되는	운영되/VV+는/ETM
‘지역공동체	‘/SL+지역공동체/NNG
일자리사업’이	일자리사업/NNG+’/SL+이/JKS
25개	25/SN+개/NNB
자치구에서	자치구/NNG+에서/JKB
운영되고	운영되/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
이	이/MM
사업에	사업/NNG+에/JKB
1238명의	1238/SN+명/NNB+의/JKG
지역민이	지역민/NNG+이/JKS
채용돼	채용되/VV+어/EC
일하고	일하/VV+고/EC
있다고	있/VX+다고/EC
17일	17/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

서울시가	서울시/NNP+가/JKS
25개	25/SN+개/NNB
자치구와	자치구/NNG+와/JKB
함께	함께/MAG
추진하고	추진하/VV+고/EC
있는	있/VX+는/ETM
‘지역공동체	‘/SL+지역공동체/NNG
일자리사업’은	일자리사업/NNG+’/SL+은/JX
중소기업취업지원사업	중소기업취업지원사업/NNG
취약계층	취약계층/NNG
집수리사업	집수리사업/NNG
다문화가정지원사업	다문화가정지원사업/NNG
재해예방지원	재해예방지원/NNG
사업	사업/NNG
폐자원	폐자원/NNG
재활용사업	재활용사업/NNG
주민숙원사업	주민숙원사업/NNG
문화공간	문화공간/NNG
및	및/MAG
체험장	체험장/NNG
조성사업	조성사업/NNG
국가	국가/NNG
시책	시책/NNG
사업	사업/NNG
등	등/NNB
8가지	8/SN+가지/NNB
분야	분야/NNG
아래	아래/NNG
194개의	194/SN+개/NNB+의/JKG
세부사업으로	세부사업/NNG+으로/JKB
나눠	나누/VV+어/EC
