장애학생,	장애학생/NNG+,/SP
교육기관	교육기관/NNG
취업	취업/NNG
쉬워진다	쉬워지/VV+ㄴ다/EF

교육과학기술부과	교육과학기술부/NNG+과/JC
한국장애인고용공단이	한국/NNP+장애인고용공단/NNG+이/JKS
취업이	취업/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
특수학교(급)	특수학교/NNG+(/SS+급/NNG+)/SS
장애학생의	장애학생/NNG+의/JKG
일자리	일자리/NNG
창출을	창출/NNG+을/JKO
본격적으로	본격적/NNG+으로/JKB
추진하기	추진하/VV+기/ETN
위해	위하/VV+여/EC
‘각급학교	‘/SL+각급학교/NNG
내	내/NNB
장애인	장애인/NNG
일자리사업’	일자리사업’/NNG
워크숍을	워크숍/NNG+을/JKO
개최했다	개최하/VV+였/EP+다/EC

19일	19/SN+일/NNB
오후	오후/NNG
1시	1/SN+시/NNB
국립특수교육원에서	국립특수교육원/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
워크숍에는	워크숍/NNG+에/JKB+는/JX
교육과학기술부,	교육과학기술부/NNG+,/SP
전국	전국/NNG
16개	16/SN+개/NNB
시?도교육청,	시/NNG+?/SF+도교육청/NNG+,/SP
한국장애인고용공단	한국/NNP+장애인고용공단/NNG
18개	18/SN+개/NNB
지사,	지사/NNG+,/SP
전국	전국/NNG
특수학교(급)에서	특수학교/NNG+(/SS+급/NNG+)/SS+에서/JKB
300여명이	300/SN+여/XSN+명/NNB+이/JKS
참석해	참석하/VV+여/EC
뜨거운	뜨겁/VA+ㄴ/ETM
관심	관심/NNG
속에서	속/NNG+에서/JKB
실제	실제/NNG
지역별	지역/NNG+별/XSN
실행방안이	실행방안/NNG+이/JKS
논의됐다	논의되/VV+었/EP+다/EF

‘각급학교	‘/SN+각급학교/NNG
내	내/NNB
장애인	장애인/NNG
일자리사업’은	일자리사업/NNG+’/SL+은/JX
그동안	그동안/NNG
교육장소로만	교육장소/NNG+로/JKB+만/JX
생각했던	생각하/VV+였/EP+던/ETM
학교를	학교/NNG+를/JKO
“장애학생	“/SL+장애학생/NNG
취업의	취업/NNG+의/JKG
장”으로	장”/NNG+으로/JKB
활용하는	활용하/VV+는/ETM
방안으로	방안/NNG+으로/JKB
교과부와	교과부/NNG+와/JC
16개	16/SN+개/NNB
시·도교육청,	시/NNG+·/SP+도교육청/NNG+,/SP
공단이	공단/NNG+이/JKS
공동으로	공동/NNG+으로/JKB
추진하는	추진하/VV+는/ETM
사업이다	사업/NNG+이/VCP+다/EC

지난해	지난해/NNG
공단과	공단/NNG+과/JC
서울특별시교육청이	서울/NNP+특별시교육청/NNG+이/JKS
공동	공동/NNG
진행한	진행하/VV+ㄴ/ETM
‘커리어점프	‘/SN+커리어점프/NNP
희망일자리	희망일자리/NNG
만들기’	만들/VV+기/ETN+’/SP
시범사업을	시범사업/NNG+을/JKO
통해	통하/VV+여/EC
각급학교의	각급학교/NNG+의/JKG
장애학생	장애학생/NNG
고용	고용/NNG
가능성을	가능성/NNG+을/JKO
확인한	확인하/VV+ㄴ/ETM
교과부는	교과부/NNG+는/JX
올해부터	올해/NNG+부터/JX
이를	이/NP+를/JKO
16개	16/SN+개/NNB
시?도교육청으로	시/NNG+?/SF+도교육청/NNG+으로/JKB
확대할	확대하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

이를	이/NP+를/JKO
위해	위하/VV+여/EC
교과부에서는	교과부/NNG+에서/JKB+는/JX
지난해	지난해/NNG
12월부터	12/SN+월/NNB+부터/JX
TFT를	TFT/SL+를/JKO
구성해	구성하/VV+여/EC
부내	부내/NNG
관련과	관련/NNG+과/JKB
협의를	협의/NNG+를/JKO
거치면서	거치/VV+면서/EC
장애학생이	장애학생/NNG+이/JKS
각급학교에서	각급학교/NNG+에서/JKB
현장실습과	현장실습/NNG+과/JC
근로를	근로/NNG+를/JKO
병행할	병행하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
급식보조,	급식보조/NNG+,/SP
사서보조,	사서보조/NNP+,/SP
행정업무보조,	행정업무보조/NNG+,/SP
청소보조,	청소보조/NNG+,/SP
특수교육보조,	특수교육보조/NNG+,/SP
교무보조,	교무보조/NNG+,/SP
통학버스보조,	통학버스보조/NNG+,/SP
특별실관리보조	특별실관리보조/NNG
등	등/NNB
8개	8/SN+개/NNB
적합	적합/NNG
직무를	직무/NNG+를/JKO
발굴?개발했으며,	발굴/NNG+?/SF+개발하/VV+였/EP+으며/EC+,/SP
적합	적합/NNG
직무별	직무/NNG+별/XSN
근로가능	근로가능/NNG
장애학생	장애학생/NNG
784명을	784/SN+명/NNB+을/JKO
양성해	양성하/VV+여/EC
학교별로	학교/NNG+별/XSN+로/JKB
상시채용	상시채용/NNG
가능한	가능하/VA+ㄴ/ETM
장애학생	장애학생/NNG
인력풀을	인력풀/NNG+을/JKO
구축했다	구축하/VV+였/EP+다/EF

이번	이번/NNG
워크숍을	워크숍/NNG+을/JKO
계기로	계기/NNG+로/JKB
‘각급학교	‘/SN+각급학교/NNG
내	내/NNB
장애인	장애인/NNG
일자리사업’이	일자리사업/NNG+’/SL+이/JKS
조기	조기/NNG
정착될	정착되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
교과부는	교과부/NNG+는/JX
사업정보	사업정보/NNG
공유와	공유/NNG+와/JC
담당자	담당자/NNG
역량강화에	역량강화/NNG+에/JKB
힘쓰고,	힘쓰/VV+고/EC+,/SP
공단은	공단/NNG+은/JX
학교가	학교/NNG+가/JKS
적합	적합/NNG
직무에	직무/NNG+에/JKB
장애학생을	장애학생/NNG+을/JKO
고용할	고용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
최적의	최적/NNG+의/JKG
고용지원서비스를	고용지원서비스/NNG+를/JKO
지원할	지원하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

공단	공단/NNG
관계자는	관계자/NNG+는/JX
“‘각급학교	“/SN+‘/SL+각급학교/NNG
내	내/NNB
장애인	장애인/NNG
일자리사업’을	일자리사업’/NNG+을/JKO
통해	통하/VV+여/EC
장애학생은	장애학생/NNG+은/JX
학교라는	학교/NNG+이/VCP+라는/ETM
익숙하고	익숙하/VA+고/EC
편안한	편안하/VA+ㄴ/ETM
환경에서	환경/NNG+에서/JKB
일하며	일하/VV+며/EC
자신의	자신/NNG+의/JKG
능력을	능력/NNG+을/JKO
발휘할	발휘하/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EC+”/VV+며/EC
“교육기관은	“/SL+교육기관/NNG+은/JX
장애인고용의무를	장애인고용의무/NNG+를/JKO
미이행해	미이행하/VV+여/EC
납부해오던	납부하/VV+여/EC+오/VX+던/ETM
장애인고용부담금	장애인고용부담금/NNG
예산을	예산/NNG+을/JKO
장애학생의	장애학생/NNG+의/JKG
취업	취업/NNG
지원에	지원/NNG+에/JKB
재투자하는	재투자하/VV+는/ETM
선순환구조를	선순환구조/NNG+를/JKO
이루어내는	이루/VV+어/EC+내/VX+는/ETM
긍정적인	긍정적/NNG+이/VCP+ㄴ/ETM
성과를	성과/NNG+를/JKO
거둘	거두/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대된다”고	기대되/VV+ㄴ다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC
