LIG넥스원(주),	LIG/SL+넥스/NNG+원/XSN+(/SS+주/NNG+)/SS+,/SP
자회사형	자회사형/NNG
표준사업장	표준사업장/NNG
설립	설립/NNG

한국장애인고용공단(이사장	한국장애인고용공단/NNP+(/SS+이사장/NNG
이성규,	이성규/NNP+,/SP
이하	이하/NNG
공단)과	공단/NNG+)/SS+과/JC
LIG넥스원(주)은	LIG/SL+넥스/NNG+원/XSN+(/SS+주/NNG+)/SS+은/JX
5일	5/SN+일/NNB
오전	오전/NNG
판교	판교/NNP
R&D센터(경기도	R/SL+&/SW+D/SL+센터/NNG+(/SS+경기도/NNP
분당	분당/NNP
소재)에서	소재/NNG+)/SS+에서/JKB
‘자회사형	‘/SN+자회사형/NNG
표준사업장	표준사업장/NNG
설립	설립/NNG
협약식’을	협약/NNG+식/XSN+’/SL+을/JKO
가졌다	가지/VV+었/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
LIG넥스원(주)과	LIG/SL+넥스원/NNG+(/SS+주/NNG+)/SS+과/JC
한국장애인고용공단은	한국/NNP+장애인고용공단/NNG+은/JX
장애인	장애인/NNG
일자리	일자리/NNG
창출을	창출/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
자회사형	자회사형/NNG
표준사업장	표준사업장/NNG
설립을	설립/NNG+을/JKO
공동	공동/NNG
추진한다	추진하/VV+ㄴ다/EF

LIG넥스원(주)는	LIG/SL+넥스/NNG+원/XSN+(/SS+주/NNG+)/SS+는/JX
자회사형	자회사형/NNG
표준사업장	표준사업장/NNG
설립에	설립/NNG+에/JKB
따라	따르/VV+아/EC
장애인에게	장애인/NNG+에게/JKB
적합한	적합하/VA+ㄴ/ETM
다양한	다양하/VA+ㄴ/ETM
직무를	직무/NNG+를/JKO
개발해	개발하/VV+여/EC
많은	많/VA+은/ETM
양질의	양질/NNG+의/JKG
일자리를	일자리/NNG+를/JKO
제공할	제공하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

자회사형	자회사형/NNG
표준사업장은	표준사업장/NNG+은/JX
장애인의무고용사업주인	장애인의무고용사업주인/NNG
모회사가	모회사/NNG+가/JKS
장애인고용을	장애인고용/NNG+을/JKO
목적으로	목적/NNG+으로/JKB
일정	일정/NNG
요건을	요건/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
자회사를	자회사/NNG+를/JKO
설립하는	설립하/VV+는/ETM
경우	경우/NNG
자회사에	자회사/NNG+에/JKB
고용된	고용되/VV+ㄴ/ETM
장애인을	장애인/NNG+을/JKO
모회사가	모회사/NNG+가/JKS
고용한	고용하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
간주해	간주하/VV+여/EC
지원하는	지원하/VV+는/ETM
제도이다	제도/NNG+이/VCP+다/EC

LIG넥스원(주)	LIG/SL+넥스원/NNP+(/SS+주/NNG+)/SS
박영철	박영철/NNP
상무는	상무/NNG+는/JX
“장애인들에게	“/SL+장애인/NNG+들/XSN+에게/JKB
자립의	자립/NNG+의/JKG
기반을	기반/NNG+을/JKO
마련해	마련하/VV+여/EC
주어	주/VX+어/EC
나눔과	나누/VV+ㅁ/ETN+과/JC
상생의	상생/NNG+의/JKG
경영을	경영/NNG+을/JKO
실천할	실천하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
성공적인	성공적/NNG+이/VCP+ㄴ/ETM
설립과	설립/NNG+과/JC
운영을	운영/NNG+을/JKO
위해	위하/VV+여/EC
최선의	최선/NNG+의/JKG
노력을	노력/NNG+을/JKO
다할	다하/VV+ㄹ/ETM
것”을	것/NNB+”/SL+을/JKO
강조했다	강조하/VV+였/EP+다/EC
