'장애인	'/SS+장애인/NNG
고용부담금'	고용부담금/NNG+'/SS
부과기준	부과기준/NNG
세분화	세분화/NNG

장애인고용부담금	장애인고용부담금/NNG
부과기준이	부과기준/NNG+이/JKS
기존	기존/NNG
3단계서	3/SN+단계/NNG+서/JKB
4단계로	4/SN+단계/NNG+로/JKB
세분화되고	세분화되/VV+고/EC
장애인표준사업장	장애인표준사업장/NNG
설립요건도	설립요건/NNG+도/JX
완화된다	완화되/VV+ㄴ다/EF

고용노동부는	고용노동부/NNG+는/JX
대기업의	대기업/NNG+의/JKG
장애인	장애인/NNG
고용률을	고용/NNG+률/XSN+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+여/EC
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
골자로	골자/NNG+로/JKB
하는	하/VV+는/ETM
‘장애인고용촉진	‘/SL+장애인고용촉진/NNG
및	및/MAG
직업재활법	직업재활법/NNG
시행규칙’	시행규칙/NNG+’/SL
개정령안을	개정령안/NNG+을/JKO
입법예고할	입법예고하/VV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
13일	13/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

먼저	먼저/MAG
고용노동부는	고용노동부/NNG+는/JX
현재	현재/MAG
장애인	장애인/NNG
고용부담금을	고용부담금/NNG+을/JKO
장애인	장애인/NNG
고용의무	고용의무/NNG
이행정도에	이행정도/NNG+에/JKB
따라	따르/VV+아/EC
3단계로	3/SN+단계/NNG+로/JKB
산정해	산정하/VV+여/EC
부과하고	부과하/VV+고/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
1단계를	1/SN+단계/NNG+를/JKO
추가해	추가하/VV+여/EC
총	총/MM
4단계로	4/SN+단계/NNG+로/JKB
부과한다는	부과하/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

고용노동부는	고용노동부/NNG+는/JX
장애인	장애인/NNG
의무고용률의	의무고용률/NNG+의/JKG
절반	절반/NNG
이상	이상/NNG
고용	고용/NNG
시,	시/NNG+,/SP
절반	절반/NNG
미만	미만/NNG
고용	고용/NNG
시,	시/NNG+,/SP
1명도	1/SN+명/NNB+도/JX
고용하지	고용하/VV+지/EC
않은	않/VX+은/ETM
