개발원·한경대,	개발원/NNG+·/SP+한경대/NNP+,/SP
중증장애인생산품	중증장애인생산품/NNG
수의계약	수의계약/NNG

한국장애인개발원(원장	한국/NNP+장애인개발/NNG+원/XSN+(/SS+원장/NNG
변용찬	변용차/VV+ㄴ/ETM
www	www/SL

koddi	koddi/SL

or	or/SL

kr)은	kr/SL+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
해양경찰청과	해양경찰청/NNG+과/JC
3억	3/SN+억/NR
원	원/NNB
상당의	상당/NNG+의/JKG
수의계약을	수의계약/NNG+을/JKO
맺은	맺/VV+은/ETM
것에	것/NNB+에/JKB
이어	잇/VV+어/EC
한경대학교와도	한경대학교/NNP+와/JKB+도/JX
수의계약을	수의계약/NNG+을/JKO
맺었다고	맺/VV+었/EP+다고/EC
1일	1/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

한경대학교는	한경/NNP+대학교/NNG+는/JX
한국장애인개발원을	한국/NNP+장애인개발/NNG+원/XSN+을/JKO
통해	통하/VV+여/EC
7000여만원	7000/SN+여/XSN+만/NR+원/NNB
상당	상당/NNG
중증장애인생산품의	중증장애인생산품/NNG+의/JKG
가구류를	가구/NNG+류/XSN+를/JKO
구입,	구입/NNG+,/SP
실험실에	실험실/NNG+에/JKB
비치한다	비치하/VV+ㄴ다/EF

뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
예술의	예술/NNG+의/JKG
전당도	전당/NNG+도/JX
7000여만	7000/SN+여/XSN+만/NR
원	원/NNB
상당	상당/NNG
티켓	티켓/NNG
인쇄에	인쇄/NNG+에/JKB
대해	대하/VV+여/EC
수의계약을	수의계약/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
상황이다	상황/NNG+이/VCP+다/EC

이처럼	이/NP+처럼/JKB
중증장애인생산품에	중증장애인생산품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수요는	수요/NNG+는/JX
다양한	다양하/VA+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
더욱	더욱/MAG
늘어나고	늘어나/VV+고/EC
있는	있/VX+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

정부의	정부/NNG+의/JKG
중증장애인생산품	중증장애인생산품/NNG
우선구매제도	우선구매제도/NNG
확대와	확대/NNG+와/JKB
함께	함께/MAG
공공기관의	공공기관/NNG+의/JKG
수의계약	수의계약/NNG
대행으로	대행/NNG+으로/JKB
품질을	품질/NNG+을/JKO
신뢰할	신뢰하/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
공정거래가	공정거래/NNG+가/JKS
가능해짐에	가능하/VA+여/EC+지/VX+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
중증장애인생산품에	중증장애인생산품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전체적인	전체적/NNG+이/VCP+ㄴ/ETM
신뢰도가	신뢰도/NNG+가/JKS
높아진	높아지/VV+ㄴ/ETM
것	것/NNB

또한	또한/MAG
피복,	피복/NNG+,/SP
인쇄,	인쇄/NNG+,/SP
LED조명,	LED/SL+조명/NNG+,/SP
가구	가구/NNG
등	등/NNB
중증장애인생산품의	중증장애인생산품/NNG+의/JKG
취급분야의	취급분야/NNG+의/JKG
다양함이	다양하/VA+ㅁ/ETN+이/JKS
알려지면서	알려지/VV+면서/EC
공공기관	공공기관/NNG
외	외/NNB
다양한	다양하/VA+ㄴ/ETM
업체에서도	업체/NNG+에서/JKB+도/JX
생산품에	생산품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
러브콜을	러브콜/NNG+을/JKO
보내고	보내/VV+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
개발원	개발/NNG+원/XSN
관계자는	관계자/NNG+는/JX
“앞으로도	“/SN+앞/NNG+으로/JKB+도/JX
중증장애인생산품	중증장애인생산품/NNG
품질에	품질/NNG+에/JKB
대해	대하/VV+여/EC
꾸준히	꾸준히/MAG
관리하고,	관리하/VV+고/EC+,/SP
품목을	품목/NNG+을/JKO
다양하게	다양하/VA+게/EC
확대해	확대하/VV+여/EC
중증장애인생산품	중증장애인생산품/NNG
구매	구매/NNG
활성화에	활성화/NNG+에/JKB
일조할	일조하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력할	노력하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC
