장애인고용부담금의	장애인고용부담금/NNG+의/JKG
불편한	불편하/VA+ㄴ/ETM
진실	진실/NNG

장애인의	장애인/NNG+의/JKG
사회참여	사회참여/NNG
기회와	기회/NNG+와/JC
취업을	취업/NNG+을/JKO
확대하기	확대하/VV+기/ETN
위해	위하/VV+여/EC
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
장애인의무고용률과	장애인의무고용률/NNG+과/JC
이를	이/NP+를/JKO
위반할	위반하/VV+ㄹ/ETM
시	시/NNB
발생되는	발생되/VV+는/ETM
장애인고용부담금	장애인고용부담금/NNG

여전히	여전히/MAG
많은	많/VA+은/ETM
국가기관,	국가기관/NNG+,/SP
민간기업	민간기업/NNG
등이	등/NNB+이/JKS
의무고용률을	의무고용률/NNG+을/JKO
지키지	지키/VV+지/EC
않아	않/VX+아/EC
‘울며	‘/SW+울/VV+며/EC
겨자먹기’로	겨자/NNG+먹/VV+기/ETN+’/SN+로/JKB
부담금을	부담금/NNG+을/JKO
내고	내/VV+고/EC
있다	있/VX+다/EC

장애인고용부담금이란	장애인고용부담금/NNG+이/VCP+란/ETM
상시근로자를	상시근로자/NNG+를/JKO
100명이상	100/SN+명/NNB+이상/NNG
고용하고	고용하/VV+고/EC
있는	있/VX+는/ETM
공공기관	공공기관/NNG
및	및/MAG
민간기업	민간기업/NNG
중	중/NNB
장애인의무고용률	장애인의무고용률/NNG
미만으로	미만/NNG+으로/JKB
장애인을	장애인/NNG+을/JKO
고용한	고용하/VV+ㄴ/ETM
사업주에게	사업주/NNG+에게/JKB
부과하는	부과하/VV+는/ETM
부담금을	부담금/NNG+을/JKO
말한다	말하/VV+ㄴ다/EF

현재	현재/MAG
장애인의무고용률은	장애인의무고용률/NNG+은/JX
국가·자치단체의	국가/NNG+·/SP+자치단체/NNG+의/JKG
경우	경우/NNG
공무원	공무원/NNG
3%,	3/SN+%/SW+,/SP
‘공무원이	‘/SL+공무원/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
근로자’	근로자/NNG+’/SN
2	2/SN

5%이며	5/SN+%/SW+이/VCP+며/EC
공공기관은	공공기관/NNG+은/JX
3%,	3/SN+%/SW+,/SP
기타공공기관과	기타공공기관/NNG+과/JC
민간기업은	민간기업/NNG+은/JX
2	2/SN

5%다	5/SN+%/SW+다/EC

이를	이/NP+를/JKO
지키지	지키/VV+지/EC
않으면	않/VX+으면/EC
‘장애인고용촉진	‘/SN+장애인고용촉진/NNG
및	및/MAG
직업재활법’에	직업재활법/NNG+’/SL+에/JKB
따라	따르/VV+아/EC
매년	매년/MAG
부담금을	부담금/NNG+을/JKO
납부해야	납부하/VV+여야/EC
한다	하/VX+ㄴ다/EF

하지만	하지만/MAJ
정부부처를	정부부처/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
국가기관	국가기관/NNG
및	및/MAG
자치단체는	자치단체/NNG+는/JX
‘공무원이	‘/SN+공무원/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
근로자’의	근로자/NNG+’/SL+의/JKG
장애인의무고용률이	장애인의무고용률/NNG+이/JKS
미달했을	미달하/VV+였/EP+을/ETM
