UNIST	UNIST/SL
"과학영재들,	"/SS+과학영재/NNG+들/XSN+,/SP
장애인	장애인/NNG
위한	위하/VV+ㄴ/ETM
로봇지팡이	로봇지팡이/NNG
개발"	개발/NNG+"/SS

(울산=연합뉴스)	(/SS+울산/NNG+=/SW+연합뉴스/NNP+)/SS
이상현	이상현/NNP
기자	기자/NNG
=	=/SW
UNIST(울산과기대)에서	UNIST/SL+(/SS+울산과기대/NNP+)/SS+에서/JKB
올해	올해/NNG
실험과제를	실험과제/NNG+를/JKO
수행한	수행하/VV+ㄴ/ETM
과학영재들이	과학영재/NNG+들/XSN+이/JKS
장애인과	장애인/NNG+과/JC
노약자의	노약자/NNG+의/JKG
보행을	보행/NNG+을/JKO
돕는	돕/VV+는/ETM
로봇	로봇/NNG
지팡이를	지팡이/NNG+를/JKO
개발했다	개발하/VV+였/EP+다/EC

학생들이	학생/NNG+들/XSN+이/JKS
개발한	개발하/VV+ㄴ/ETM
지팡이에는	지팡이/NNG+에/JKB+는/JX
초음파	초음파/NNG
센서와	센서/NNG+와/JC
적외선	적외선/NNG
센서가	센서/NNG+가/JKS
부착돼	부착되/VV+어/EC
있다	있/VX+다/EF

센서가	센서/NNG+가/JKS
보행자	보행자/NNG
앞의	앞/NNG+의/JKG
물체를	물체/NNG+를/JKO
감지하면	감지하/VV+면/EC
지팡이의	지팡이/NNG+의/JKG
손잡이가	손잡이/NNG+가/JKS
진동하거나	진동하/VV+거나/EC
소리가	소리/NNG+가/JKS
나고	나/VV+고/EC
발광다이오드(LED)에서	발광다이오드/NNG+(/SS+LED/SL+)/SS+에서/JKB
조명이	조명/NNG+이/JKS
켜져	켜/VV+어/EC+지/VX+어/EC
보행자가	보행자/NNG+가/JKS
길을	길/NNG+을/JKO
찾는데	찾/VV+는/ETM+데/NNB
도움을	도움/NNG+을/JKO
준다	주/VV+ㄴ다/EF

자동차	자동차/NNG
후방	후방/NNG
센서와	센서/NNG+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
물체에	물체/NNG+에/JKB
가까이	가까이/MAG
다가갈수록	다가가/VV+ㄹ수록/EC
진동의	진동/NNG+의/JKG
폭과	폭/NNG+과/JC
소리가	소리/NNG+가/JKS
커지고	커지/VV+고/EC
조명이	조명/NNG+이/JKS
강해진다	강하/VA+여/EC+지/VX+ㄴ다/EF

이	이/MM
아이디어는	아이디어/NNG+는/JX
27일	27/SN+일/NNB
부산,	부산/NNP+,/SP
울산,	울산/NNP+,/SP
경남지역	경남/NNP+지역/NNG
과학고와	과학고/NNP+와/JC
과학중점학교	과학중점학교/NNG
학생	학생/NNG
8개팀이	8/SN+개/NNB+팀/NNG+이/JKS
참가한	참가하/VV+ㄴ/ETM
가운데	가운데/NNG
UNIST에서	UNIST/SL+에서/JKB
열린	열리/VV+ㄴ/ETM
'2012	'/SS+2012/SN
창의적	창의적/NNG
융합과학	융합과학/NNG
실험과제'에서	실험과제/NNG+'/SS+에서/JKB
소개됐다	소개되/VV+었/EP+다/EF

학생들은	학생/NNG+들/XSN+은/JX
연구그룹과	연구그룹/NNG+과/JC
연구주제를	연구주제/NNG+를/JKO
정해	정하/VV+여/EC
