청각장애	청각장애/NNG
의대생,	의대생/NNG+,/SP
‘아만다	‘/SN+아만다/MAG
무니햄’	무니햄/NNP+’/SN

혼자하는	혼자하/VV+는/ETM
간단한	간단하/VA+ㄴ/ETM
수술이	수술/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
이상	이상/NNG
대부분	대부분/NNG
여러명의	여러/MM+명/NNB+의/JKG
의사가	의사/NNG+가/JKS
협력해서	협력하/VV+여서/EC
일해야	일하/VV+여야/EC
하는	하/VX+는/ETM
수술실은	수술실/NNG+은/JX
섬세한	섬세하/VA+ㄴ/ETM
커뮤니케이션을	커뮤니케이션/NNG+을/JKO
요구한다	요구하/VV+ㄴ다/EF

청력이	청력/NNG+이/JKS
조금	조금/MAG
살아있다고	살/VV+아/EC+있/VX+다고/EC
해도	하/VV+여도/EC
수술실의	수술실/NNG+의/JKG
특성상	특성/NNG+상/XSN
모두	모두/MAG
마스크를	마스크/NNG+를/JKO
쓰고	쓰/VV+고/EC
있어	있/VX+어/EC
웅얼거리는	웅얼거리/VV+는/ETM
소리로	소리/NNG+로/JKB
들려서	들리/VV+어서/EC
완벽한	완벽하/VA+ㄴ/ETM
청력을	청력/NNG+을/JKO
요한다	요하/VV+ㄴ다/EF

그래서	그래서/MAJ
청각장애인이	청각장애인/NNG+이/JKC
수술실	수술실/NNG
의사로	의사/NNG+로/JKB
투입된다는	투입되/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
쉽지	쉽/VA+지/EC
않다	않/VX+다/EC

그러나	그러나/MAJ
세대가	세대/NNG+가/JKS
달라졌다	달라지/VV+었/EP+다/EF

불가능하다고	불가능하/VA+다고/EC
생각했던	생각하/VV+였/EP+던/ETM
것들이	것/NNB+들/XSN+이/JKS
각종	각종/NNG
기기의	기기/NNG+의/JKG
발달로	발달/NNG+로/JKB
가능해져	가능하/VA+여/EC+지/VX+어/EC
가고	가/VX+고/EC
있다	있/VX+다/EC

그	그/MM
혜택을	혜택/NNG+을/JKO
크게	크/VA+게/EC
누리고	누리/VV+고/EC
있는	있/VX+는/ETM
아만다	아만다/MAG
무니햄	무니햄/NNG

그녀는	그녀/NP+는/JX
미국	미국/NNP
북가주의	북가주의/NNG
유시	유시/NNP
데이비스	데이비스/NNP
의대	의대/NNG
3학년	3/SN+학년/NNG
학생이다	학생/NNG+이/VCP+다/EC

그녀가	그녀/NP+가/JKS
수술실에	수술실/NNG+에/JKB
투입되면	투입되/VV+면/EC
별도의	별도/NNG+의/JKG
방에서	방/NNG+에서/JKB
송출요원이	송출요원/NNG+이/JKS
작업을	작업/NNG+을/JKO
시작한다	시작하/VV+ㄴ다/EC

아만다에게는	아만다/NNP+에게/JKB+는/JX
그	그/MM
송출되는	송출/NNG+되/XSV+는/ETM
정보를	정보/NNG+를/JKO
섬세하게	섬세하/VA+게/EC
인식할	인식하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
아이패드가	아이패드/NNG+가/JKS
지급된다	지급되/VV+ㄴ다/EF

아이패드도	아이패드/NNG+도/JX
균이	균/NNG+이/JKS
묻을까봐	묻/VV+을까/EC+보/VX+아/EC
비닐	비닐/NNG
봉지에	봉지/NNG+에/JKB
싸서	싸/VV+아서/EC
사용하게	사용하/VV+게/EC
된다	되/VV+ㄴ다/EF

송출	송출/NNG
요원은	요원/NNG+은/JX
수술실에서	수술실/NNG+에서/JKB
들어오는	들어오/VV+는/ETM
모든	모든/MM
정보를	정보/NNG+를/JKO
아만다의	아만다/MAG+의/JKG
아이패드로	아이패드/NNG+로/JKB
전송한다	전송하/VV+ㄴ다/EF

아만다는	아만다는/MAG
받는	받/VV+는/ETM
정보를	정보/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
수술을	수술/NNG+을/JKO
진행한다	진행하/VV+ㄴ다/EC

이제	이제/MAG
청각장애인들도	청각장애인/NNG+들/XSN+도/JX
문제없이	문제없이/MAG
수술에	수술/NNG+에/JKB
임할	임하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된	되/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

함께	함께/MAG
하고	하/VV+고/EC
있는	있/VX+는/ETM
교수이자	교수/NNG+이/VCP+자/EC
의사인	의사/NNG+이/VCP+ㄴ/ETM
비지	비지/NNG
카트리는	카트리/NNP+는/JX
그녀를	그녀/NP+를/JKO
'성취	'/SS+성취/NNG
동기가	동기/NNG+가/JKS
높다'며	높/VA+다/EF+'/SS+며/EC
청각	청각/NNG
장애로	장애/NNG+로/JKB
불이익을	불이익/NNG+을/JKO
당해서는	당하/VV+여서/EC+는/JX
안된다고	안되/VV+ㄴ다고/EC
말했다	말하/VV+였/EP+다/EC

인터뷰에	인터뷰/NNG+에/JKB
응하는	응하/VV+는/ETM
그녀의	그녀/NP+의/JKG
얼굴이	얼굴/NNG+이/JKS
마냥	마냥/MAG
밝아	밝/VA+아/EC
보인다	보일/VV+ㄴ다/EF

수술을	수술/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되어	되/VV+어/EC
기뻐하는	기뻐하/VV+는/ETM
학생	학생/NNG
아만다	아만다/MAG
무니함	무니함/NNG

(유시	(/SS+유시/NNG
데이비스	데이비스/NNP
대학	대학/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS
ⓒ샘	ⓒ샘/NNG
아만다를	아만다/NNP+를/JKO
위해	위하/VV+여/EC
수술	수술/NNG
생중계를	생/XPN+중계/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
송출	송출/NNG
요원	요원/NNG

(유시	(/SS+유시/NNG
데이비스	데이비스/NNP
대학	대학/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS
ⓒ샘	ⓒ샘/NNG
아만다를	아만다/NNP+를/JKO
위해	위하/VV+여/EC
수술	수술/NNG
생중계를	생/XPN+중계/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
송출	송출/NNG
요원	요원/NNG

(유시	(/SS+유시/NNG
데이비스	데이비스/NNP
대학	대학/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS
ⓒ샘	ⓒ/SN+샘/NNB
아만다가	아만다가/MAG
그녀를	그녀/NP+를/JKO
위해	위하/VV+여/EC
제공된	제공되/VV+ㄴ/ETM
아이패드를	아이패드/NNG+를/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

(유시	(/SS+유시/NNG
데이비스	데이비스/NNP
대학	대학/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS
ⓒ샘	ⓒ샘/NNG
수술중	수술/NNG+중/NNB
아이패드를	아이패드/NNG+를/JKO
사용하고	사용하/VV+고/EC
있는	있/VX+는/ETM
아만다	아만다/MAG

(유시	(/SS+유시/NNG
데이비스	데이비스/NNP
대학	대학/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS
ⓒ샘	ⓒ샘/NNG
그녀의	그녀/NP+의/JKG
수술	수술/NNG
참여	참여/NNG
동기가	동기/NNG+가/JKS
무시되어서는	무시되/VV+어서/EC+는/JX
안된다고	안되/VV+ㄴ다고/EC
말하는	말하/VV+는/ETM
교수	교수/NNG
비지	비지/NNG
카트리	카트리/NNP

(유시	(/SS+유시/NNG
데이비스	데이비스/NNP
대학	대학/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS
ⓒ샘	ⓒ샘/NNG
수술실	수술실/NNG
모습	모습/NNG

(유시	(/SS+유시/NNG
데이비스	데이비스/NNP
대학	대학/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS
ⓒ샘	ⓒ샘/SN
*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
