전국	전국/NNG
시각장애인	시각장애인/NNG
안마사들	안마사/NNG+들/XSN
거리로	거리/NNG+로/JKB

시각장애인	시각장애인/NNG
안마사들이	안마사/NNG+들/XSN+이/JKS
의료법이	의료법/NNG+이/JKS
정한	정하/VV+ㄴ/ETM
시각장애인	시각장애인/NNG
안마사	안마사/NNG
자격의	자격/NNG+의/JKG
합헌결정을	합헌결정/NNG+을/JKO
촉구하며	촉구하/VV+며/EC
거리로	거리/NNG+로/JKB
나섰다	나서/VV+었/EP+다/EF

대한안마사협회	대한/NNP+안마사협회/NNG
회원	회원/NNG
1,700여명은	1,700/SN+여/XSN+명/NNB+은/JX
12일	12/SN+일/NNB
오전	오전/NNG
여의도	여의도/NNP
국회	국회/NNG
국민은행	국민은행/NNP
앞에서	앞/NNG+에서/JKB
‘안마사자격제도	‘/SN+안마사자격제도/NNG
합헌	합헌/NNG
기원을	기원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
결의대회’를	결의대회’/NNG+를/JKO
가졌다	가지/VV+었/EP+다/EC

이번	이번/NNG
결의대회는	결의대회/NNG+는/JX
헌법재판관	헌법재판관/NNG
후보자들에	후보자/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
국회	국회/NNG
인사청문회가	인사청문회/NNG+가/JKS
진행됨에	진행되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
시각장애인에만	시각장애인/NNG+에/JKB+만/JX
허용하고	허용하/VV+고/EC
있는	있/VX+는/ETM
안마사자격에	안마사자격/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심과	관심/NNG+과/JC
합헌	합헌/NNG
촉구의	촉구/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+여/EC
마련됐다	마련되/VV+었/EP+다/EF

현재	현재/MAG
국회	국회/NNG
인사청문회에	인사청문회/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
헌법재판관	헌법재판관/NNG
후보자는	후보자/NNG+는/JX
대법원장이	대법원장/NNG+이/JKS
지명한	지명하/VV+ㄴ/ETM
김창종·이진성,	김창종/NNP+·/SP+이진성/NNP+,/SP
국회	국회/NNG
몫인	몫/NNG+이/VCP+ㄴ/ETM
