서울시·산하기관,	서울시/NNP+·/SP+산하기관/NNG+,/SP
신규채용	신규채용/NNG
10%	10/SN+%/SW
장애인	장애인/NNG
고용	고용/NNG

서울시와	서울시/NNP+와/JC
시	시/NNG
산하	산하/NNG
총	총/MM
16개	16/SN+개/NNB
투자·출연기관이	투자/NNG+·/SP+출연기관/NNG+이/JKS
매년	매년/MAG
신규채용	신규채용/NNG
인원의	인원/NNG+의/JKG
10%를	10/SN+%/SW+를/JKO
장애인으로	장애인/NNG+으로/JKB
고용하기로	고용하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

서울시는	서울시/NNP+는/JX
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
골자로	골자/NNG+로/JKB
5일	5/SN+일/NNB
신청사	신/XPN+청사/NNG
3층	3/SN+층/NNG
대회의실에서	대/XPN+회의실/NNG+에서/JKB
박원순	박원순/NNP
서울시장,	서울/NNP+시장/NNG+,/SP
김명수	김명수/NNP
서울시의회	서울시/NNP+의회/NNG
의장,	의장/NNG+,/SP
이성규	이성규/NNP
한국장애인고용공단	한국/NNP+장애인고용공단/NNG
이사장이	이사장/NNG+이/JKS
참석한	참석하/VV+ㄴ/ETM
가운데	가운데/NNG
‘서울시	‘/SN+서울시/NNP
장애인	장애인/NNG
고용	고용/NNG
증진을	증진/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
업무협약’을	업무협약’/NNG+을/JKO
체결했다	체결하/VV+였/EP+다/EC

이번	이번/NNG
협약으로	협약/NNG+으로/JKB
시와	시/NNG+와/JC
서울시	서울시/NNP
산하	산하/NNG
총	총/MM
16개	16/SN+개/NNB
투자?출연기관이	투자/NNG+?/SF+출연기관/NNG+이/JKS
장애인	장애인/NNG
고용률의	고용률/NNG+의/JKG
현재	현재/MAG
공공기관	공공기관/NNG
법적	법적/NNG
의무고용률(3%)의	의무고용률/NNG+(/SS+3/SN+%/SW+)/SS+의/JKG
두	두/MM
배인	배/NNG+이/VCP+ㄴ/ETM
6%(투자출연기관은	6/SN+%/SW+(/SS+투자출연기관/NNG+은/JX
5%)까지	5/SN+%/SW+)/SS+까지/JX
늘린다는	늘리/VV+ㄴ다는/ETM
목표로,	목표/NNG+로/JKB+,/SP
매년	매년/MAG
신규채용	신규채용/NNG
인원의	인원/NNG+의/JKG
10%를	10/SN+%/SW+를/JKO
장애인으로	장애인/NNG+으로/JKB
고용한다	고용하/VV+ㄴ다/EF

또한	또한/MAG
시는	시/NNG+는/JX
시의회의	시의회/NNG+의/JKG
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
지원	지원/NNG
아래	아래/NNG
‘서울특별시	‘/SL+서울특별시/NNP
장애인고용촉진	장애인고용촉진/NNG
및	및/MAG
직업재활	직업재활/NNG
지원조례’를	지원조례/NNG+’/SL+를/JKO
제정,	제정/NNG+,/SP
현재	현재/MAG
1	1/SN

97%로	97/SN+%/SW+로/JKB
전국	전국/NNG
평균	평균/NNG
2	2/SN

25%에도	25/SN+%/SW+에/JKB+도/JX
못	못/MAG
미치는	미치/VV+는/ETM
민간부문	민간부문/NNG
장애인	장애인/NNG
고용률을	고용/NNG+률/XSN+을/JKO
높이는데도	높이/VV+는데/EC+도/JX
나선다	나서/VV+ㄴ다/EF

조례엔	조례/NNG+에/JKB+ㄴ/JX
장애인을	장애인/NNG+을/JKO
고용하거나	고용하/VV+거나/EC
고용하려는	고용하/VV+려는/ETM
사업주에게	사업주/NNG+에게/JKB
작업장	작업장/NNG
설치비,	설치비/NNG+,/SP
운영비	운영비/NNG
지원뿐	지원/NNG+뿐/JX
아니라	아니/VCN+라/EC
중소기업육성자금	중소기업육성자금/NNG
우선지원	우선지원/NNG
및	및/MAG
정부자금	정부자금/NNG
알선	알선/NNG
등	등/NNB
근거가	근거/NNG+가/JKS
마련돼	마련되/VV+어/EC
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
장애인	장애인/NNG
고용증대로	고용증대/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다	기대되/VV+ㄴ다/EF

한국장애인고용공단도	한국/NNP+장애인고용공단/NNG+도/JX
서울시	서울시/NNP
장애인고용증진	장애인고용증진/NNG
정책에	정책/NNG+에/JKB
힘을	힘/NNG+을/JKO
보탠다	보태/VV+ㄴ다/EF

공단은	공단/NNG+은/JX
장애인	장애인/NNG
적극적	적극적/NNG
고용을	고용/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
직무개발,	직무개발/NNG+,/SP
장애인공직훈련,	장애인공직훈련/NNG+,/SP
모집대행,	모집대행/NNG+,/SP
맞춤형	맞춤/NNG+형/XSN
교육,	교육/NNG+,/SP
통합지원서비스,	통합지원서비스/NNG+,/SP
인식개선교육	인식개선교육/NNG
등을	등/NNB+을/JKO
적극	적극/NNG
지원하고,	지원하/VV+고/EC+,/SP
서울시	서울시/NNP
산하기관에	산하기관/NNG+에/JKB
근무하는	근무하/VV+는/ETM
장애인에겐	장애인/NNG+에게/JKB+ㄴ/JX
점자	점자/NNG
컴퓨터	컴퓨터/NNG
등	등/NNB
보조공학기기를	보조공학기기/NNG+를/JKO
무상으로	무상/NNG+으로/JKB
지원하기로	지원하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

시는	시/NNG+는/JX
이번	이번/NNG
업무협약을	업무협약/NNG+을/JKO
통해	통하/VV+여/EC
제도적인	제도적/NNG+이/VCP+ㄴ/ETM
기반	기반/NNG
마련을	마련/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
시의회의	시의회/NNG+의/JKG
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
참여와	참여/NNG+와/JC
지원,	지원/NNG+,/SP
한국장애인고용공단의	한국/NNP+장애인고용공단/NNG+의/JKG
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
연구와	연구/NNG+와/JC
조사	조사/NNG
노하우	노하우/NNG
등을	등/NNB+을/JKO
공유한다는	공유하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

민간부문	민간부문/NNG
장애인	장애인/NNG
일자리	일자리/NNG
창출사업	창출사업/NNG
추진을	추진/NNG+을/JKO
위해선	위하/VV+여서/EC+ㄴ/JX
서울시,	서울시/NNP+,/SP
서울시의회,	서울시/NNP+의회/NNG+,/SP
공단이	공단/NNG+이/JKS
공동	공동/NNG
참여해	참여하/VV+여/EC
일자리	일자리/NNG
창출	창출/NNG
공동연구	공동연구/NNG
및	및/MAG
세부추진방안을	세부추진방안/NNG+을/JKO
수립할	수립하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

특히	특히/MAG
시는	시/NNG+는/JX
장애에	장애/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
바람직한	바람직하/VA+ㄴ/ETM
인식과	인식/NNG+과/JC
태도를	태도/NNG+를/JKO
갖기	갖/VV+기/ETN
위한	위하/VV+ㄴ/ETM
장애인식개선교육을	장애인식개선교육/NNG+을/JKO
전	전/MM
공무원의	공무원/NNG+의/JKG
필수교육으로	필수교육/NNG+으로/JKB
지정하고,	지정하/VV+고/EC+,/SP
공단에서는	공단/NNG+에서/JKB+는/JX
교육을	교육/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
강사	강사/NNG
및	및/MAG
사이버	사이버/NNG
교육	교육/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
제공하게	제공하/VV+게/EC
된다	되/VV+ㄴ다/EF

박원순	박원순/NNP
서울시장은	서울/NNP+시장/NNG+은/JX
“취업난이	“/SN+취업난/NNG+이/JKS
심각한	심각하/VA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
장애인은	장애인/NNG+은/JX
취업에	취업/NNG+에/JKB
특히	특히/MAG
어려움을	어려움/NNG+을/JKO
겪기	겪/VV+기/ETN
때문에	때문/NNB+에/JKB
지방정부가	지방정부/NNG+가/JKS
앞장서	앞장서/VV+어/EC
지원해야	지원하/VV+여야/EC
한다”며	하/VX+ㄴ다”며/EC
“장애인에게	“/SL+장애인/NNG+에게/JKB
최대	최대/NNG
복지는	복지/NNG+는/JX
스스로	스스로/MAG
일하며	일하/VV+며/EC
꿈을	꿈/NNG+을/JKO
일구는	일구/VV+는/ETM
안정적인	안정적/NNG+이/VCP+ㄴ/ETM
일자리인	일자리/NNG+이/VCP+ㄴ/ETM
만큼,	만큼/NNB+,/SP
3개	3/SN+개/NNB
기관이	기관/NNG+이/JKS
유기적으로	유기적/NNG+으로/JKB
협력하고	협력하/VV+고/EC
