‘종로구	‘/SL+종로구/NNP
장애인	장애인/NNG
취업박람회’	취업박람회’/NNG
다음달	다음달/NNG
5일	5/SN+일/NNB
열려	열리/VV+어/EC

종로장애인복지관이	종로/NNP+장애인복지/NNG+관/XSN+이/JKS
오는	오/VV+는/ETM
9월5일	9/SN+월/NNB+5/SN+일/NNB
오후	오후/NNG
2시부터	2/SN+시/NNB+부터/JX
5시까지	5/SN+시/NNB+까지/JX
복지관	복지/NNG+관/XSN
지상주차장에서	지상주차장/NNG+에서/JKB
종로구	종로구/NNP
장애인	장애인/NNG
취업박람회를	취업박람회/NNG+를/JKO
개최한다	개최하/VV+ㄴ다/EF

이날	이날/NNG
박람회에는	박람회/NNG+에/JKB+는/JX
취업을	취업/NNG+을/JKO
통해	통하/VV+여/EC
경제적	경제적/NNG
자립을	자립/NNG+을/JKO
희망하는	희망하/VV+는/ETM
장애인의	장애인/NNG+의/JKG
사회참여와	사회참여/NNG+와/JC
경제활동	경제활동/NNG
지원을	지원/NNG+을/JKO
위해	위하/VV+여/EC
종로구	종로구/NNP
내	내/NNB
사회적기업	사회적기업/NNG
30업체가	30/SN+업체/NNG+가/JKS
참가한다	참가하/VV+ㄴ다/EC

또한	또한/MAG
구직	구직/NNG
장애인에게	장애인/NNG+에게/JKB
고용상담,	고용상담/NNG+,/SP
면접지원	면접지원/NNG
컨설팅,	컨설팅/NNG+,/SP
이미지메이킹,	이미지메이킹/NNG+,/SP
이력서	이력서/NNG
사진	사진/NNG
서비스,	서비스/NNG+,/SP
직업훈련상담	직업훈련상담/NNG
등이	등/NNB+이/JKS
제공된다	제공되/VV+ㄴ다/EF

참가를	참가/NNG+를/JKO
원하는	원하/VV+는/ETM
구직	구직/NNP
장애인은	장애인/NNG+은/JX
행사	행사/NNG
당일	당일/NNG
복지카드와	복지카드/NNG+와/JC
이력서를	이력서/NNG+를/JKO
지참해	지참하/VV+여/EC
방문하면	방문하/VV+면/EC
된다	되/VV+ㄴ다/EF

<문의>	</SS+문의/NNG+>/SS
종로장애인복지관	종로장애인복지/NNG+관/XSN
02-6395-7062	02/SN+-/SO+6395/SN+-/SO+7062/SN
