안철수,	안철수/NNP+,/SP
민주	민주/NNG
대선후보	대선후보/NNG
선출	선출/NNG
후	후/NNG
출마여부	출마여부/NNG
표명	표명/NNG

안철수	안철수/NNP
서울대	서울대/NNP
융합과학기술대학원장이	융합과학기술대학원장/NNG+이/JKS
민주통합당의	민주통합당/NNP+의/JKG
대선	대선/NNG
후보가	후보/NNG+가/JKS
선출된	선출되/VV+ㄴ/ETM
후	후/NNG
출마	출마/NNG
여부에	여부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
밝힐	밝히/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

안	안/NNP
원장	원장/NNG
측	측/NNB
유민영	유민영/NNP
대변인은	대변인/NNG+은/JX
11일	11/SN+일/NNB
보도자료를	보도자료/NNG+를/JKO
통해	통하/VV+여/EC
“안	“/SN+안/NNG
원장은	원장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
'안철수의	'/SS+안철수/NNP+의/JKG
생각'	생각/NNG+'/SS
출간	출간/NNG
이후	이후/NNG
폭넓게	폭넓/VA+게/EC
국민의	국민/NNG+의/JKG
의견을	의견/NNG+을/JKO
들었다"며	듣/VV+었/EP+다/EF+"/SS+며/EC
"다양한	"/SS+다양하/VA+ㄴ/ETM
분야,	분야/NNG+,/SP
계층,	계층/NNG+,/SP
세대,	세대/NNG+,/SP
지역의	지역/NNG+의/JKG
국민을	국민/NNG+을/JKO
만나	만나/VV+아/EC
좋은	좋/VA+은/ETM
의견을	의견/NNG+을/JKO
많이	많이/MAG
나누었고,	나누/VV+었/EP+고/EC+,/SP
이제	이제/MAG
국민과	국민/NNG+과/JKB
약속한대로	약속하/VV+ㄴ/ETM+대로/NNB
국민께	국민/NNG+께/JKB
보고하는	보고하/VV+는/ETM
시간을	시간/NNG+을/JKO
갖고자	갖/VV+고자/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

유	유/NNP
대변인은	대변인/NNG+은/JX
이어	이어/MAG
“민주당의	“/SN+민주당/NNP+의/JKG
대선	대선/NNG
후보	후보/NNG
선출이	선출/NNG+이/JKS
끝나는	끝나/VV+는/ETM
대로	대로/NNB
며칠	며칠/NNG
내에	내/NNB+에/JKB
대선	대선/NNG
출마에	출마/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
밝히는	밝히/VV+는/ETM
시간을	시간/NNG+을/JKO
갖겠다고	갖/VV+겠/EP+다고/EC
말했다”면서	말하/VV+였/EP+다/EC+”/VV+면서/EC
“향후	“/SN+향후/NNG
일정에	일정/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
결정되는	결정되/VV+는/ETM
대로	대로/NNB
알려드리겠다”고	알려드리/VV+겠/EP+다/EC+”/VV+고/EC
전했다	전하/VV+었/EP+다/EC

한편	한편/MAG
안	안/NNP
원장은	원장/NNG+은/JX
저서	저서/NNG
‘안철수의	‘/SN+안철수/NNP+의/JKG
생각’을	생각’/NNG+을/JKO
통해	통하/VV+여/EC
