"변용찬	"/SS+변용찬/NNP
원장,	원장/NNG+,/SP
장애인	장애인/NNG
농성장	농성/NNG+장/XSN
방문"	방문/NNG+"/SS
주문	주문/NNG

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
김미희	김미희/NNP
의원(통합진보당)이	의원/NNG+(/SS+통합진보당/NNP+)/SS+이/JKS
15일	15/SN+일/NNB
한국장애인개발원	한국장애인개발원/NNP
국정감사에서	국정감사/NNG+에서/JKB
현재	현재/MAG
서울	서울/NNP
광화문역사에서	광화문역사/NNP+에서/JKB
장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지를	폐지/NNG+를/JKO
촉구하며	촉구하/VV+며/EC
노숙농성	노숙농성/NNG
하고	하/VV+고/EC
있는	있/VX+는/ETM
중증장애인들에	중증장애인/NNG+들/XSN+에/JKB
대해	대하/VV+여/EC
언급하며,	언급하/VV+며/EC+,/SP
장애인	장애인/NNG
정책	정책/NNG
관련	관련/NNG
기관으로써의	기관/NNG+으로써/JKB+의/JKG
개발원	개발/NNG+원/XSN
역할의	역할/NNG+의/JKG
중요성을	중요성/NNG+을/JKO
주문했다	주문하/VV+였/EP+다/EC

김미희	김미희/NNP
의원은	의원/NNG+은/JX
“두	“/SN+두/NR
달	달/NNB
가까이	가까이/MAG
장애인들이	장애인/NNG+들/XSN+이/JKS
광화문역에서	광화문역/NNP+에서/JKB
장애등급제와	장애등급/NNG+제/XSN+와/JC
부양의무제	부양의무제/NNG
폐지를	폐지/NNG+를/JKO
촉구하며	촉구하/VV+며/EC
노숙농성을	노숙농성/NNG+을/JKO
하고	하/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"그	"/SS+그/MM
장애인단체에서	장애인단체/NNG+에서/JKB
10만인	10/SN+만/NNB+이/VCP+ㄴ/ETM
엽서쓰기운동을	엽서/NNG+쓰/VV+기/ETN+운동/NNG+을/JKO
하고	하/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
현재까지	현재/NNG+까지/JX
3만	3/SN+만/NR
2천명이	2/SN+천/NR+명/NNB+이/JKS
자기	자기/NP
돈을	돈/NNG+을/JKO
내서	내/VV+어서/EC
장애인등급제,	장애인등급/NNG+제/XSN+,/SP
부양의무제	부양의무제/NNG
폐지에	폐지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
내용의	내용/NNG+의/JKG
엽서를	엽서/NNG+를/JKO
상임위원회	상임위원회/NNG
의원들에게	의원/NNG+들/XSN+에게/JKB
보내고	보내/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
“장애인들의	“/SL+장애인/NNG+들/XSN+의/JKG
권리보호와	권리보호/NNG+와/JC
권익증진을	권익증진/NNG+을/JKO
위해서	위하/VV+여서/EC
장애인	장애인/NNG
당사자들이	당사자/NNG+들/XSN+이/JKS
열심히	열심히/MAG
하고	하/VV+고/EC
있는데	있/VX+는/ETM+데/NNB
어려움이	어려움/NNG+이/JKS
무엇인지,	무엇/NP+이/VCP+ㄴ지/EC+,/SP
무엇을	무엇/NP+을/JKO
해줄	하/VV+여/EC+주/VX+ㄹ/ETM
수	수/NNB
있는지를	있/VA+는지/EC+를/JKO
물어보는	물어보/VV+는/ETM
게	것/NNB+이/JKS
개발원이	개발원/NNG+이/JKS
해야	하/VV+여야/EC
되는	되/VV+는/ETM
일	일/NNG
아니냐”면서	아니/VCN+냐/EC+”/SN+면서/EC
“변	“/SN+변/NNG
원장이	원장/NNG+이/JKS
아직	아직/MAG
그곳에	그곳/NP+에/JKB
(농성장에)	(/SS+농성장/NNG+에/JKB+)/SS
방문하지	방문하/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
하니까	하/VV+니까/EC
내일(16일)	내일/NNG+(/SS+16/SN+일/NNB+)/SS
방문해서	방문하/VV+여서/EC
현재	현재/MAG
요구사항이	요구사항/NNG+이/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EC
먼저	먼저/MAG
파악하라”고	파악하/VV+라/EC+”/VV+고/EC
요구했다	요구하/VV+었/EP+다/EC

이어	이어/MAG
“조만간	“/SN+조만/NR+간/XSN
이룸센터에서	이룸센터/NNG+에서/JKB
장애인들	장애인/NNG+들/XSN
초청해서	초청하/VV+여서/EC
(사안에	(/SS+사안/NNG+에/JKB
대해)	대하/VV+여/EC+)/SS
자세하게	자세하/VA+게/EC
토론	토론/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자리를	자리/NNG+를/JKO
마련하라”면서	마련하/VV+라/EC+”/VV+면서/EC
“요구내용이	“/SL+요구내용/NNG+이/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EC
파악	파악/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
개발원	개발/NNG+원/XSN
직원들도	직원/NNG+들/XSN+도/JX
청취할	청취하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고	하/VX+고/EC
그	그/MM
결과를	결과/NNG+를/JKO
보건복지부	보건복지부/NNG
장관과	장관/NNG+과/JC
보건복지위	보건복지위/NNG
상임위원들에게	상임위원/NNG+들/XSN+에게/JKB
보고해주길	보고하/VV+여/EC+주/VX+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EC+”/VV+고/EC
주문했다	주문하/VV+였/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
한국장애인개발원	한국장애인개발원/NNP
변용찬	변용찬/NNP
원장은	원장/NNG+은/JX
“알겠다”고	“/SL+알/VV+겠/EP+다”고/EC
답변했다	답변하/VV+였/EP+다/EF
