전동보장구,	전동보장구/NNG+,/SP
배터리	배터리/NNG
지원	지원/NNG
제한에	제한/NNG+에/JKB
‘사장’	‘/SN+사장/NNG+’/SN

새누리당	새누리당/NNP
김정록	김정록/NNP
국회의원은	국회의원/NNG+은/JX
25일	25/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
보건복지위원회	보건복지위원회/NNG
전체회의에서	전체회의/NNG+에서/JKB
전동보장구에	전동보장구/NNG+에/JKB
쓰이는	쓰이/VV+는/ETM
배터리의	배터리/NNG+의/JKG
정부지원이	정부지원/NNG+이/JKS
제한돼	제한되/VV+어/EC
있어	있/VX+어/EC
충분히	충분히/MAG
사용	사용/NNG
가능한	가능하/VA+ㄴ/ETM
전동보장구가	전동보장구/NNG+가/JKS
사장되는	사장되/VV+는/ETM
사례가	사례/NNG+가/JKS
발생하고	발생하/VV+고/EC
있다고	있/VX+다고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

국민건강보험공단이	국민건강보험공단/NNG+이/JKS
2010년	2010/SN+년/NNB
12월부터	12/SN+월/NNB+부터/JX
내구연한	내구연한/NNG
6년	6/SN+년/NNB
이내의	이내/NNG+의/JKG
전동보장구에	전동보장구/NNG+에/JKB
대해	대하/VV+여/EC
배터리를	배터리/NNG+를/JKO
지원하고	지원하/VV+고/EC
있지만	있/VX+지만/EC
일괄적인	일괄적/NNG+이/VCP+ㄴ/ETM
기준적용으로	기준적/NNG+용/XSN+으로/JKB
멀쩡한	멀쩡하/VA+ㄴ/ETM
전동보장구를	전동보장구/NNG+를/JKO
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
돼	되/VV+어/EC
장애인들의	장애인/NNG+들/XSN+의/JKG
불만이	불만/NNG+이/JKS
고조되고	고조되/VV+고/EC
있다는	있/VX+다는/ETM
것	것/NNB

원가	원가/NNG
16만원의	16/SN+만/NR+원/NNB+의/JKG
배터리는	배터리/NNG+는/JX
건보공단이	건보공단/NNG+이/JKS
80%인	80/SN+%/SW+이/VCP+ㄴ/ETM
12만8,000원을	12/SN+만/NR+8,000/SN+원/NNB+을/JKO
지원해	지원하/VV+여/EC
장애인은	장애인/NNG+은/JX
3만2,000원의	3/SN+만/NR+2,000/SN+원/NNB+의/JKG
본인부담금만	본인부담금/NNG+만/JX
내면된다	내면되/VV+ㄴ다/EC

하지만	하지만/MAJ
배터리	배터리/NNG
지원은	지원/NNG+은/JX
전동보장구를	전동보장구/NNG+를/JKO
구매한	구매하/VV+ㄴ/ETM
이후	이후/NNG
18개월부터	18/SN+개월/NNB+부터/JX
내구연한인	내구연한/NNG+이/VCP+ㄴ/ETM
