“투표	“/SN+투표/NNG
하러	하/VV+러/EC
갈	가/VV+ㄹ/ETM
때	때/NNG
반드시	반드시/MAG
신분증	신분증/NNG
지참”	지참/NNG+”/SN

중앙선거관리위원회가	중앙선거관리위원회/NNG+가/JKS
유권자들에게	유권자/NNG+들/XSN+에게/JKB
오는	오/VV+는/ETM
19일	19/SN+일/NNB
투표하러	투표하/VV+러/EC
갈	가/VV+ㄹ/ETM
때	때/NNG
반드시	반드시/MAG
주민등록증이나	주민등록증/NNG+이나/JC
여권,	여권/NNG+,/SP
운전면허증,	운전면허증/NNG+,/SP
공무원증	공무원증/NNG
등	등/NNB
관공서	관공서/NNG
또는	또는/MAG
공공기관이	공공기관/NNG+이/JKS
발행한	발행하/VV+ㄴ/ETM
사진이	사진/NNG+이/JKS
첩부된	첩부되/VV+ㄴ/ETM
신분증을	신분증/NNG+을/JKO
가지고	가지/VV+고/EC
갈	가/VV+ㄹ/ETM
것을	것/NNB+을/JKO
당부했다	당부하/VV+였/EP+다/EC

또한	또한/MAG
각	각/MM
가정에	가정/NNG+에/JKB
발송한	발송하/VV+ㄴ/ETM
투표안내문이나	투표안내문/NNG+이나/JC
인터넷(중앙선관위	인터넷/NNG+(/SS+중앙선관위/NNG
및	및/MAG
지방자치단체	지방자치단체/NNG
홈페이지,	홈페이지/NNG+,/SP
네이버?다음	네이버/NNP+?/SF+다음/NNG
등	등/NNB
포털사이트),	포털사이트/NNG+)/SS+,/SP
☏1390	☏/SL+1390/SN
ARS	ARS/SL
전화를	전화/NNG+를/JKO
통해	통하/VV+여/EC
반드시	반드시/MAG
자신의	자신/NNG+의/JKG
투표소	투표소/NNG
위치를	위치/NNG+를/JKO
확인한	확인하/VV+ㄴ/ETM
뒤	뒤/NNG
투표소에	투표소/NNG+에/JKB
갈	가/VV+ㄹ/ETM
것도	것/NNB+도/JX
덧붙였다	덧붙이/VV+었/EP+다/EF

투표시간은	투표시간/NNG+은/JX
오전	오전/NNG
6시부터	6/SN+시/NNB+부터/JX
오후	오후/NNG
6시까지며,	6/SN+시/NNB+까지/JX+며/EC+,/SP
개표는	개표/NNG+는/JX
투표가	투표/NNG+가/JKS
종료된	종료되/VV+ㄴ/ETM
후	후/NNG
투표함을	투표함/NNG+을/JKO
개표소로	개표소/NNG+로/JKB
옮겨	옮기/VV+어/EC
진행된다	진행되/VV+ㄴ다/EC

투표가	투표/NNG+가/JKS
끝나고	끝나/VV+고/EC
투표함을	투표함/NNG+을/JKO
봉함·봉인하는	봉함/NNG+·/SP+봉인하/VV+는/ETM
과정에	과정/NNG+에/JKB
투표참관인이	투표참관인/NNG+이/JKS
참여하며,	참여하/VV+며/EC+,/SP
투표함을	투표함/NNG+을/JKO
개표소로	개표소/NNG+로/JKB
운반하는	운반하/VV+는/ETM
과정에도	과정/NNG+에/JKB+도/JX
경찰과	경찰/NNG+과/JKB
함께	함께/MAG
후보자별	후보자/NNG+별/XSN
참관인이	참관인/NNG+이/JKS
각	각/MM
1명씩	1/SN+명/NNB+씩/XSN
동반하게	동반하/VV+게/EC
된다	되/VV+ㄴ다/EF

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
선관위는	선관위/NNG+는/JX
투표용지에	투표용지/NNG+에/JKB
사퇴한	사퇴하/VV+ㄴ/ETM
통합진보당	통합진보당/NNP
이정희	이정희/NNP
후보의	후보/NNG+의/JKG
기호,	기호/NNG+,/SP
정당명,	정당명/NNG+,/SP
성명이	성명/NNG+이/JKS
그대로	그대로/MAG
기재되어	기재되/VV+어/EC
있으므로	있/VX+으므로/EC
무효표가	무/XPN+효표/NNG+가/JKS
발생하지	발생하/VV+지/EC
않도록	않/VX+도록/EC
각별한	각별하/VA+ㄴ/ETM
주의를	주의/NNG+를/JKO
당부했다	당부하/VV+였/EP+다/EC
