서울시선관위,	서울시선관위/NNP+,/SP
장애인	장애인/NNG
선거	선거/NNG
투표편의	투표편의/NNG
지원	지원/NNG

서울시선거관리위원회는	서울/NNP+시선거관리위원회/NNG+는/JX
제18대	제/XPN+18/SN+대/NNG
대통령선거	대통령선거/NNG
및	및/MAG
서울시교육감재선거에서	서울/NNP+시교육감재선거/NNG+에서/JKB
장애인	장애인/NNG
참정권을	참정권/NNG+을/JKO
보장하기	보장하/VV+기/ETN
위해	위하/VV+여/EC
투표편의를	투표편의/NNG+를/JKO
지원할	지원하/VV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
13일	13/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

선관위는	선관위/NNG+는/JX
장애인	장애인/NNG
단체와의	단체/NNG+와/JKB+의/JKG
공동	공동/NNG
실태조사를	실태조사/NNG+를/JKO
거쳐	거치/VV+어/EC
투표소	투표소/NNG
예정	예정/NNG
장소를	장소/NNG+를/JKO
결정했으며	결정하/VV+였/EP+으며/EC
장애인거주시설	장애인거주시설/NNG
안의	안/NNG+의/JKG
기표소	기표소/NNG
설치	설치/NNG
지원,	지원/NNG+,/SP
거동	거동/NNG
불편	불편/NNG
장애인에게	장애인/NNG+에게/JKB
교통편의	교통편/NNG+의/JKG
제공	제공/NNG
등을	등/NNB+을/JKO
지원한다	지원하/VV+ㄴ다/EC

특히	특히/MAG
장애인	장애인/NNG
통로	통로/NNG
등	등/NNB
편의시설	편의시설/NNG
설치	설치/NNG
장애인거주시설의	장애인거주시설/NNG+의/JKG
기표소	기표소/NNG
설치	설치/NNG
의무	의무/NNG
안내	안내/NNG
및	및/MAG
기표소	기표소/NNG
등	등/NNB
지원	지원/NNG
점자투표	점자투표/NNG
안내문	안내문/NNG
및	및/MAG
음성투표	음성투표/NNG
안내문	안내문/NNG
제작	제작/NNG
투표보조용구	투표보조용구/NNG
제작	제작/NNG
투표소에	투표소/NNG+에/JKB
장애인	장애인/NNG
겸용	겸용/NNG
기표대	기표대/NNG
설치	설치/NNG
투표안내	투표안내/NNG
도우미	도우미/NNG
배치	배치/NNG
장애인	장애인/NNG
선거권자에	선거권/NNG+자/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
투표안내요령	투표안내요령/NNG
리플릿	리플릿/NNG
배포	배포/NNG
등에	등/NNB+에/JKB
나선다	나서/VV+ㄴ다/EF

선관위는	선관위/NNG+는/JX
거동이	거동/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
장애인을	장애인/NNG+을/JKO
위해	위하/VV+여/EC
'중증장애인	'/SS+중증장애인/NNG
투표활동	투표활동/NNG
보조인	보조인/NNG
지원제도'를	지원제도/NNG+'/SS+를/JKO
운영하고	운영하/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
오는	오/VV+는/ETM
18일까지	18/SN+일/NNB+까지/JX
관할	관할/NNG
구	구/NNG
선관위에	선관위/NNG+에/JKB
신청하면	신청하/VV+면/EC
선거	선거/NNG
당일	당일/NNG
차량	차량/NNG
제공	제공/NNG
등의	등/NNB+의/JKG
편의를	편의/NNG+를/JKO
제공받을	제공/NNG+받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EC
