"장애인생산품	"/SS+장애인생산품/NNG
통합시스템	통합시스템/NNG
구축	구축/NNG
범위	범위/NNG
제한해야"	제한하/VV+여야/EF+"/SS

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
문정림	문정림/NNP
의원(선진통일당)은	의원/NNG+(/SS+선진통일당/NNP+)/SS+은/JX
15일	15/SN+일/NNB
한국장애인개발원	한국장애인개발원/NNP
국정감사에서	국정감사/NNG+에서/JKB
중증장애인생산품	중증장애인생산품/NNG
우선	우선/MAG
구매	구매/NNG
통합전산시스템(이하	통합전산시스템/NNG+(/SS+이하/NNG
통합전산시스템)	통합전산시스템/NNG+)/SS
구축의	구축/NNG+의/JKG
개발	개발/NNG
범위를	범위/NNG+를/JKO
신중하게	신중하/VA+게/EC
결정할	결정하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
주문했다	주문하/VV+였/EP+다/EF

문	문/NNP
의원에	의원/NNG+에/JKB
따르면	따르/VV+면/EC
현재	현재/MAG
개발원은	개발원/NNG+은/JX
보건복지부로부터	보건복지부/NNG+로부터/JKB
중증장애인생산품우선구매	중증장애인생산품우선구매/NNG
사업을	사업/NNG+을/JKO
수탁해	수탁하/VV+여/EC
진행하고	진행하/VV+고/EC
있고,	있/VX+고/EC+,/SP
사업의	사업/NNG+의/JKG
원활한	원활하/VA+ㄴ/ETM
진행을	진행/NNG+을/JKO
위해	위하/VV+여/EC
통합전산시스템	통합전산시스템/NNG
구축을	구축/NNG+을/JKO
추진하고	추진하/VV+고/EC
있다	있/VX+다/EC

통합전산시스템은	통합전산시스템/NNG+은/JX
생산품의	생산품/NNG+의/JKG
개별정보	개별정보/NNG
제공	제공/NNG
및	및/MAG
판매(쇼핑몰)	판매/NNG+(/SS+쇼핑몰/NNG+)/SS
생산/판매시설의	생산/NNG+//SP+판매시설/NNG+의/JKG
운영관리를	운영관리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
시스템	시스템/NNG
구매실적	구매실적/NNG
실시간	실시간/NNG
집계	집계/NNG
및	및/MAG
통계	통계/NNG
등	등/NNB
3가지로	3/SN+가지/NNB+로/JKB
구성돼	구성되/VV+어/EC
구축될	구축되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

문	문/NNP
의원은	의원/NNG+은/JX
생산품	생산품/NNG
판매를	판매/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
조달시스템(쇼핑몰)이	조달시스템/NNG+(/SS+쇼핑몰/NNG+)/SS+이/JKS
통합전산시스템에	통합전산시스템/NNG+에/JKB
포함될	포함되/VV+ㄹ/ETM
경우	경우/NNG
중증장애인생산품을	중증장애인생산품/NNG+을/JKO
1%이상	1/SN+%/SW+이상/NNG
의무적으로	의무적/NNG+으로/JKB
구매해야	구매하/VV+여야/EC
하는	하/VX+는/ETM
공공기관	공공기관/NNG
및	및/MAG
지자체의	지자체/NNG+의/JKG
모든	모든/MM
구매담당자들이	구매담당자/NNG+들/XSN+이/JKS
기존	기존/NNG
조달청의	조달청/NNG+의/JKG
‘나라장터’와	‘/SL+나라장터/NNG+’/SL+와/JC
‘중증장애인생산품쇼핑몰’을	‘/SL+중증장애인생산품쇼핑몰/NNG+’/SL+을/JKO
별도로	별도/NNG+로/JKB
접속해야	접속하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
번거로움이	번거롭/VA+ㅁ/ETN+이/JKS
발생한다고	발생하/VV+ㄴ다고/EC
지적했다	지적하/VV+였/EP+다/EF

문	문/NNP
의원은	의원/NNG+은/JX
“물건을	“/SN+물건/NNG+을/JKO
많이	많이/MAG
팔아	팔/VV+아/EC
수익을	수익/NNG+을/JKO
내는	내/VV+는/ETM
것이	것/NNB+이/JKS
궁극적으로	궁극적/NNG+으로/JKB
장애인을	장애인/NNG+을/JKO
위하는	위하/VV+는/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
많이	많이/MAG
팔기	팔/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
고객(공공기관	고객/NNG+(/SS+공공기관/NNG
구매담당자)의	구매담당자/NNG+)/SS+의/JKG
편의를	편의/NNG+를/JKO
우선으로	우선/NNG+으로/JKB
생각해야	생각하/VV+여야/EC
하는	하/VX+는/ETM
것이	것/NNB+이/JKS
당연한	당연하/VA+ㄴ/ETM
이치”라면서	이치”/NNG+이/VCP+라면서/EC
“고객의	“/SN+고객/NNG+의/JKG
편의를	편의/NNG+를/JKO
고려해	고려하/VV+여/EC
새로운	새롭/VA+ㄴ/ETM
시스템을	시스템/NNG+을/JKO
만들기보다는	만들/VV+기/ETN+보다/JKB+는/JX
오히려	오히려/MAG
기존	기존/NNG
조달청의	조달청/NNG+의/JKG
‘나라장터’를	‘/SL+나라장터’/NNG+를/JKO
적극	적극/NNG
활용할	활용하/VV+ㄹ/ETM
수	수/NNB
있도록해야	있/VA+도록/EC+하/VX+여야/EC
한다”고	하/VX+ㄴ다”고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“통합전산시스템	“/SN+통합전산시스템/NNG
개발	개발/NNG
계획	계획/NNG
보고서에	보고서/NNG+에/JKB
생산품의	생산품/NNG+의/JKG
개별정보	개별정보/NNG
제공	제공/NNG
및	및/MAG
판매시스템(쇼핑몰)은	판매시스템/NNG+(/SS+쇼핑몰/NNG+)/SS+은/JX
업체들이	업체/NNG+들/XSN+이/JKS
이	이/MM
시스템을	시스템/NNG+을/JKO
사용해	사용하/VV+여/EC
판매	판매/NNG
할	하/VV+ㄹ/ETM
경우,	경우/NNG+,/SP
판매수수료는	판매수수료/NNG+는/JX
1차	1/SN+차/NNB
연도에	연도/NNG+에/JKB
약	약/MM
9천만원으로	9/SN+천만/NR+원/NNB+으로/JKB
시작해	시작하/VV+여/EC
5차	5/SN+차/NNB
연도에는	연도/NNG+에/JKB+는/JX
약	약/MM
24억원의	24/SN+억/NR+원/NNB+의/JKG
높은	높/VA+은/ETM
수익이	수익/NNG+이/JKS
발생할	발생하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상하고	예상하/VV+고/EC
있다는	있/VX+다는/ETM
점을	점/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
개발원이	개발원/NNG+이/JKS
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
권익보다	권익/NNG+보다/JKB
개발원	개발/NNG+원/XSN
자체의	자체/NNG+의/JKG
수익사업에	수익사업/NNG+에/JKB
치중한다는	치중하/VV+ㄴ다는/ETM
오해를	오해/NNG+를/JKO
불러일으킬	불러일으키/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EC+”/VV+고/EC
우려를	우려/NNG+를/JKO
표했다	표하/VV+였/EP+다/EC

문	문/NNP
의원은	의원/NNG+은/JX
통합전산시스템에	통합전산시스템/NNG+에/JKB
‘생산/판매시설의	‘/SL+생산/NNG+//SP+판매시설/NNG+의/JKG
운영관리	운영관리/NNG
시스템’을	시스템’/NNG+을/JKO
포함하는	포함하/VV+는/ETM
점에	점/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
총	총/MM
319개의	319/SN+개/NNB+의/JKG
중증장애인생산품	중증장애인생산품/NNG
사업장의	사업장/NNG+의/JKG
모든	모든/MM
특성과	특성/NNG+과/JC
편의를	편의/NNG+를/JKO
고려해	고려하/VV+여/EC
시스템을	시스템/NNG+을/JKO
개발하는	개발하/VV+는/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
불가능하다고	불가능하/VA+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

문	문/NNP
의원은	의원/NNG+은/JX
“생산시설을	“/SL+생산시설/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
시스템에는	시스템/NNG+에/JKB+는/JX
가격,	가격/NNG+,/SP
주문,	주문/NNG+,/SP
정산,	정산/NNG+,/SP
전용물	전용물/NNG
등을	등/NNB+을/JKO
관리하는	관리하/VV+는/ETM
