10년간	10/SN+년/NNB+간/XSN
풀리지	풀리/VV+지/EC
않은	않/VX+은/ETM
난제	난제/NNG
‘장애인이동권’	‘/SN+장애인이동권/NNG+’/SN

[창간	[/SS+창간/NNG
10주년	10/SN+주년/NNB
특집]	특집/NNG+]/SS
키워드로	키워드/NNG+로/JKB
되돌아본	되돌아보/VV+ㄴ/ETM
10년-⑥장애인	10/SN+년/NNB+-/SO+⑥/SN+장애인/NNG
대표언론	대표언론/NNG
에이블뉴스가	에이블뉴스/NNG+가/JKS
10살이	10/SN+살/NNB+이/JKC
됐다	되/VV+었/EP+다/EC

지난	지나/VV+ㄴ/ETM
2002년	2002/SN+년/NNB
12월	12/SN+월/NNB
창간된	창간되/VV+ㄴ/ETM
에이블뉴스는	에이블뉴스/NNP+는/JX
발	발/NNG
빠르고,	빠르/VA+고/EC+,/SP
심층적인	심층/NNG+적/XSN+이/VCP+ㄴ/ETM
보도로	보도/NNG+로/JKB
480만	480/SN+만/NR
장애인들의	장애인/NNG+들/XSN+의/JKG
든든한	든든하/VA+ㄴ/ETM
언론으로	언론/NNG+으로/JKB
자리	자리/NNG
잡았다	잡/VV+았/EP+다/EC

에이블뉴스가	에이블뉴스/NNP+가/JKS
장애인과	장애인/NNG+과/JKB
마주한지	마주하/VV+ㄴ/ETM+지/NNB
10년,	10/SN+년/NNB+,/SP
그동안	그동안/NNG
장애계에서는	장애/NNG+계/XSN+에서/JKB+는/JX
이동권	이동/NNG+권/XSN
보장을	보장/NNG+을/JKO
외치며	외치/VV+며/EC
저상버스	저상버스/NNG
도입,	도입/NNG+,/SP
특별교통수단	특별교통수단/NNG
확대,	확대/NNG+,/SP
전철역	전철역/NNG
엘리베이터	엘리베이터/NNG
설치	설치/NNG
등을	등/NNB+을/JKO
요구해왔다	요구하/VV+여/EC+오/VX+았/EP+다/EF

만	만/MM
4년만에	4/SN+년만/NNB+에/JKB
법률	법률/NNG
제정을	제정/NNG+을/JKO
통해	통하/VV+여/EC
장애인	장애인/NNG
이동권이	이동/NNG+권/XSN+이/JKS
명시됐고,	명시되/VV+었/EP+고/EC+,/SP
많은	많/VA+은/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
지역사회로	지역사회/NNG+로/JKB
당당히	당당히/MAG
