아쉬움	아쉬움/NNG
남긴	남기/VV+ㄴ/ETM
서울시민	서울/NNP+시민/NNG
1천명	1/SN+천/NR+명/NNB
원탁회의	원탁회의/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
이정현	이정현/NNP
기자	기자/NNG
=	=/SW
시민이	시민/NNG+이/JKS
직접	직접/MAG
복지정책을	복지정책/NNG+을/JKO
결정하는	결정하/VV+는/ETM
자리이자	자리/NNG+이/VCP+자/EC
국내	국내/NNG
최대의	최대/NNG+의/JKG
'타운홀미팅'으로	'/SS+타운홀미팅/NNG+'/SS+으로/JKB
기대를	기대/NNG+를/JKO
모았던	모으/VV+았/EP+던/ETM
서울시	서울시/NNP
'1천인의	'/SS+1/SN+천/NR+인/XSN+의/JKG
원탁회의'가	원탁회의/NNG+'/SS+가/JKS
어설픈	어설프/VA+ㄴ/ETM
준비와	준비/NNG+와/JC
진행으로	진행/NNG+으로/JKB
아쉬움을	아쉬움/NNG+을/JKO
남겼다	남기/VV+었/EP+다/EF

사전공모를	사전공모/NNG+를/JKO
통해	통하/VV+여/EC
연령·성·직업·관심별로	연령/NNG+·/SP+성/NNG+·/SP+직업/NNG+·/SP+관심/NNG+별/XSN+로/JKB
배치된	배치되/VV+ㄴ/ETM
1천명의	1/SN+천/NR+명/NNB+의/JKG
시민은	시민/NNG+은/JX
9일	9/SN+일/NNB
오후	오후/NNG
잠실	잠실/NNP
올림픽펜싱경기장	올림픽펜싱경/NNP+기장/NNG
내	내/NNB
100개의	100/SN+개/NNB+의/JKG
테이블에	테이블/NNG+에/JKB
둘러앉아	둘러앉/VV+아/EC
10대	10/SN+대/NNB
복지사업을	복지사업/NNG+을/JKO
결정하기	결정하/VV+기/ETN
위해	위하/VV+여/EC
머리를	머리/NNG+를/JKO
맞댔다	맞대/VV+었/EP+다/EF

회의	회의/NNG
시작	시작/NNG
전	전/MM
시민들은	시민/NNG+들/XSN+은/JX
시와	시/NNG+와/JC
시민복지기준추진위원회가	시민복지기준추진위원회/NNG+가/JKS
미리	미리/MAG
마련한	마련하/VV+ㄴ/ETM
소득·주거·돌봄·건강·교육	소득/NNG+·/SP+주거/NNG+·/SP+돌봄/NNG+·/SP+건강/NNG+·/SP+교육/NNG
등	등/NNB
5개	5/SN+개/NNB
분야의	분야/NNG+의/JKG
28개	28/SN+개/NNB
정책에	정책/NNG+에/JKB
대해	대하/VV+여/EC
듣고	듣/VV+고/EC
현장에서	현장/NNG+에서/JKB
25개의	25/SN+개/NNB+의/JKG
아이디어도	아이디어/NNG+도/JX
내놨다	내놓/VV+았/EP+다/EF

참석자들은	참석자/NNG+들/XSN+은/JX
각자	각자/MAG
진행도우미의	진행도우미/NNG+의/JKG
안내	안내/NNG
아래	아래/NNG
쪽지에	쪽지/NNG+에/JKB
원하는	원하/VV+는/ETM
정책을	정책/NNG+을/JKO
적어	적/VV+어/EC
테이블	테이블/NNG
가운데로	가운데/NNG+로/JKB
모아	모으/VV+아/EC
1시간가량	1/SN+시간/NNB+가량/XSN
토론을	토론/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
후	후/NNG
현장응답기로	현장응답기/NNG+로/JKB
투표를	투표/NNG+를/JKO
시작했다	시작하/VV+였/EP+다/EF

처음	처음/NNG
보는	보/VV+는/ETM
장관에	장관/NNG+에/JKB
취재	취재/NNG
열기와	열기/NNG+와/JC
트위터	트위터/NNG
등	등/NNB
SNS의	SNS/SL+의/JKG
관심도	관심/NNG+도/JX
실시간으로	실시간/NNG+으로/JKB
뜨거웠지만	뜨겁/VA+었/EP+지만/EC
막상	막상/MAG
회의에	회의/NNG+에/JKB
참여한	참여하/VV+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
반응은	반응/NNG+은/JX
엇갈렸다	엇갈리/VV+었/EP+다/EF

뇌병변장애가	뇌병변장애/NNG+가/JKS
있는	있/VA+는/ETM
윤상현(27)씨는	윤상현/NNP+(/SS+27/SN+)/SS+씨/NNB+는/JX
"생활비	"/SS+생활비/NNG
문제	문제/NNG
등	등/NNB
평소에	평소/NNG+에/JKB
관심	관심/NNG
있던	있/VA+던/ETM
것들을	것/NNB+들/XSN+을/JKO
말할	말하/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
좋았지만	좋/VA+았/EP+지만/EC
회의	회의/NNG
내용에	내용/NNG+에/JKB
