새누리당,	새누리당/NNP+,/SP
장애등급제	장애등급/NNG+제/XSN
전면적	전면적/NNG
재검토	재검토/NNG
주문	주문/NNG

새누리당이	새누리당/NNP+이/JKS
장애등급제에	장애등급/NNG+제/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
전면적인	전면적/NNG+이/VCP+ㄴ/ETM
재검토를	재검토/NNG+를/JKO
주문했다	주문하/VV+였/EP+다/EF

유경희	유경희/NNP
수석부대변인은	수석부대변인/NNG+은/JX
10일	10/SN+일/NNB
논평을	논평/NNG+을/JKO
통해	통하/VV+여/EC
“‘장애인등급심사제’가	“‘/SL+장애인등급심사제/NNG+’/SL+가/JKS
장애인들을	장애인/NNG+들/XSN+을/JKO
울리고	울리/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“국민연금공단	“/SL+국민연금공단/NNG
장애심사센터와	장애심사센터/NNG+와/JC
병원의사	병원의사/NNG
사이의	사이/NNG+의/JKG
등급심사의	등급심사/NNG+의/JKG
차이가	차이/NNG+가/JKS
심하고,	심하/VA+고/EC+,/SP
지역별로도	지역/NNG+별/XSN+로/JKB+도/JX
차이가	차이/NNG+가/JKS
난다”고	나/VV+ㄴ다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“그동안	“/SN+그동안/NNG
엉터리	엉터리/NNG
장애인	장애인/NNG
판정을	판정/NNG+을/JKO
받아	받/VV+아/EC
각종	각종/NNG
장애인의	장애인/NNG+의/JKG
혜택을	혜택/NNG+을/JKO
받은	받/VV+은/ETM
사례가	사례/NNG+가/JKS
없지는	없/VA+지/EC+는/JX
않은	않/VX+은/ETM
만큼	만큼/NNB
공신력	공신력/NNG
있는	있/VA+는/ETM
기관에서	기관/NNG+에서/JKB
재판정의	재판정/NNG+의/JKG
필요성을	필요성/NNG+을/JKO
부인할	부인하/VV+ㄹ/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
연금공단과	연금공단/NNG+과/JC
의사	의사/NNG
사이의	사이/NNG+의/JKG
견해차가	견해차/NNG+가/JKS
있을	있/VA+을/ETM
경우	경우/NNG
등급판정에	등급판정/NNG+에/JKB
이의신청	이의신청/NNG
제기	제기/NNG
절차가	절차/NNG+가/JKS
어려워서	어렵/VA+어서/EC
많은	많/VA+은/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
이의제기	이의제기/NNG
자체를	자체/NNG+를/JKO
포기하는	포기하/VV+는/ETM
경우가	경우/NNG+가/JKS
많다면	많/VA+다면/EC
이것은	이것/NP+은/JX
문제가	문제/NNG+가/JKS
심각한	심각하/VA+ㄴ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

특히	특히/MAG
유	유/NNP
수석부대변인	수석부대변인/NNG
“장애인등급제는	“/SN+장애인등급/NNG+제/XSN+는/JX
전	전/MM
세계에서	세계/NNG+에서/JKB
일본과	일본/NNP+과/JC
한국에만	한국/NNP+에/JKB+만/JX
있는	있/VA+는/ETM
제도로	제도/NNG+로/JKB
행정편의적인	행정편의적/NNG+이/VCP+ㄴ/ETM
발상에	발상/NNG+에/JKB
기초한	기초하/VV+ㄴ/ETM
제도는	제도/NNG+는/JX
아닌지	아니/VCN+ㄴ지/EC
정부는	정부/NNG+는/JX
근본부터	근본/NNG+부터/JX
검토해야	검토하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
요구했다	요구하/VV+었/EP+다/EC

유	유/NNP
수석대변인은	수석대변인/NNG+은/JX
마지막으로	마지막/NNG+으로/JKB
“장애인들은	“/SN+장애인/NNG+들/XSN+은/JX
단순히	단순히/MAG
도움을	도움/NNG+을/JKO
받아야	받/VV+아야/EC
할	하/VX+ㄹ/ETM
존재가	존재/NNG+가/JKC
아니라	아니/VCN+라/EC
이	이/MM
사회의	사회/NNG+의/JKG
당당한	당당하/VA+ㄴ/ETM
구성원”이라면서	구성원/NNG+”/SL+이/VCP+라면서/EC
“장애인들이	“/SL+장애인/NNG+들/XSN+이/JKS
장애를	장애/NNG+를/JKO
이유로	이유/NNG+로/JKB
꿈을	꿈/NNG+을/JKO
포기하지	포기하/VV+지/EC
않고	않/VX+고/EC
자신의	자신/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
이루어낼	이루/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사회가	사회/NNG+가/JKC
되기	되/VV+기/ETN
위해	위하/VV+여/EC
국가는	국가/NNG+는/JX
장애인이	장애인/NNG+이/JKS
각자	각자/MAG
처한	처하/VV+ㄴ/ETM
환경에	환경/NNG+에/JKB
따라	따르/VV+아/EC
필요한	필요하/VA+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
지원함으로써	지원하/VV+ㅁ/ETN+으로써/JKB
꿈이	꿈/NNG+이/JKS
이루어지는	이루어지/VV+는/ETM
나라를	나라/NNG+를/JKO
만들어가야	만들/VV+어/EC+가/VX+아야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC
