복지부,	복지부/NNG+,/SP
'발달장애인법'	'/SS+발달장애인법/NNG+'/SS
제정에	제정/NNG+에/JKB
'난색'	'/SS+난색/NNG+'/SS

발달장애인의	발달장애인/NNG+의/JKG
자기결정·인권침해	자기/NP+결정/NNG+·/SP+인권침해/NNG
보호	보호/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
‘발달장애인	‘/SL+발달장애인/NNG
지원	지원/NNG
및	및/MAG
권리보장에	권리보장/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률안(이하	법률안/NNG+(/SS+이하/NNG
발달장애인법)’이	발달장애인법/NNG+)/SS+’/SL+이/JKS
국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
법안심사소위원회에	법안심사소위원회/NNG+에/JKB
계류	계류/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
가운데,	가운데/NNG+,/SP
보건복지부가	보건복지부/NNG+가/JKS
제정에	제정/NNG+에/JKB
대해	대하/VV+여/EC
'난색'의	'/SS+난색/NNG+'/SS+의/JKG
입장을	입장/NNG+을/JKO
내비쳤다	내비치/VV+었/EP+다/EF

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
김정록(새누리당)	김정록/NNP+(/SS+새누리당/NNP+)/SS
의원은	의원/NNG+은/JX
8일	8/SN+일/NNB
국정감사에서	국정감사/NNG+에서/JKB
“발달장애인은	“/SN+발달장애인/NNG+은/JX
자기결정·자기권리주장·보호가	자기/NP+결정/NNG+·/SP+자기권리주장/NNG+·/SP+보호/NNG+가/JKS
어려워	어렵/VA+어/EC
학대·성적착취	학대/NNG+·/SP+성적착취/NNG
등	등/NNB
인권침해에서	인권침해/NNG+에서/JKB
가장	가장/MAG
취약한	취약하/VA+ㄴ/ETM
계층이라	계층/NNG+이/VCP+라/EC
인간다운	인간/NNG+답/XSA+ㄴ/ETM
생활과	생활/NNG+과/JC
권리를	권리/NNG+를/JKO
보장하기	보장하/VV+기/ETN
위해	위하/VV+여/EC
5월에	5/SN+월/NNB+에/JKB
‘발달장애인법’을	‘/SN+발/NNB+달장애인법’/NNG+을/JKO
제출했다”고	제출하/VV+였/EP+다/EC+”/SN+고/EC
설명했다	설명하/VV+었/EP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
“정부	“/SL+정부/NNG
검토	검토/NNG
보고서를	보고서/NNG+를/JKO
보면	보/VV+면/EC
복지부가	복지부/NNG+가/JKS
(법안	(/SS+법안/NNG
제정을)	제정/NNG+을/JKO+)/SS
반대하는	반대하/VV+는/ETM
이유가	이유/NNG+가/JKS
다른	다르/VA+ㄴ/ETM
유형의	유형/NNG+의/JKG
장애인과의	장애인/NNG+과/JKB+의/JKG
형평성	형평성/NNG
때문이라고	때문/NNB+이/VCP+라고/EC
하는	하/VV+는/ETM
데	데/NNB
이	이/MM
법안에	법안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
복지부의	복지부/NNG+의/JKG
입장이	입장/NNG+이/JKS
어떻냐”고	어떻/VA+냐/EC+”/VX+고/EC
질의했다	질의하/VV+였/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
복지부	복지부/NNG
임채민	임채민/NNP
장관은	장관/NNG+은/JX
“발달장애인법의	“/SN+발달장애인법/NNG+의/JKG
취지에는	취지/NNG+에/JKB+는/JX
굉장히	굉장히/MAG
공감한다”면서도	공감하/VV+ㄴ다/EC+”/XSN+면서/EC+도/JX
“(문제점을	“/SL+(/SS+문제점/NNG+을/JKO
인식하고)	인식하/VV+고/EF+)/SS
발달장애인	발달장애인/NNG
대책(발달장애인	대책/NNG+(/SS+발달장애인/NNG
지원계획)	지원계획/NNG+)/SS
등의	등/NNB+의/JKG
대책을	대책/NNG+을/JKO
세웠다	세우/VV+었/EP+다/EC

단	단/MM
법을	법/NNG+을/JKO
따로	따로/MAG
만드는	만들/VV+는/ETM
것만이	것/NNB+만/JX+이/JKS
(발달장애인의)	(/SS+발달장애인의/NNG+)/SS
모든	모든/MM
문제를	문제/NNG+를/JKO
해결해줄	해결하/VV+여/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
지는	지/NNB+는/JX
심각한	심각하/VA+ㄴ/ETM
고려가	고려/NNG+가/JKS
필요하다고	필요하/VA+다고/EC
생각한다“고	생각하/VV+ㄴ다/EC+“/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
김	김/NNP
의원은	의원/NNG+은/JX
정부가	정부/NNG+가/JKS
장애인생활시설	장애인생활시설/NNG
개·보수를	개/NNG+·/SP+보수/NNG+를/JKO
통해	통하/VV+여/EC
발달장애인의	발달장애인/NNG+의/JKG
생활환경	생활환경/NNG
개선에	개선/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것도	것/NNB+도/JX
당부했다	당부하/VV+였/EP+다/EF
