열악한	열악하/VA+ㄴ/ETM
직업재활사업	직업재활사업/NNG
통계분석	통계분석/NNG
'지적'	'/SS+지적/NNG+'/SS

한국장애인개발원이	한국/NNP+장애인개발/NNG+원/XSN+이/JKS
수행하고	수행하/VV+고/EC
있는	있/VX+는/ETM
'장애인직업재활지원	'/SS+장애인직업재활지원/NNG
사업'의	사업/NNG+'/SS+의/JKG
전산시스템	전산시스템/NNG
구축이	구축/NNG+이/JKS
올해	올해/NNG
국정감사에서도	국정감사/NNG+에서/JKB+도/JX
도마	도마/NNG
위에	위/NNG+에/JKB
올랐다	오르/VV+았/EP+다/EC

이	이/MM
사업과	사업/NNG+과/JKB
관련한	관련하/VV+ㄴ/ETM
전산시스템은	전산시스템/NNG+은/JX
지난해	지난해/NNG
국정감사에서도	국정감사/NNG+에서/JKB+도/JX
지적된	지적되/VV+ㄴ/ETM
사항으로,	사항/NNG+으로/JKB+,/SP
당시	당시/NNG
의원들은	의원/NNG+들/XSN+은/JX
조속히	조속히/MAG
구축에	구축/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것을	것/NNB+을/JKO
주문한	주문하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF

하지만	하지만/MAJ
현재까지	현재/NNG+까지/JX
관련	관련/NNG
예산을	예산/NNG+을/JKO
확보하지	확보하/VV+지/EC
못해	못하/VX+여/EC
구축은	구축/NNG+은/JX
요원한	요원하/VA+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
신경림	신경림/NNP
의원(새누리당)은	의원/NNG+(/SS+새누리당/NNP+)/SS+은/JX
15일	15/SN+일/NNB
한국장애인개발원	한국/NNP+장애인개발/NNG+원/XSN
국정감사에서	국정감사/NNG+에서/JKB
전산시스템	전산시스템/NNG
미	미/NNP
구축으로	구축/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
문제점을	문제점/NNG+을/JKO
지적했다	지적하/VV+였/EP+다/EF

신	신/NNP
의원에	의원/NNG+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
장애인직업재활	장애인직업재활/NNG
서비스	서비스/NNG
이용자는	이용자/NNG+는/JX
3만3000명으로,	3/SN+만/NR+3000/SN+명/NNB+으로/JKB+,/SP
이중	이/MM+중/NNB
6069명이	6069/SN+명/NNB+이/JKS
취업에	취업/NNG+에/JKB
성공했다	성공하/VV+였/EP+다/EC

하지만	하지만/MAJ
전산	전산/NNG
인프라(시스템)가	인프라/NNG+(/SS+시스템/NNG+)/SS+가/JKS
구축되지	구축되/VV+지/EC
않아	않/VX+아/EC
예산	예산/NNG
지원기관	지원기관/NNG
월별	월별/NNG
이용자수	이용자수/NNG
정도만	정도/NNG+만/JX
파악하고	파악하/VV+고/EC
있을	있/VX+을/ETM
뿐	뿐/NNB
개별	개별/NNG
직업	직업/NNG
상담에	상담/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
유형,	유형/NNG+,/SP
등급,	등급/NNG+,/SP
상담이력	상담이력/NNG
등은	등/NNB+은/JX
전혀	전혀/MAG
관리되지	관리되/VV+지/EC
않고	않/VX+고/EC
있다	있/VX+다/EC

더욱이	더욱이/MAG
연말에	연말/NNG+에/JKB
한번	한/MM+번/NNB
취업자의	취업자/NNG+의/JKG
명단만	명단/NNG+만/JX
취합할	취합하/VV+ㄹ/ETM
뿐	뿐/NNB
근속기간,	근속기간/NNG+,/SP
급여수준은	급여수준/NNG+은/JX
파악하지	파악하/VV+지/EC
못한다	못하/VX+ㄴ다/EF

신	신/NNP
의원은	의원/NNG+은/JX
"(장애인직업재활)	"(/SS+장애인직업재활/NNG+)/SS
사업이	사업/NNG+이/JKS
바람직하다는	바람직하/VA+다는/ETM
생각이	생각/NNG+이/JKS
드는데	들/VV+는데/EC
서비스	서비스/NNG
유형이나	유형/NNG+이나/JC
성별,	성별/NNG+,/SP
장애유형별,	장애유형/NNG+별/XSN+,/SP
지역별	지역/NNG+별/XSN
등	등/NNB
각종	각종/NNG
통계를	통계/NNG+를/JKO
요청했지만	요청하/VV+였/EP+지만/EC
받지	받/VV+지/EC
못했다	못하/VX+였/EP+다/EC

개발원에서	개발/NNG+원/XSN+에서/JKB
통계	통계/NNG
분석이	분석/NNG+이/JKS
이뤄지지	이루어지/VV+지/EC
않아	않/VX+아/EC
기간	기간/NNG
내	내/NNB
보고하기	보고하/VV+기/ETN
힘들다는	힘들/VA+다는/ETM
답변	답변/NNG
받았다”면서	받/VV+았/EP+다/EC+”/VV+면서/EC
"이	"/SS+이/MM
사업에	사업/NNG+에/JKB
연간	연간/NNG
166억원이상의	166/SN+억/NR+원/NNB+이상/NNG+의/JKG
예산이	예산/NNG+이/JKS
소요되고	소요되/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
현재	현재/MAG
수기작업에	수기작업/NNG+에/JKB
의존해	의존하/VV+여/EC
자료를	자료/NNG+를/JKO
작성하고	작성하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“개인의	“/SN+개인/NNG+의/JKG
직업상담,	직업상담/NNG+,/SP
훈련에	훈련/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
숙련도	숙련도/NNG
평가	평가/NNG
등	등/NNB
이력관리가	이력관리/NNG+가/JKS
전혀	전혀/MAG
되지	되/VV+지/EC
않고,	않/VX+고/EC+,/SP
서비스제공기관	서비스제공기관/NNG
간의	간/NNB+의/JKG
정보공유도	정보공유/NNG+도/JX
되지	되/VV+지/EC
않고	않/VX+고/EC
있다	있/VX+다/EC
보니	보/VX+니/EC
기존에	기존/NNG+에/JKB
이	이/MM
서비스를	서비스/NNG+를/JKO
이용했던	이용하/VV+였/EP+던/ETM
사람이	사람/NNG+이/JKS
다시	다시/MAG
이용하고자할	이용하/VV+고/EC+자하/VX+ㄹ/ETM
때	때/NNG
서비스의	서비스/NNG+의/JKG
초기	초기/NNG
과정인	과정/NNG+이/VCP+ㄴ/ETM
직업상담,	직업상담/NNG+,/SP
평가부터	평가/NNG+부터/JX
다시	다시/MAG
거쳐야	거치/VV+어야/EC
하는	하/VX+는/ETM
문제가	문제/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
지적했다	지적하/VV+였/EP+다/EF

신	신/NNP
의원은	의원/NNG+은/JX
또한	또한/MAG
"지난해	"/SS+지난해/NNG
개발원	개발/NNG+원/XSN
국감에서도	국감/NNG+에서/JKB+도/JX
전산시스템을	전산시스템/NNG+을/JKO
도입하라는	도입하/VV+라는/ETM
말이	말/NNG+이/JKS
많았던	많/VA+았/EP+던/ETM
것	것/NNB
같은데,	같/VA+은데/EC+,/SP
지금까지	지금/NNG+까지/JX
아직	아직/MAG
마련하지	마련하/VV+지/EC
못한	못하/VX+ㄴ/ETM
이유가	이유/NNG+가/JKS
뭐냐”고	뭐/NP+이/VCP+냐/EC+”/SN+고/NNG
질의하며,	질의하/VV+며/EC+,/SP
한국장애인고용공단의	한국/NNP+장애인고용공단/NNG+의/JKG
고용정보시스템을	고용정보시스템/NNG+을/JKO
공동으로	공동/NNG+으로/JKB
이용하지	이용하/VV+지/EC
못하는	못하/VX+는/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
대책에	대책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
답변도	답변/NNG+도/JX
요구했다	요구하/VV+었/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
개발원	개발/NNG+원/XSN
변용찬	변용찬/NNP
원장은	원장/NNG+은/JX
"전산시스템을	"/SS+전산시스템/NNG+을/JKO
갖추지	갖추/VV+지/EC
못해	못하/VX+여/EC
주요	주요/NNG
통계만	통계/NNG+만/JX
수작업으로	수작업/NNG+으로/JKB
하고	하/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
고용정보시스템	고용정보시스템/NNG
공동이용에	공동이용/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
토로했다	토로하/VV+였/EP+다/EF

변	변/NNP
원장은	원장/NNG+은/JX
“국무총리실로부터	“/SN+국무총리/NNG+실/XSN+로부터/JKB
실제	실제/NNG
사업	사업/NNG
수행은	수행/NNG+은/JX
개발원이,	개발/NNG+원/XSN+이/JKS+,/SP
전산시스템은	전산시스템/NNG+은/JX
한국장애인고용공단에서	한국장애인고용공단/NNP+에서/JKB
하라고	하/VV+라고/EC
지시했다"면서	지시하/VV+였/EP+다/EF+"/SS+면서/EC
"공단으로부터	"/SS+공단/NNG+으로부터/JKB
시스템	시스템/NNG
이용을	이용/NNG+을/JKO
요청하면	요청하/VV+면/EC
‘개인정보보호’라는	‘/SN+개/NNB+인정보보호’/NNG+이/VCP+라는/ETM
이유로	이유/NNG+로/JKB
안	안/MAG
해주고	하/VV+여/EC+주/VX+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
"(전산시스템	"(/SS+전산시스템/NNG
개발을	개발/NNG+을/JKO
위한)	위하/VV+ㄴ/ETM+)/SS
예산	예산/NNG
확보에	확보/NNG+에/JKB
노력하고	노력하/VV+고/EC
있으나(어려움이	있/VX+으나/EF+(/SS+어려움/NNG+이/JKS
있고)	있/VA+고/EC+)/SS
(신	(/SS+신/XPN
의원이	의원/NNG+이/JKS
문제	문제/NNG
제기한)	제기하/VV+ㄴ/ETM+)/SS
핵심	핵심/NNG
사항에	사항/NNG+에/JKB
대해서	대하/VV+여서/EC
부족하지만	부족하/VA+지만/EC
홈페이지나	홈페이지/NNG+나/JC
소규모	소규모/NNG
전산을	전산/NNG+을/JKO
통해서	통하/VV+여서/EC
조금씩	조금씩/MAG
보완해	보완하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
생각"이라고	생각/NNG+"/SS+이라고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

한편	한편/MAG
신	신/NNP
의원은	의원/NNG+은/JX
변	변/NNP
원장의	원장/NNG+의/JKG
답변을	답변/NNG+을/JKO
들은	듣/VV+은/ETM
뒤	뒤/NNG
"향후	"/SS+향후/NNG
시스템	시스템/NNG
구축을	구축/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
계획을	계획/NNG+을/JKO
세워	세우/VV+어/EC
의원실로	의원실/NNG+로/JKB
제출해	제출하/VV+여/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
요구했다	요구하/VV+었/EP+다/EC
