문재인,	문재인/NNG+,/SP
'존엄성	'/SS+존엄성/NNG
무시'	무시/NNG+'/SS
장애등급제	장애등급/NNG+제/XSN
폐지	폐지/NNG

민주통합당	민주통합당/NNP
문재인	문재/NNG+이/VCP+ㄴ/ETM
대선	대선/NNG
후보가	후보/NNG+가/JKS
장애등급제에	장애등급/NNG+제/XSN+에/JKB
대해	대하/VV+여/EC
장애인들의	장애인/NNG+들/XSN+의/JKG
존엄성을	존엄성/NNG+을/JKO
무시하는	무시하/VV+는/ETM
것으로	것/NNB+으로/JKB
폐지의	폐지/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
밝혀,	밝히/VV+어/EC+,/SP
대선공약에	대선공약/NNG+에/JKB
포함될	포함되/VV+ㄹ/ETM
지	지/NNB
관심이	관심/NNG+이/JKS
집중된다	집중되/VV+ㄴ다/EF

문	문/NNP
후보는	후보/NNG+는/JX
20일	20/SN+일/NNB
오전	오전/NNG
시각장애인들과	시각장애인/NNG+들/XSN+과/JKB
함께	함께/MAG
서울	서울/NNP
강북구	강북구/NNP
우이동	우이동/NNP
북한산	북한산/NNP
둘레길	둘레길/NNP
산행을	산행/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
장애인	장애인/NNG
정책에	정책/NNG+에/JKB
대해	대하/VV+여/EC
밝혔다	밝히/VV+었/EP+다/EC

그는	그/NP+는/JX
"우리나라는	"/SS+우리나라/NNG+는/JX
장애인들에게	장애인/NNG+들/XSN+에게/JKB
너무나	너무나/MAG
불편한	불편하/VA+ㄴ/ETM
너무나	너무나/MAG
기회가	기회/NNG+가/JKS
없는	없/VA+는/ETM
나라다	나라/NNG+이/VCP+다/EC

장애인들이	장애인/NNG+들/XSN+이/JKS
차별	차별/NNG
받지	받/VV+지/EC
않는	않/VX+는/ETM
세상을	세상/NNG+을/JKO
만들고	만들/VV+고/EC
싶다"면서	싶/VX+다/EF+"/SS+면서/EC
"장애등급제는	"/SS+장애등급/NNG+제/XSN+는/JX
장애인들의	장애인/NNG+들/XSN+의/JKG
존엄성을	존엄성/NNG+을/JKO
무시하는	무시하/VV+는/ETM
것으로	것/NNB+으로/JKB
폐지해야	폐지하/VV+여야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
"장애인들에	"/SS+장애인/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
지원이	지원/NNG+이/JKS
많이	많이/MAG
늘어야	늘/VV+어야/EC
한다"면서	하/VX+ㄴ다/EF+"/SS+면서/EC
"장애인연금도	"/SS+장애인연금/NNG+도/JX
15만원인데	15/SN+만/NR+원/NNB+이/VCP+ㄴ데/EC
너무	너무/MAG
적어	적/VA+어/EC
20만원	20/SN+만/NR+원/NNB
이상으로	이상/NNG+으로/JKB
인상해야하고,	인상하/VV+여야/EC+하/VX+고/EC+,/SP
장애인활동지원	장애인활동지원/NNG
대상도	대상/NNG+도/JX
대폭	대폭/MAG
늘려야	늘리/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

그는	그/NP+는/JX
시각장애인들의	시각장애인/NNG+들/XSN+의/JKG
직업과	직업/NNG+과/JC
관련	관련/NNG
"독점적인	"/SS+독점적/NNG+이/VCP+ㄴ/ETM
기회를	기회/NNG+를/JKO
줘야한다는	주/VV+어야/EC+하/VX+ㄴ다는/ETM
정책(안마사)이	정책/NNG+(/SS+안마사/NNG+)/SS+이/JKS
이루어지고	이루어지/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
그것이	그것/NP+이/JKS
오히려	오히려/MAG
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
제대로	제대로/MAG
능력을	능력/NNG+을/JKO
발휘할	발휘하/VV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
만들고	만들/VV+고/EC
오히려	오히려/MAG
가두게	가두/VV+게/EC
된다"면서	되/VV+ㄴ다/EF+"/SS+면서/EC
"그런	"/SS+그런/MM
식의	식/NNB+의/JKG
보호도	보호/NNG+도/JX
필요하지만,	필요하/VA+지만/EC+,/SP
능력이	능력/NNG+이/JKS
있고	있/VA+고/EC
오히려	오히려/MAG
더	더/MAG
큰	크/VA+ㄴ/ETM
장기들도	장기/NNG+들/XSN+도/JX
가지고	가지/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
일반직종에서도	일반직종/NNG+에서/JKB+도/JX
똑같은	똑같/VA+은/ETM
기회가	기회/NNG+가/JKS
주어져야	주어지/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

또	또/MAG
"시각장애인은	"/SS+시각장애인/NNG+은/JX
정보에	정보/NNG+에/JKB
접근하는	접근하/VV+는/ETM
것이	것/NNB+이/JKS
매우	매우/MAG
어렵다	어렵/VA+다/EF

과거에는	과거/NNG+에/JKB+는/JX
점자책에	점자책/NNG+에/JKB
의존했는데	의존하/VV+였/EP+는데/EC
요즘은	요즘/NNG+은/JX
컴퓨터,	컴퓨터/NNG+,/SP
정보통신	정보통신/NNG
기술이	기술/NNG+이/JKS
발달했기	발달하/VV+였/EP+기/ETN
때문에	때문/NNB+에/JKB
정보통신기술에도	정보통신기술/NNG+에/JKB+도/JX
장애인들이	장애인/NNG+들/XSN+이/JKS
똑같이	똑같이/MAG
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF
