朴	朴/SL
TV	TV/SL
찬조연설	찬조연설/NNG
중고교	중고교/NNG
동창생ㆍ청각장애인	동창생/NNG+ㆍ/SP+청각장애인/NNG
출연	출연/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
김연정	김연정/NNP
현혜란	현혜란/NNP
기자	기자/NNG
=	=/SW
새누리당	새누리당/NNP
박근혜	박근혜/NNP
대선후보	대선후보/NNG
측은	측/NNB+은/JX
2일	2/SN+일/NNB
TV	TV/SL
첫	첫/MM
찬조연설자로	찬조연설자/NNG+로/JKB
박	박/NNP
후보와	후보/NNG+와/JC
절친한	절친하/VA+ㄴ/ETM
성심여중ㆍ고	성심여중/NNG+ㆍ/SP+고/NNG
동창생이	동창생/NNG+이/JKS
출연해	출연하/VV+여/EC
`48년	`/SW+48/SN+년/NNB
자랑스러운	자랑스럽/VA+ㄴ/ETM
내	나/NP+의/JKG
친구	친구/NNG
박근혜'라는	박근혜/NNP+'/SS+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
연설한다고	연설하/VV+ㄴ다고/EC
2일	2/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

이정현	이정현/NNP
공보단장은	공보단장/NNG+은/JX
이날	이날/NNG
여의도당사에서	여의도당사/NNP+에서/JKB
한	한/MM
기자간담회에서	기자간담회/NNG+에서/JKB
오후	오후/NNG
11시10분	11/SN+시/NNB+10/SN+분/NNB
MBC에서	MBC/SL+에서/JKB
방영할	방영하/VV+ㄹ/ETM
첫	첫/MM
찬조연설과	찬조연설/NNG+과/JKB
관련,	관련/NNG+,/SP
"박	"/SS+박/NNP
후보의	후보/NNG+의/JKG
중학교,	중학교/NNG+,/SP
고등학교	고등학교/NNG
동기	동기/NNG
동창이	동창/NNG+이/JKS
`근혜야~'로	`/SW+근혜야/NNG+~/SO+'/SS+로/JKB
시작되는	시작되/VV+는/ETM
편지를	편지/NNG+를/JKO
읽는	읽/VV+는/ETM
형태로	형태/NNG+로/JKB
나가게	나가/VV+게/EC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
설명했다	설명하/VV+었/EP+다/EC

연설에서는	연설/NNG+에서/JKB+는/JX
중학교	중학교/NNG
1학년	1/SN+학년/NNG
때	때/NNG
처음	처음/NNG
한	한/MM
반이	반/NNG+이/JKC
됐을	되/VV+었/EP+을/ETM
때의	때/NNG+의/JKG
에피소드,	에피소드/NNG+,/SP
친구인	친구/NNG+이/VCP+ㄴ/ETM
박	박/NNP
후보를	후보/NNG+를/JKO
만나러	만나/VV+러/EC
청와대에	청와대/NNP+에/JKB
갔던	가/VV+았/EP+던/ETM
일	일/NNP
등을	등/NNB+을/JKO
소개할	소개하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

또	또/MAG
전철에서	전철/NNG+에서/JKB
박	박/NNP
후보가	후보/NNG+가/JKS
혼나던	혼나/VV+던/ETM
이야기,	이야기/NNG+,/SP
