민주당,	민주당/NNP+,/SP
장애계	장애/NNP+계/XSN
12대	12/SN+대/NNB
요구공약	요구공약/NNG
대부분	대부분/NNG
수용	수용/NNG

민주통합당	민주통합당/NNP
문재인	문재/NNG+이/VCP+ㄴ/ETM
대선	대선/NNG
예비후보가	예비후보/NNG+가/JKS
2012대선장애인연대(이하	2012/SN+대선장애인연대/NNG+(/SS+이하/NNG
대선연대)의	대선연대/NNG+)/SS+의/JKG
‘장애계	‘/SL+장애/NNG+계/XSN
12대	12/SN+대/NNB
요구공약’을	요구공약’/NNG+을/JKO
대부분	대부분/NNG
수용했다	수용하/VV+였/EP+다/EC

민주통합당	민주통합당/NNP
제18대	제/XPN+18/SN+대/NNG
대통령선거	대통령선거/NNG
중앙선거대책위원회	중앙선거대책위원회/NNG
매니페스토	매니페스토/NNP
본부는	본부/NNG+는/JX
23일	23/SN+일/NNB
오후	오후/NNG
민주통합당	민주통합당/NNP
신관	신관/NNG
대회의실에서	대/XPN+회의실/NNG+에서/JKB
대선연대와	대선연대/NNG+와/JC
‘12대	‘/SL+12/SN+대/NNG
요구공약	요구공약/NNG
정책협약식’을	정책협약/NNG+식/XSN+’/SL+을/JKO
가졌다	가지/VV+었/EP+다/EC

대선연대는	대선연대/NNG+는/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
장애계의	장애/NNG+계/XSN+의/JKG
의견을	의견/NNG+을/JKO
수렴한	수렴하/VV+ㄴ/ETM
‘장애계	‘/SN+장애/NNG+계/XSN
12대	12/SN+대/NNB
요구공약’을	요구공약/NNG+’/SL+을/JKO
발표하고,	발표하/VV+고/EC+,/SP
대선후보들이	대선후보/NNG+들/XSN+이/JKS
향후	향후/NNG
국정	국정/NNG
운영에	운영/NNG+에/JKB
반영할	반영하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
약속하는	약속하/VV+는/ETM
정책협약식을	정책협약/NNG+식/XSN+을/JKO
제안한바	제안하/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

이	이/NP
같은	같/VA+은/ETM
대선연대의	대선연대/NNG+의/JKG
제안에	제안/NNG+에/JKB
김소연	김소연/NNP
노동자	노동자/NNG
대선	대선/NNG
예비후보가	예비후보/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
대선연대와	대선연대/NNG+와/JC
