안철수,	안철수/NNP+,/SP
‘장애인복지	‘/SL+장애인복지/NNG
5대	5/SN+대/NNB
전략’	전략/NNG+’/SL
발표	발표/NNG

무소속	무소속/NNG
안철수	안철수/NNP
대선	대선/NNG
후보	후보/NNG
측이	측/NNB+이/JKS
‘안철수가	‘/SN+안철수/NNP+가/JKS
약속하는	약속하/VV+는/ETM
장애인	장애인/NNG
복지	복지/NNG
5대	5/SN+대/NNB
전략’을	전략’/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

안철수	안철수/NNP
진심캠프	진심캠프/NNG
장하성	장하성/NNP
국민정책본부장은	국민정책본부/NNG+장/XSN+은/JX
20일	20/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
공평동	공평동/NNP
캠프에서	캠프/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
열고,	열/VV+고/EC+,/SP
장애인이	장애인/NNG+이/JKS
평등한	평등하/VA+ㄴ/ETM
삶을	삶/NNG+을/JKO
향유하게	향유하/VV+게/EC
하기	하/VX+기/ETN
위한	위하/VV+ㄴ/ETM
장애인	장애인/NNG
정책을	정책/NNG+을/JKO
설명했다	설명하/VV+었/EP+다/EC

제시된	제시되/VV+ㄴ/ETM
'장애인	'/SS+장애인/NNG
복지	복지/NNG
5대	5/SN+대/NNG
전략'은	전략/NNG+'/SS+은/JX
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
안	안/NNP
후보가	후보/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
7대	7/SN+대/NNB
비전	비전/NNG
실현을	실현/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
'안철수의	'/SS+안철수/NNP+의/JKG
약속'에	약속/NNG+'/SS+에/JKB
담긴	담기/VV+ㄴ/ETM
장애인	장애인/NNG
정책을	정책/NNG+을/JKO
더욱	더욱/MAG
구체화	구체화/NNG
시킨	시키/VV+ㄴ/ETM
내용이	내용/NNG+이/JKS
들어있다	들/VV+어/EC+있/VX+다/EC

