‘장애인생산품	‘/SL+장애인생산품/NNG
수의계약	수의계약/NNG
폐지’	폐지/NNG+’/SN
돌파구	돌파구/NNG
찾나	찾/VV+나/EC

장애인단체의	장애인단체/NNG+의/JKG
장애인생산품	장애인생산품/NNG
수의계약	수의계약/NNG
폐지	폐지/NNG
논란과	논란/NNG+과/JKB
관련,	관련/NNG+,/SP
보건복지부	보건복지부/NNG
임채민	임채민/NNP
장관이	장관/NNG+이/JKS
대안마련을	대안마련/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
장애인단체장들과의	장애인단체장/NNG+들/XSN+과/JKB+의/JKG
논의의	논의/NNG+의/JKG
장	장/NNG
마련을	마련/NNG+을/JKO
추진하고	추진하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

새누리당	새누리당/NNP
김정록	김정록/NNP
의원실은	의원실/NNG+은/JX
"복지부	"/SS+복지부/NNG
임채민	임채민/NNP
장관이	장관/NNG+이/JKS
내달	내달/NNG
3일	3/SN+일/NNB
장애인단체장과의	장애인단체장/NNG+과/JKB+의/JKG
만남을	만남/NNG+을/JKO
확정하고	확정하/VV+고/EC
장애인생산품	장애인생산품/NNG
수의계약	수의계약/NNG
폐지와	폐지/NNG+와/JKB
관련해	관련하/VV+여/EC
논의할	논의하/VV+ㄹ/ETM
계획임을	계획/NNG+이/VCP+ㅁ/ETN+을/JKO
전해왔다"고	전하/VV+여/EC+오/VX+았/EP+다/EF+"/SS+고/JKQ
28일	28/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

이는	이/NP+는/JX
김정록	김정록/NNP
의원이	의원/NNG+이/JKS
최근	최근/NNG
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘제310회	‘/SN+제/XPN+310/SN+회/NNB
국회	국회/NNG
제1차	제/XPN+1/SN+차/NNB
보건복지위원회-2011년	보건복지위원회/NNG+-/SO+2011/SN+년/NNB
회계연도	회계연도/NNG
결산’에서	결산/NNG+’/SL+에서/JKB
복지부의	복지부/NNG+의/JKG
장애인생산품	장애인생산품/NNG
수의계약	수의계약/NNG
폐지로	폐지/NNG+로/JKB
장애인	장애인/NNG
노동자	노동자/NNG
고용에	고용/NNG+에/JKB
문제가	문제/NNG+가/JKS
발생했다고	발생하/VV+였/EP+다고/EC
지적하며,	지적하/VV+며/EC+,/SP
임채민	임채민/NNP
장관에	장관/NNG+에/JKB
진상조사를	진상조사/NNG+를/JKO
공식	공식/NNG
요청했기	요청하/VV+였/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

김	김/NNP
의원실에	의원실/NNG+에/JKB
따르면	따르/VV+면/EC
18대	18/SN+대/NNB
국회	국회/NNG
막바지인	막바지/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
장애인단체에서	장애인단체/NNG+에서/JKB
판매하는	판매하/VV+는/ETM
