文캠프	文/SL+캠프/NNG
장애인위원장	장애인위원장/NNG
박은수	박은수/NNP
전	전/MM
의원	의원/NNG
임명	임명/NNG

문재인	문재/NNG+이/VCP+ㄴ/ETM
민주통합당	민주통합당/NNP
대선	대선/NNG
후보가	후보/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
중앙선거대책위원회	중앙선거대책위원회/NNG
산하	산하/NNG
민주당	민주당/NNP
중심	중심/NNG
캠프	캠프/NNG
조직인	조직/NNG+이/VCP+ㄴ/ETM
'민주캠프'에	'/SS+민주캠프/NNP+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
추가	추가/NNG
인선을	인선/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

재외동포위원회	재외동포위원회/NNG
위원장에	위원장/NNG+에/JKB
김성곤	김성곤/NNP
의원,	의원/NNG+,/SP
여성위원회	여성위원회/NNG
위원장에	위원장/NNG+에/JKB
민주당	민주당/NNP
여성위원장인	여성위원장/NNG+이/VCP+ㄴ/ETM
유승희	유승희/NNP
의원,	의원/NNG+,/SP
장애인위원회	장애인위원회/NNG
위원장에	위원장/NNG+에/JKB
박은수	박은수/NNP
전	전/MM
의원(민주당	의원/NNG+(/SS+민주당/NNP
장애인위원장)이	장애인위원장/NNG+)/SS+이/JKS
임명됐다	임명되/VV+었/EP+다/EF

또한	또한/MAG
국민통합추진위원회	국민통합추진위원회/NNG
부위원장에는	부위원장/NNG+에/JKB+는/JX
최경환	최/XPN+경환/NNG
행동하는	행동하/VV+는/ETM
양심	양심/NNG
상임이사,	상임이사/NNG+,/SP
특별위원회의	특별위원회/NNG+의/JKG
경우	경우/NNG
국가혁신특별위원회	국가혁신특별위원회/NNP
위원장에	위원장/NNG+에/JKB
당	당/NNG
민주정책연구원장인	민주정책연구원/NNG+장/XSN+이/VCP+ㄴ/ETM
변재일	변재일/NNP
의원이	의원/NNG+이/JKS
임명됐다	임명되/VV+었/EP+다/EF

과학기술특별위원회	과학기술특별위원회/NNG
위원장은	위원장/NNG+은/JX
김영환	김영환/NNP
의원,	의원/NNG+,/SP
국가균형발전특별위원회	국가균형발전특별위원회/NNP
위원장은	위원장/NNG+은/JX
양승조	양승조/NNP
의원과	의원/NNG+과/JC
송재호	송재호/NNP
제주대	제주대/NNP
교수가	교수/NNG+가/JKS
공동	공동/NNG
위원장을	위원장/NNG+을/JKO
맡았다	맡/VV+았/EP+다/EC

이어	이어/MAG
생태환경특별위원회	생태환경특별위원회/NNG
위원장은	위원장/NNG+은/JX
이미경	이미경/NNP
의원,	의원/NNG+,/SP
문화관광특별위원회	문화관광특별위원회/NNG
위원장은	위원장/NNG+은/JX
원혜영	원혜영/NNP
의원,	의원/NNG+,/SP
교육특별위원회	교육특별위원회/NNG
위원장은	위원장/NNG+은/JX
유기홍	유기홍/NNP
의원,	의원/NNG+,/SP
주거복지특별위원회	주거복지특별위원회/NNG
위원장은	위원장/NNG+은/JX
김진애	김진애/NNP
전	전/MM
의원,	의원/NNG+,/SP
중소기업특별위원회	중소기업특별위원회/NNG
위원장은	위원장/NNG+은/JX
김교흥	김교흥/NNP
전	전/MM
의원이	의원/NNG+이/JKS
각각	각각/MAG
맡기로	맡/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

캠프	캠프/NNG
부대변인으로는	부대변인/NNG+으로/JKB+는/JX
이훈	이훈/NNP
국민의정부	국민의정부/NNP
청와대	청와대/NNP
국정상황실장	국정상황실/NNG+장/XSN
허동준	허동준/NNP
전	전/MM
민주당	민주당/NNP
부대변인	부/XPN+대변인/NNG
이현철	이현철/NNP
경북도당	경북도당/NNP
전	전/MM
사무처장	사무처/NNG+장/XSN
이헌태	이헌태/NNP
전	전/MM
대구매일	대구매일/NNP
정치부	정치부/NNG
차장(현	차장/NNG+(/SS+현/MM
대구북을	대구북/NNP+을/JKO
위원장)	위원장/NNG+)/SS
황대원	황대원/NNG
전	전/MM
독일	독일/NNP
국제리더십	국제리더십/NNP
아카데미	아카데미/NNG
한국	한국/NNP
대표	대표/NNG
임찬규	임찬규/NNP
전	전/MM
민주당	민주당/NNP
사무부총장	사무부총장/NNG
노식래	노식래/NNP
전	전/MM
박원순	박원순/NNP
서울시장	서울/NNP+시장/NNG
선대본	선대본/NNP
부대변인	부/XPN+대변인/NNG
황우철	황우철/NNP
전	전/MM
열린우리당	열린우리당/NNP
경기도당	경기도당/NNP
조직국장	조직국장/NNG
송창욱	송창욱/NNP
문재인	문재/NNG+이/VCP+ㄴ/ETM
경선	경선/NNG
캠프	캠프/NNG
공보팀장	공보팀장/NNG
허영일	허영일/NNP
민주당	민주당/NNP
전	전/MM
당대표	당대표/NNG
언론특보	언론특보/NNG
신지연	신/XPN+지연/NNG
미국	미국/NNP
변호사(외신	변호사/NNG+(/SS+외신/NNG
담당)	담당/NNG+)/SS
김혁	김혁/NNP
전	전/MM
한국일보	한국일보/NNP
경제부	경제부/NNG
차장	차장/NNG
정명수	정명수/NNP
전	전/MM
민주당	민주당/NNP
전략기획위원회	전략기획위원회/NNG
부위원장	부위원장/NNG
등이	등/NNB+이/JKS
임명됐다	임명되/VV+었/EP+다/EF

시민들이	시민/NNG+들/XSN+이/JKS
직접	직접/MAG
참여하는	참여하/VV+는/ETM
시민캠프	시민캠프/NNG
공동대표에는	공동대표/NNG+에/JKB+는/JX
김종남	김종남/NNP
대전시민사회연구소	대/XPN+전시민사회연구소/NNG
부소장	부/XPN+소장/NNG
등	등/NNB
15명이	15/SN+명/NNB+이/JKS
위촉됐다	위촉되/VV+었/EP+다/EF

시민캠프	시민캠프/NNG
공동대표는	공동대표/NNG+는/JX
고재영	고재영/NNP
고재영	고재영/NNP
빵집	빵집/NNG
사장	사장/NNG
김영경	김영경/NNP
전	전/MM
청년유니온	청년유니/NNG+온/XSV
대표	대표/NNG
김용환	김용환/NNP
내가	내/NP+가/JKS
꿈꾸는	꿈꾸/VV+는/ETM
나라	나라/NNG
조직위원장	조직위원장/NNG
김종남	김종남/NNP
대전시민사회연구소	대전시민사회연구소/NNP
부소장	부/XPN+소장/NNG
김형석	김형석/NNP
작곡가	작곡가/NNG
김효진	김효진/NNP
장애여성네트워크	장애여성네트워크/NNP
대표(전	대표/NNG+(/SS+전/MM
서울시립북부장애인종합복지관	서울/NNP+시립북부장애인종합복지관/NNG
자문위원)	자문위원/NNG+)/SS
문성근	문성근/NNP
민주당	민주당/NNP
상임고문	상임고문/NNG
문용식	문용식/NNP
민주당	민주당/NNP
인터넷	인터넷/NNG
소통	소통/NNG
위원장	위원장/NNG
박경양	박경양/NNP
참교육을	참/XPN+교육/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
전국학부모회	전국학부모회/NNG
회장	회장/NNG
서정의	서정/NNG+의/JKG
선진농림수산연합	선진농림수산연합/NNP
회장	회장/NNG
안도현	안도현/NNP
우석대	우석대/NNP
문예창작학과	문예창작학과/NNP
교수	교수/NNG
이용선	이용선/NNP
전	전/MM
민주당	민주당/NNP
