발달장애인	발달장애인/NNG
서비스지원체계	서비스지원체계/NNG
일원화	일원화/NNG
‘부러워’	‘/SN+부럽/VA+어/EC+’/SN

‘2012	‘/SL+2012/SN
장애청년드림팀	장애청년드림팀/NNG
6대륙에	6/SN+대륙/NNG+에/JKB
도전하다’	도전하/VV+다/EC+’/SL
CASS팀은	CASS/SL+팀/NNG+은/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
23일부터	23/SN+일/NNB+부터/JX
9월	9/SN+월/NNB
2일까지	2/SN+일/NNB+까지/JX
‘발달장애인의	‘/SN+발달장애인/NNG+의/JKG
dream	dream/SL
challenge'를	challenge/SL+'/SS+를/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
미국	미국/NNP
연수를	연수/NNG+를/JKO
무사히	무사히/MAG
마치고	마치/VV+고/EC
돌아왔다	돌아오/VV+았/EP+다/EC

연수	연수/NNG
기간	기간/NNG
동안	동안/NNG
각	각/MM
기관	기관/NNG
등을	등/NNB+을/JKO
방문해	방문하/VV+여/EC
체험하고,	체험하/VV+고/EC+,/SP
느낀	느끼/VV+ㄴ/ETM
점을	점/NNG+을/JKO
소개한다	소개하/VV+ㄴ다/EF

이번	이번/NNG
연수에서	연수/NNG+에서/JKB
우리는	우리/NP+는/JX
시카고	시카고/NNP
시내에	시내/NNG+에/JKB
위치한	위치하/VV+ㄴ/ETM
일리노이주	일리노이주/NNP
발달장애국(State	발달장애국/NNG+(/SS+State/SL
of	of/SL
Illinois	Illinois/SL
council	council/SL
on	on/SL
developmental	developmental/SL
disabilities)을	disabilities/SL+)/SS+을/JKO
방문했다	방문하/VV+였/EP+다/EC

한국과는	한국/NNP+과/JKB+는/JX
다르게	다르/VA+게/EC
발달장애인들만을	발달장애인/NNG+들/XSN+만/JX+을/JKO
위한	위하/VV+ㄴ/ETM
전담부서가	전담부서/NNG+가/JKS
존재한다는	존재하/VV+ㄴ다는/ETM
것에	것/NNB+에/JKB
미국정부가	미국/NNP+정부/NNG+가/JKS
얼마만큼	얼마/NNG+만큼/JX
발달장애인들의	발달장애인/NNG+들/XSN+의/JKG
지원에	지원/NNG+에/JKB
대해	대하/VV+여/EC
관심을	관심/NNG+을/JKO
가지고	가지/VV+고/EC
있는지	있/VX+는지/EC
간접적으로	간접적/NNG+으로/JKB
알	알/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같았다	같/VA+았/EP+다/EC

우리는	우리/NP+는/JX
이곳에서	이곳/NP+에서/JKB
미국이라는	미국/NNP+이/VCP+라는/ETM
나라가	나라/NNG+가/JKS
정부차원에서	정부차원/NNG+에서/JKB
어떻게	어떻/VA+게/EC
발달장애인들을	발달장애인/NNG+들/XSN+을/JKO
지원을	지원/NNG+을/JKO
하고	하/VV+고/EC
있는지,	있/VX+는지/EC+,/SP
특히	특히/MAG
직업재활정책은	직업재활정책/NNG+은/JX
어떠한지에	어떠하/VA+ㄴ지/EC+에/JKB
대해	대하/VV+여/EC
알아보고	알아보/VV+고/EC
싶었다	싶/VX+었/EP+다/EF

그래서	그래서/MAJ
시카고	시카고/NNP
시내	시내/NNG
한가운데,	한가운데/NNG+,/SP
시카고에서	시카고/NNP+에서/JKB
가장	가장/MAG
아름다운	아름답/VA+ㄴ/ETM
빌딩	빌딩/NNG
중	중/NNB
하나인	하나/NNG+이/VCP+ㄴ/ETM
톰슨센터빌딩에	톰슨센터빌딩/NNP+에/JKB
위치한	위치하/VV+ㄴ/ETM
발달장애국에서	발달장애국/NNG+에서/JKB
미팅을	미팅/NNG+을/JKO
준비하고	준비하/VV+고/EC
있는	있/VX+는/ETM
발달장애국의	발달장애국/NNG+의/JKG
'마가렛'과	'/SS+마가렛/NNP+'/SS+과/JC
시카고	시카고/NNP
상공회의소	상공회의소/NNG
소속	소속/NNG
직업재활사	직업재활사/NNG
'죠'를	'/SS+죠/IC+'/SS+를/JKO
만났다	만나/VV+았/EP+다/EC

그들과	그/NP+들/XSN+과/JC
우리	우리/NP
팀은	팀/NNG+은/JX
서로의	서로/NNG+의/JKG
정책들에	정책/NNG+들/XSN+에/JKB
대해	대하/VV+여/EC
많은	많/VA+은/ETM
이야기를	이야기/NNG+를/JKO
나누었는데,	나누/VV+었/EP+는데/EC+,/SP
발달장애인들에게만	발달장애인/NNG+들/XSN+에게/JKB+만/JX
국한되지	국한되/VV+지/EC
않은	않/VX+은/ETM
개인적으로	개인적/NNG+으로/JKB
느낀	느끼/VV+ㄴ/ETM
가장	가장/MAG
큰	크/VA+ㄴ/ETM
두	두/MM
가지	가지/NNB
의미	의미/NNG
있는	있/VA+는/ETM
내용을	내용/NNG+을/JKO
소개하고	소개하/VV+고/EC
싶다	싶/VX+다/EC

첫째,	첫째/NR+,/SP
서비스	서비스/NNG
전달체계의	전달체계/NNG+의/JKG
일원화다	일원화/NNG+이/VCP+다/EF

약	약/MM
10여년	10/SN+여/XSN+년/NNB
전에는	전/NNG+에/JKB+는/JX
일리노이주에는	일리노이주/NNP+에/JKB+는/JX
장애인들의	장애인/NNG+들/XSN+의/JKG
직업재활서비스를	직업재활서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
주정부기관이	주정부기관/NNG+이/JKS
복수로	복수/NNG+로/JKB
존재를	존재/NNG+를/JKO
했었는데,	하/VV+였었/EP+는데/EC+,/SP
그로	그/NP+로/JKB
인해	인하/VV+여/EC
생기는	생기/VV+는/ETM
여러	여러/MM
가지	가지/NNB
비효율적인	비효율/NNG+적/XSN+이/VCP+ㄴ/ETM
문제들로	문제/NNG+들/XSN+로/JKB
