상임위	상임위/NNG
증액	증액/NNG
장애인복지예산	장애인복지예산/NNG
얼마나	얼마나/MAG
되나?	되/VV+나/EF+?/SF

국회	국회/NNG
보건복지위원회에서	보건복지위원회/NNG+에서/JKB
장애인활동지원	장애인활동지원/NNG
예산	예산/NNG
외에도	외/NNB+에/JKB+도/JX
장애영유아보육료,	장애영유아보육료/NNG+,/SP
중증장애인자립생활	중증장애인자립생활/NNG
지원	지원/NNG
예산	예산/NNG
등이	등/NNB+이/JKS
증액됐다	증액되/VV+었/EP+다/EF

26일	26/SN+일/NNB
국회	국회/NNG
보거복지위원회	보거복지위원회/NNG
김정록	김정록/NNP
의원에	의원/NNG+에/JKB
따르면	따르/VV+면/EC
최근	최근/NNG
열린	열리/VV+ㄴ/ETM
복지위	복지위/NNG
예산결산심사소위원회에서	예산결산심사소위원회/NNG+에서/JKB
장애인활동지원	장애인활동지/NNG+원/XSN
1535억9400만원,	1535/SN+억/NR+9400/SN+만/NR+원/NNB+,/SP
장애영유아보육료	장애영유아보육료/NNP
지원	지원/NNG
25억2500만원,	25/SN+억/NR+2500/SN+만/NR+원/NNB+,/SP
중증장애인자립생활	중증장애인자립생활/NNG
지원(척수장애인재활훈련지원)	지원/NNG+(/SS+척수장애인재활훈련지원/NNG+)/SS
4500만원이	4500/SN+만/NR+원/NNB+이/JKS
증액됐다	증액되/VV+었/EP+다/EF

장애인단체지원	장애인단체지원/NNG
예산도	예산/NNG+도/JX
11억5000만원	11/SN+억/NR+5000/SN+만/NR+원/NNB
증액됐다	증액되/VV+었/EP+다/EF

2012년	2012/SN+년/NNB
실시된	실시되/VV+ㄴ/ETM
4개	4/SN+개/NNB
국제행사가	국제행사/NNG+가/JKS
종료됨에	종료되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
복지부의	복지부/NNG+의/JKG
2013년	2013/SN+년/NNB
장애인단체	장애인단체/NNG
지원	지원/NNG
예산안은	예산안/NNG+은/JX
71억5000만원으로	71/SN+억/NR+5000/SN+만/NR+원/NNB+으로/JKB
삭감됐었다	삭감되/VV+었었/EP+다/EF

또한	또한/MAG
대전지역	대전/NNP+지역/NNG
장애인의	장애인/NNG+의/JKG
보건의료	보건의료/NNG
및	및/MAG
응급의료	응급의료/NNG
체계를	체계/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
‘장애인구강진료센터’	‘/SL+장애인구강진료센터/NNG+’/SL
지원	지원/NNG
예산으로	예산/NNG+으로/JKB
6억5000만원,	6/SN+억/NR+5000/SN+만/NR+원/NNB+,/SP
장애인인권침해예방센터	장애인인권침해예방센터/NNG
지원	지원/NNG
예산으로	예산/NNG+으로/JKB
2억원이	2/SN+억/NR+원/NNB+이/JKS
증액됐다	증액되/VV+었/EP+다/EF

이외	이외/NNG
어린이집	어린이집/NNG
장애아담당수당	장애아담당수당/NNG
19억원,	19/SN+억/NR+원/NNB+,/SP
중증장애인생산품우선구매	중증장애인생산품우선구매/NNG
촉진(한국장애인직업재활시설협회)	촉진/NNG+(/SS+한국/NNP+장애인직업재활시설협회/NNG+)/SS
1억5000만원,	1/SN+억/NR+5000/SN+만/NR+원/NNB+,/SP
안마의	안마/NNG+의/JKG
효능검증을	효능검증/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
안마임상연구비로	안마임상연구비/NNG+로/JKB
5억4500만원이	5/SN+억/NR+4500/SN+만/NR+원/NNB+이/JKS
신규	신규/NNG
편성됐다	편성되/VV+었/EP+다/EF

복지위	복지위/NNG
예산결산심사소위원회에서	예산결산심사소위원회/NNG+에서/JKB
증액된	증액되/VV+ㄴ/ETM
장애인복지	장애인복지/NNG
관련	관련/NNG
예산은	예산/NNG+은/JX
지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
복지위	복지위/NNG
전체회의에서	전체회의/NNG+에서/JKB
의결돼,	의결되/VV+어/EC+,/SP
국회	국회/NNG
예산결산특별위원회와	예산결산특별위원회/NNG+와/JC
본회의	본회/NNG+의/JKG
통과만을	통과/NNG+만/JX+을/JKO
남겨	남기/VV+어/EC
놓고	놓/VX+고/EC
있다	있/VX+다/EC

국회	국회/NNG
예결위는	예결위/NNG+는/JX
지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
전체회의를	전체회의/NNG+를/JKO
열고	열/VV+고/EC
예산안	예산안/NNG
등	등/NNB
조정소위원회	조정소위원회/NNG
위원을	위원/NNG+을/JKO
구성,	구성/NNG+,/SP
지난	지나/VV+ㄴ/ETM
25일부터	25/SN+일/NNB+부터/JX
내년도	내년도/NNG
예산안	예산안/NNG
심의를	심의/NNG+를/JKO
진행	진행/NNG
중에	중/NNB+에/JKB
있다	있/VA+다/EF

복지위의	복지위/NNG+의/JKG
보건복지	보건복지/NNG
분야	분야/NNG
예산은	예산/NNG+은/JX
오는	오/VV+는/ETM
28일이나	28/SN+일/NNB+이나/JC
29일	29/SN+일/NNB
중	중/NNB
논의될	논의되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

국회	국회/NNG
예결위는	예결위/NNG+는/JX
29일까지	29/SN+일/NNB+까지/JX
내년도	내년도/NNG
예산안	예산안/NNG
심사를	심사/NNG+를/JKO
마무리하고	마무리하/VV+고/EC
30일	30/SN+일/NNB
전체회의에서	전체회의/NNG+에서/JKB
최종	최종/NNG
의결해	의결하/VV+여/EC
본회의에	본회의/NNG+에/JKB
상정한다는	상정하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

김정록	김정록/NNP
의원은	의원/NNG+은/JX
“활동지원	“/SN+활동지원/NNG
등의	등/NNB+의/JKG
장애계의	장애/NNG+계/XSN+의/JKG
현안,	현안/NNG+,/SP
인권,	인권/NNG+,/SP
고용,	고용/NNG+,/SP
장애인단체	장애인단체/NNG
역량강화에	역량강화/NNG+에/JKB
노력했다”며	노력하/VV+였/EP+다/EC+”/VX+며/EC
“이번에	“/SN+이번/NNG+에/JKB
증액된	증액되/VV+ㄴ/ETM
장애관련	장애관련/NNG
예산이	예산/NNG+이/JKS
관철될	관철되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
동료의원	동료의원/NNG
및	및/MAG
장애계와	장애/NNG+계/XSN+와/JC
힘을	힘/NNG+을/JKO
모아	모으/VV+아/EC
나가겠다”고	나가/VX+겠/EP+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC
