노인·장애인	노인/NNG+·/SP+장애인/NNG
지하철	지하철/NNG
무임승차	무임승차/NNG
미제공	미제공/NNG
차단	차단/NNG

노인과	노인/NNG+과/JC
장애인의	장애인/NNG+의/JKG
지하철	지하철/NNG
무임승차	무임승차/NNG
비용을	비용/NNG+을/JKO
국가나	국가/NNG+나/JC
지방자치단체가	지방자치단체/NNG+가/JKS
부담하도록	부담하/VV+도록/EC
하는	하/VX+는/ETM
법안이	법안/NNG+이/JKS
발의됐다	발의되/VV+었/EP+다/EF

민주통합당	민주통합당/NNP
이낙연	이낙연/NNP
의원은	의원/NNG+은/JX
수송시설	수송시설/NNG
운용료를	운용료/NNG+를/JKO
국가나	국가/NNG+나/JC
지방자치단체가	지방자치단체/NNG+가/JKS
부담하도록	부담하/VV+도록/EC
하는	하/VX+는/ETM
노인복지법과	노인복지법/NNG+과/JC
장애인복지법	장애인복지법/NNG
개정안을	개정안/NNG+을/JKO
23일	23/SN+일/NNB
발의했다고	발의하/VV+였/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

법안	법안/NNG
발의에는	발의/NNG+에/JKB+는/JX
유대운·강동원·김춘진·민홍철·홍영표·김태원·김관영·윤후덕·박민수·도종환	유대운/NNP+·/SP+강동원/NNP+·/SP+김춘진/NNP+·/SP+민홍철/NNP+·/SP+홍영표/NNP+·/SP+김태원/NNP+·/SP+김관영/NNP+·/SP+윤후덕/NNP+·/SP+박민수/NNP+·/SP+도종환/NNP
의원	의원/NNG
등	등/NNB
여야	여야/NNG
의원	의원/NNG
10명이	10/SN+명/NNB+이/JKS
참여했다	참여하/VV+였/EP+다/EF

현행법은	현행법/NNG+은/JX
노인이나	노인/NNG+이나/JC
장애인이	장애인/NNG+이/JKS
기차나	기차/NNG+나/JC
지하철	지하철/NNG
등의	등/NNB+의/JKG
수송시설을	수송시설/NNG+을/JKO
무료로	무료/NNG+로/JKB
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
규정하고	규정하/VV+고/EC
있으나,	있/VX+으나/EC+,/SP
그	그/MM
비용을	비용/NNG+을/JKO
누가	누구/NP+가/JKS
부담할	부담하/VV+ㄹ/ETM
것인지는	것/NNB+이/VCP+ㄴ지/EC+는/JX
정하지	정하/VV+지/EC
않고	않/VX+고/EC
있다	있/VX+다/EC

이로	이/NP+로/JKB
인해	인하/VV+여/EC
‘철도산업발전	‘/SL+철도산업발전/NNG
기본법’에	기본법/NNG+’/SL+에/JKB
부담	부담/NNG
근거를	근거/NNG+를/JKO
둔	두/VV+ㄴ/ETM
한국철도공사는	한국철도공사/NNP+는/JX
무임수송	무임수송/NNG
비용을	비용/NNG+을/JKO
국가로부터	국가/NNG+로부터/JKB
지원받지만,	지원/NNG+받/VV+지만/EC+,/SP
그렇지	그렇/VA+지/EC
못한	못하/VX+ㄴ/ETM
도시철도운영자는	도시철도운영자/NNG+는/JX
아무런	아무런/MM
지원을	지원/NNG+을/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
형평성	형평성/NNG
문제가	문제/NNG+가/JKS
나타난다	나타나/VV+ㄴ다/EF

또	또/MAG
국비지원이	국비지원/NNG+이/JKS
없는	없/VA+는/ETM
수송시설	수송시설/NNG
운영기관은	운영기관/NNG+은/JX
무임수송	무임수송/NNG
비용	비용/NNG
부담이	부담/NNG+이/JKS
적자의	적자/NNG+의/JKG
원인이	원인/NNG+이/JKC
되다보니	되/VV+다/EC+보/VX+니/EC
요즘	요즘/NNG
신설되는	신설되/VV+는/ETM
경전철은	경전철/NNG+은/JX
일부	일부/NNG
공익서비스를	공익서비스/NNG+를/JKO
제공하지	제공하/VV+지/EC
않기도	않/VX+기/ETN+도/JX
한다	하/VX+ㄴ다/EF

이	이/MM
의원은	의원/NNG+은/JX
“도시철도가	“/SL+도시철도/NNG+가/JKS
지자체	지자체/NNG
소관이라	소관/NNG+이/VCP+라/EC
재정이	재정/NNG+이/JKS
열악한	열악하/VA+ㄴ/ETM
지자체만	지자체/NNG+만/JX
책임을	책임/NNG+을/JKO
지는	지/VV+는/ETM
실정”이라며	실정”/NNG+이/VCP+라며/EC
“국가도	“/SL+국가/NNG+도/JX
책임을	책임/NNG+을/JKO
가지고	가지/VV+고/EC
부담해야	부담하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
것이	것/NNB+이/JKS
법안의	법안/NNG+의/JKG
핵심”이라고	핵심”/NNG+이/VCP+라고/EC
설명했습니다	설명하/VV+였/EP+습니다/EF
