새누리당,	새누리당/NNP+,/SP
안랩	안랩/NNP
해명	해명/NNG
‘어처구니	‘/SN+어/XSN+처구니/NNG
없는	없/VA+는/ETM
변명’	변명/NNG+’/SN

새누리당이	새누리당/NNP+이/JKS
장애인	장애인/NNG
고용률	고용/NNG+률/XSN
저조에	저조/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
안랩의	안랩/NNG+의/JKG
해명에	해명/NNG+에/JKB
대해	대하/VV+여/EC
‘어처구니	‘/SN+어처구니/NNG
없는	없/VA+는/ETM
변명’이라고	변명’/NNG+이/VCP+라고/EC
질타하고	질타하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

새누리당	새누리당/NNP
중앙선거대책위원회	중앙선거대책위원회/NNG
장덕상	장덕상/NNP
부대변인은	부/XPN+대변인/NNG+은/JX
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
논평을	논평/NNG+을/JKO
통해	통하/VV+여/EC
“안랩	“/SL+안랩/NNG
측이	측/NNB+이/JKS
IT	IT/SL
기술	기술/NNG
특성	특성/NNG
상	상/XSN
장애인	장애인/NNG
인력을	인력/NNG+을/JKO
채용하는	채용하/VV+는/ETM
것이	것/NNB+이/JKS
어려웠다고	어렵/VA+었/EP+다고/EC
밝혔다”면서	밝허/VV+였/EP+다/EC+”/VV+면서/EC
“어처구니	“/SN+어/XSN+처구니/NNG
없는	없/VA+는/ETM
변명이며,	변명/NNG+이/VCP+며/EC+,/SP
우리사회	우리/NP+사회/NNG
전반에서	전반/NNG+에서/JKB
우수하게	우수하/VA+게/EC
활약하고	활약하/VV+고/EC
있는	있/VX+는/ETM
장애인들에게	장애인/NNG+들/XSN+에게/JKB
또	또/MAG
한	한/MM
번	번/NNB
상처를	상처/NNG+를/JKO
주는	주/VV+는/ETM
말”이라고	말”/NNG+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

장	장/NNP
부대변인은	부/XPN+대변인/NNG+은/JX
“안랩	“/SL+안랩/NNG
측이	측/NNB+이/JKS
밝힌	밝히/VV+ㄴ/ETM
‘최근	‘/SL+최근/NNG
수년간	수년/NNG+간/XSN
매출성장과	매출성장/NNG+과/JKB
더불어	더불/VV+어/EC
채용인력의	채용인력/NNG+의/JKG
급격한	급격하/VA+ㄴ/ETM
증가로	증가/NNG+로/JKB
장애	장애/NNG
인력	인력/NNG
고용	고용/NNG
비율을	비율/NNG+을/JKO
맞추기가	맞추/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않았다고	않/VX+았/EP+다고/EC
했지만,	하/VV+였/EP+지만/EC+,/SP
장애인	장애인/NNG
고용은	고용/NNG+은/JX
수요가	수요/NNG+가/JKS
적을	적/VA+을/ETM
때만	때/NNG+만/JX
하는	하/VV+는/ETM
구색	구색/NNG
갖추기	갖추/VV+기/ETN
용이라는	용/NNG+이/VCP+라는/ETM
것인	것/NNB+이/VCP+ㄴ/ETM
지	지/NNB
묻지	묻/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없다”며	없/VA+다”며/EC
“안랩	“/SL+안랩/NNG
측의	측/NNB+의/JKG
해명을	해명/NNG+을/JKO
최대주주인	최대주주/NNG+이/VCP+ㄴ/ETM
안철수	안철수/NNP
후보가	후보/NNG+가/JKS
동의한	동의하/VV+ㄴ/ETM
것인지에	것/NNB+이/VCP+ㄴ지/EC+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
밝혀주길	밝허/VV+어/EF+주/VX+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EC+”/VV+고/EC
촉구했다	촉구하/VV+였/EP+다/EC

또한	또한/MAG
“문제는	“/SL+문제/NNG+는/JX
안랩의	안랩/NNG+의/JKG
변명이	변명/NNG+이/JKS
단	달/VV+ㄴ/ETM
하루	하루/NNG
지나	지나/VV+아/EC
잉크도	잉크/NNG+도/JX
마르기	마르/VV+기/ETN
전에	전/NNG+에/JKB
안	알/VV+ㄴ/EF
후보가	후보/NNG+가/JKS
공공기관의	공공기관/NNG+의/JKG
장애인	장애인/NNG
의무고용을	의무고용/NNG+을/JKO
지키도록	지키/VV+도록/EC
지도,	지도/NNG+,/SP
감독을	감독/NNG+을/JKO
강화하겠다는	강화하/VV+겠/EP+다는/ETM
공약을	공약/NNG+을/JKO
발표했는데,	발표하/VV+었/EP+는데/EC+,/SP
향후	향후/NNG
규정을	규정/NNG+을/JKO
안	안/MAG
지킨	지키/VV+ㄴ/ETM
공공기관들이	공공기관/NNG+들/XSN+이/JKS
이처럼	이/NP+처럼/JKB
해명한다면	해명하/VV+ㄴ다면/EC
안	안/NNP
후보는	후보/NNG+는/JX
어떻게	어떻/VA+게/EC
대처할	대처하/VV+ㄹ/ETM
것이냐”면서	것/NNB+이/VCP+냐/EC+”/VX+면서/EC
“내가하면	“/SL+내가하/VV+면/EC
로맨스,	로맨스/NNG+,/SP
남이하면	남이하/VA+면/EC
불륜이라	불륜/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
것이냐”고	것/NNB+이/VCP+냐/EC+”/VX+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

장	장/NNP
부대변인은	부/XPN+대변인/NNG+은/JX
“국민은	“/SN+국민/NNG+은/JX
원칙이	원칙/NNG+이/JKS
서있고	서/VV+어/EC+있/VX+고/EC
신뢰할	신뢰하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대통령을	대통령/NNG+을/JKO
원한다”며	원하/VV+ㄴ다/EC+”/VX+며/EC
“말	“/SN+말/NNB
따로	따로/MAG
행동	행동/NNG
따로	따로/MAG
인	이/VV+ㄴ/ETM
후보는	후보/NNG+는/JX
결코	결코/MAG
용납하지	용납하/VV+지/EC
않음을	않/VX+음/ETN+을/JKO
깨달아야	깨닫/VV+아야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

한편	한편/MAG
새누리당은	새누리당/NNP+은/JX
9일	9/SN+일/NNB
안랩의	안랩/NNG+의/JKG
장애인	장애인/NNG
고용률	고용/NNG+률/XSN
저조에	저조/NNG+에/JKB
대해	대하/VV+여/EC
안철수	안철수/NNP
후보가	후보/NNG+가/JKS
‘말	‘/SN+말/NNB
따로	따로/MAG
행동따로’	행동/NNG+따로/MAG+’/SL
라고	라고/NNG
비판했고,	비판하/VV+였/EP+고/EC+,/SP
안랩은	안랩/NNG+은/JX
IT	IT/SL
보안기술의	보안기술/NNG+의/JKG
특성상	특성/NNG+상/XSN
동일	동일/NNG
직무를	직무/NNG+를/JKO
수행할	수행하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
관련	관련/NNG
장애	장애/NNG
인력	인력/NNG
채용이	채용/NNG+이/JKS
