심상정,	심상정/NNG+,/SP
부양의무제·장애등급제	부양의무제/NNG+·/SP+장애등급/NNG+제/XSN
폐지	폐지/NNG

진보정의당	진보정의당/NNP
심상정	심상정/NNP
후보가	후보/NNG+가/JKS
장애인	장애인/NNG
및	및/MAG
빈곤층	빈곤/NNG+층/XSN
등	등/NNB
취약계층의	취약계층/NNG+의/JKG
기초생활을	기초생활/NNG+을/JKO
보장하기	보장하/VV+기/ETN
위해	위하/VV+여/EC
부양의무제	부양의무제/NNG
및	및/MAG
장애인	장애인/NNG
등급제를	등급/NNG+제/XSN+를/JKO
폐지하겠다는	폐지하/VV+겠/EP+다는/ETM
공약을	공약/NNG+을/JKO
내세웠다	내세우/VV+었/EP+다/EC

심상정	심상정/NNP
후보는	후보/NNG+는/JX
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
국회	국회/NNG
기자회견을	기자회견/NNG+을/JKO
통해	통하/VV+여/EC
이	이/NP
같은	같/VA+은/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
‘20대	‘/SL+20/SN+대/NNB
종합	종합/NNG
공약’을	공약’/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

이날	이날/NNG
심	심/NNP
후보는	후보/NNG+는/JX
부양의무제	부양의무제/NNG
및	및/MAG
장애인등급제	장애인등급/NNG+제/XSN
폐지를	폐지/NNG+를/JKO
통해	통하/VV+여/EC
장애인,	장애인/NNG+,/SP
빈곤층	빈곤/NNG+층/XSN
등	등/NNB
취약계층의	취약계층/NNG+의/JKG
기초생활을	기초생활/NNG+을/JKO
보장하겠다고	보장하/VV+겠/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

또한	또한/MAG
국가책임보육과	국가책임보육/NNG+과/JC
기초노령연금	기초노령연금/NNG
2배	2/SN+배/NNG
인상,	인상/NNG+,/SP
주거복지정책으로	주거복지정책/NNG+으로/JKB
전환,	전환/NNG+,/SP
청년	청년/NNG
고용	고용/NNG
5%	5/SN+%/SW
할당제	할당제/NNG
실시	실시/NNG
등의	등/NNB+의/JKG
공약도	공약/NNG+도/JX
내걸었다	내걸/VV+었/EP+다/EF

한편	한편/MAG
심상정	심상정/NNP
후보를	후보/NNG+를/JKO
비롯해	비롯하/VV+여/EC
민주통합당	민주통합당/NNP
문재인	문재인/NNP
후보,	후보/NNG+,/SP
무소속	무소속/NNG
안철수	안철수/NNP
후보	후보/NNG
총	총/MM
3명의	3/SN+명/NNB+의/JKG
야권	야권/NNG
대선	대선/NNG
후보들은	후보/NNG+들/XSN+은/JX
공통적으로	공통적/NNG+으로/JKB
장애인등급제를	장애인등급/NNG+제/XSN+를/JKO
폐지하겠다는	폐지하/VV+겠/EP+다는/ETM
공약을	공약/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC
