'장애인고용촉진법	'/SS+장애인고용촉진법/NNG
개정안'	개정안/NNG+'/SS
환노위	환노위/NNG
통과	통과/NNG

국회	국회/NNG
환경노동위원회	환경노동위원회/NNG
소속	소속/NNG
김성태	김성태/NNP
의원(새누리당)이	의원/NNG+(/SS+새누리당/NNP+)/SS+이/JKS
대표	대표/NNG
발의한	발의하/VV+ㄴ/ETM
‘장애인고용촉진	‘/SL+장애인고용촉진/NNG
및	및/MAG
직업재활법’이	직업재활법/NNG+’/SL+이/JKS
27일	27/SN+일/NNB
상임위를	상임위/NNG+를/JKO
통과했다	통과하/VV+였/EP+다/EC

통과된	통과되/VV+ㄴ/ETM
개정안은	개정안/NNG+은/JX
기타공공기관과	기타공공기관/NNG+과/JC
지방공사·공단·출자·출연법인(이하	지방공사/NNG+·/SP+공단/NNG+·/SP+출자/NNG+·/SP+출연법인/NNG+(/SS+이하/NNG
기타공공기관	기타공공기관/NNG
등)의	등/NNB+)/SS+의/JKG
장애인	장애인/NNG
의무고용률을	의무고용률/NNG+을/JKO
3%로	3/SN+%/SW+로/JKB
상향조정하고,	상향/NNG+조정하/VV+고/EC+,/SP
장애인	장애인/NNG
표준사업장	표준사업장/NNG
활성화를	활성화/NNG+를/JKO
위해	위하/VV+여/EC
장애인	장애인/NNG
표준사업장에	표준사업장/NNG+에/JKB
공공기관	공공기관/NNG
우선구매제도를	우선구매제도/NNG+를/JKO
도입하는	도입하/VV+는/ETM
내용이다	내용/NNG+이/VCP+다/EC

개정안에는	개정안/NNG+에/JKB+는/JX
공공부문의	공공부문/NNG+의/JKG
장애인고용	장애인고/NNG+용/XSN
촉진을	촉진/NNG+을/JKO
위해,	위하/VV+여/EC+,/SP
현재	현재/MAG
2	2/SN

5%인	5/SN+%/SW+이/VCP+ㄴ/ETM
기타공공기관	기타/NNP+공공기관/NNG
등의	등/NNB+의/JKG
의무고용률을	의무고용률/NNG+을/JKO
2014년부터	2014/SN+년/NNB+부터/JX
모두	모두/MAG
3%로	3/SN+%/SW+로/JKB
상향조정하도록	상향/NNG+조정하/VV+도록/EC
했다	하/VX+였/EP+다/EC

또한	또한/MAG
민간부문의	민간부문/NNG+의/JKG
장애인	장애인/NNG
고용활성화를	고용활성화/NNG+를/JKO
위해	위하/VV+여/EC
장애인	장애인/NNG
표준사업장에	표준사업장/NNG+에/JKB
공공기관	공공기관/NNG
우선구매제도를	우선구매제도/NNG+를/JKO
도입함으로써	도입하/VV+ㅁ/ETN+으로써/JKB
판로개척을	판로개척/NNG+을/JKO
도모하고,	도모하/VV+고/EC+,/SP
장애인	장애인/NNG
특히	특히/MAG
중증장애인에	중증장애인/NNG+에/JKB
양질의	양질/NNG+의/JKG
일자리를	일자리/NNG+를/JKO
제공하도록	제공하/VV+도록/EC
했다	하/VX+였/EP+다/EC

김성태	김성태/NNP
의원은	의원/NNG+은/JX
“장애인에게	“/SL+장애인/NNG+에게/JKB
양질의	양질/NNG+의/JKG
일자리를	일자리/NNG+를/JKO
제공하는	제공하/VV+는/ETM
것은	것/NNB+은/JX
우리사회가	우리/NP+사회/NNG+가/JKS
당연히	당연히/MAG
책임져야	책임지/VV+어야/EC
할	하/VX+ㄹ/ETM
사명이다	사명/NNG+이/VCP+다/EC

최저임금마저	최저임금/NNG+마저/JX
위협받는	위협/NNG+받/VV+는/ETM
장애인에게	장애인/NNG+에게/JKB
양질의	양질/NNG+의/JKG
일자리를	일자리/NNG+를/JKO
제공할	제공하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되어	되/VV+어/EC
기쁘다”며	기쁘/VA+다/EC+”/VX+며/EC
“장애인,	“/SL+장애인/NNG+,/SP
비장애인	비/XPN+장애인/NNG
할	하/VV+ㄹ/ETM
것	것/NNB
없이	없이/MAG
일터에서	일터/NNG+에서/JKB
함께	함께/MAG
어우러져	어우러지/VV+어/EC
행복하게	행복하/VA+게/EC
일할	일하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되기를	되/VV+기/ETN+를/JKO
희망한다”고	희망하/VV+ㄴ다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편,	한편/NNG+,/SP
개정안은	개정안/NNG+은/JX
환노위	환노위/NNG
법안소위에서	법안소위/NNG+에서/JKB
홍영표·김우남	홍영표/NNP+·/SP+김우남/NNP
의원안과	의원안/NNG+과/JC
병합	병합/NNG
심사돼	심사되/VV+어/EC
대안(위원장)으로	대안/NNG+(/SS+위원장/NNG+)/SS+으로/JKB
전체회의를	전체회의/NNG+를/JKO
통과했다	통과하/VV+였/EP+다/EC
