"장향숙,	"/SS+장향숙/NNP+,/SP
한명숙	한명숙/NNP
대표와	대표/NNG+와/JC
만남	만남/NNG
주선	주선/NNG
약속해	약속하/VV+여/EC
돈줬다"	돈/NNG+주/VV+었/EP+다/EF+"/SS

(부산=연합뉴스)	(/SS+부산/NNP+=/SW+연합뉴스/NNP+)/SS
민영규	민영규/NNP
기자	기자/NNG
=	=/SW
민주당	민주당/NNP
공천로비	공천로비/NNG
의혹을	의혹/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
부산지검	부산/NNP+지검/NNG
공안부(이태승	공안부/NNG+(/SS+이태승/NNP
부장검사)는	부장검사/NNG+)/SS+는/JX
권모	권/NNP+모/NP
전	전/MM
한국시각장애인연합회장으로부터	한국/NNP+시각장애인연합회장/NNG+으로부터/JKB
"장향숙	"/SS+장향숙/NNP
전	전/MM
의원이	의원/NNG+이/JKS
한명숙	한명숙/NNP
전	전/MM
대표	대표/NNG
등과의	등/NNB+과/JKB+의/JKG
만남을	만남/NNG+을/JKO
주선하겠다는	주선하/VV+겠/EP+다는/ETM
약속을	약속/NNG+을/JKO
해	하/VV+여/EC
돈을	돈/NNG+을/JKO
줬다"는	주/VV+었/EP+다/EF+"/SS+는/JX
진술을	진술/NNG+을/JKO
확보한	확보하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
24일	24/SN+일/NNB
알려졌다	알려지/VV+었/EP+다/EF

권씨는	권/NNP+씨/NNB+는/JX
장	장/NNP
전	전/MM
의원에게	의원/NNG+에게/JKB
민주당	민주당/NNP
비례대표	비례대표/NNG
후보로	후보/NNG+로/JKB
추천해달라는	추천하/VV+여/EC+달/VX+라는/ETM
부탁과	부탁/NNG+과/JKB
함께	함께/MAG
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
부산의	부산/NNP+의/JKG
한	한/MM
호텔에서	호텔/NNG+에서/JKB
300만원을,	300/SN+만/NR+원/NNB+을/JKO+,/SP
2월에는	2/SN+월/NNB+에/JKB+는/JX
장	장/NNP
전	전/MM
의원의	의원/NNG+의/JKG
부산	부산/NNP
금정구	금정구/NNP
4·11	4/SN+·/SP+11/SN
총선	총선/NNG
예비	예비/NNG
후보자	후보자/NNG
선거사무소에서	선거사무소/NNG+에서/JKB
3천만원을	3/SN+천만/NR+원/NNB+을/JKO
각각	각각/MAG
전달한	전달하/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

권씨는	권/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
소환조사에서	소환조사/NNG+에서/JKB
"300만원은	"/SS+300/SN+만/NR+원/NNB+은/JX
장	장/NNP
전	전/MM
의원이	의원/NNG+이/JKS
도와줄지	도와주/VV+ㄹ지/EC
모르는	모르/VV+는/ETM
상황이어서	상황/NNG+이/VCP+어서/EC
인사치레로	인사치레/NNG+로/JKB
건넸고,	건네/VV+었/EP+고/EC+,/SP
3천만원은	3/SN+천만/NR+원/NNB+은/JX
장	장/NNP
전	전/MM
의원이	의원/NNG+이/JKS
당시	당시/NNG
한명숙	한명숙/NNP
대표와	대표/NNG+와/JC
이미경	이미경/NNP
총선기획단장과의	총선기획단장/NNG+과/JKB+의/JKG
친분을	친분/NNG+을/JKO
과시하며	과시하/VV+며/EC
한	한/MM
대표	대표/NNG
등과의	등/NNB+과/JKB+의/JKG
만남을	만남/NNG+을/JKO
주선하겠다고	주선하/VV+겠/EP+다고/EC
약속해	약속하/VV+여/EC
줬다"고	주/VV+었/EP+다/EF+"/SS+고/JKQ
진술한	진술하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다	전하/VV+여/EC+지/VX+었/EP+다/EF

권씨는	권/NNP+씨/NNB+는/JX
"그러나	"/SS+그러나/MAJ
장	장/NNP
전	전/MM
의원은	의원/NNG+은/JX
아무런	아무런/MM
도움을	도움/NNG+을/JKO
주지	주/VV+지/EC
않았는데도	않/VX+았/EP+는데/EC+도/JX
돈을	돈/NNG+을/JKO
돌려주지	돌려주/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
사과도	사과/NNG+도/JX
하지	하/VV+지/EC
않아	않/VX+아/EC
자백하게	자백하/VV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
주장했다는	주장하/VV+였/EP+다는/ETM
후문이다	후문/NNG+이/VCP+다/EC

검찰은	검찰/NNG+은/JX
이에	이/NP+에/JKB
따라	따르/VV+아/EC
장	장/NNP
전	전/MM
의원이	의원/NNG+이/JKS
한	한/MM
전	전/MM
대표와	대표/NNG+와/JKB
접촉하는	접촉하/VV+는/ETM
등	등/NNB
민주당	민주당/NNP
비례대표	비례대표/NNG
후보	후보/NNG
공천과정에	공천과정/NNG+에/JKB
영향력을	영향력/NNG+을/JKO
행사했는지	행사하/VV+였/EP+는지/EC
확인	확인/NNG
중이다	중/NNB+이/VCP+다/EC

장	장/NNP
전	전/MM
의원에게	의원/NNG+에게/JKB
지난	지나/VV+ㄴ/ETM
3~4월	3/SN+~/SO+4/SN+월/NNB
공천로비	공천로비/NNG
대가로	대가/NNG+로/JKB
7천만원을	7/SN+천만/NR+원/NNB+을/JKO
전달한	전달하/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받는	받/VV+는/ETM
민주당	민주당/NNP
최동익	최동익/NNP
의원이	의원/NNG+이/JKS
사회적	사회적/NNG
약자	약자/NNG
배려	배려/NNG
차원에서	차원/NNG+에서/JKB
비례대표	비례대표/NNG
2번으로	2/SN+번/NNB+으로/JKB
공천받아	공천/NNG+받/VV+아/EC
무난히	무난히/MAG
당선됐기	당선되/VV+었/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

검찰은	검찰/NNG+은/JX
조만간	조만간/MAG
최	최/NNP
의원과	의원/NNG+과/JC
장	장/NNP
전	전/MM
의원을	의원/NNG+을/JKO
잇달아	잇달/VV+아/EC
피의자	피의자/NNG
신분으로	신분/NNG+으로/JKB
소환해	소환하/VV+여/EC
강도	강도/NNG
높은	높/VA+은/ETM
조사를	조사/NNG+를/JKO
벌일	벌이/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

youngkyu@yna	youngkyu/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
