“박근혜,	“/SL+박근혜/NNP+,/SP
발달장애인법	발달장애인법/NNG
제정	제정/NNG
동참”	동참”/NNG

“박근혜	“/SL+박근혜/NNP
후보도	후보/NNG+도/JX
발달장애인에	발달장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
많으니	많/VA+으니/EC
확실하게	확실하/VA+게/EC
법	법/NNG
제정을	제정/NNG+을/JKO
약속한다	약속하/VV+ㄴ다/EF

”새누리당	”/SL+새누리당/NNP
박근혜	박근혜/NNP
대통령후보	대통령후보/NNG
중앙선거대책위원회	중앙선거대책위원회/NNG
특보단	특보/NNG+단/XSN
이주영	이주영/NNP
단장은	단장/NNG+은/JX
23일	23/SN+일/NNB
새누리당	새누리당/NNP
중앙당사에서	중앙당사/NNG+에서/JKB
발달애인법제정추진연대(이하	발달애인법제정추진연대/NNG+(/SS+이하/NNG
발제련)과	발제련/NNP+)/SS+과/JC
‘발달장애인	‘/SN+발달장애인/NNG
매니페스토	매니페스토/NNG
정책	정책/NNG
협약식’	협약/NNG+식/XSN+’/SL
에	에/JKB
참석해	참석하/VV+여/EC
이	이/NP
같이	같이/MAG
밝혔다	밝히/VV+었/EP+다/EC

이주영	이주영/NNP
단장은	단장/NNG+은/JX
“우리사회에서	“/SN+우리/NP+사회/NNG+에서/JKB
발달장애인을	발달장애인/NNG+을/JKO
둔	두/VV+ㄴ/ETM
부모나	부모/NNG+나/JC
가정은	가정/NNG+은/JX
많은	많/VA+은/ETM
고통을	고통/NNG+을/JKO
받고	받/VV+고/EC
있고,	있/VX+고/EC+,/SP
그	그/MM
아픔은	아픔/NNG+은/JX
실제	실제/NNG
받지	받/VV+지/EC
않으면	않/VX+으면/EC
알지	알/VV+지/EC
못한다”면서	못하/VX+ㄴ다”면서/EC
“총선	“/SL+총선/NNG
이후	이후/NNG
여러	여러/MM
가지	가지/NNB
공약을	공약/NNG+을/JKO
실천하는	실천하/VV+는/ETM
과정에서	과정/NNG+에서/JKB
정부가	정부/NNG+가/JKS
반드시	반드시/MAG
지킬	지키/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하기	하/VX+기/ETN
위해	위하/VV+여/EC
발달장애인법을	발달장애인법/NNG+을/JKO
만들어	만들/VV+어/EC
김정록	김정록/NNP
의원이	의원/NNG+이/JKS
19대	19/SN+대/NNB
국회	국회/NNG
1호	1/SN+호/NNB
법안으로	법안/NNG+으로/JKB
발의했다	발의하/VV+였/EP+다/EF

때문에	때문/NNB+에/JKB
지금	지금/MAG
당에서는	당/NNG+에서/JKB+는/JX
법안에	법안/NNG+에/JKB
대해	대하/VV+여/EC
의지를	의지/NNG+를/JKO
강하게	강하/VA+게/EC
갖고	갖/VV+고/EC
있고,	있/VX+고/EC+,/SP
꼭	꼭/MAG
관철시켜야	관철/NNG+시키/XSV+어야/EC
겠다는	하/VX+겠/EP+다는/ETM
생각을	생각/NNG+을/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

김정록	김정록/NNP
의원이	의원/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
대표발의한	대표/NNG+발의하/VV+ㄴ/ETM
‘발달장애인	‘/SL+발달장애인/NNG
지원	지원/NNG
권리보장에	권리보장/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률안(이하	법률안/NNG+(/SS+이하/NNG
발달장애인법)’에는	발달장애인법/NNG+)/SS+’/SL+에/JKB+는/JX
발달장애인	발달장애인/NNG
개인별	개인별/NNG
맞춤별	맞춤/NNG+별/XSN
지원시스템,	지원시스템/NNG+,/SP
발달장애	발달장애/NNG
서비스	서비스/NNG
업무를	업무/NNG+를/JKO
통합관리·지원하는	통합관리/NNG+·/SP+지원하/VV+는/ETM
원스톱지원체계의	원스톱지원체계/NNG+의/JKG
근거가	근거/NNG+가/JKS
들어있다	들/VV+어/EC+있/VX+다/EC

또한	또한/MAG
발달장애인의	발달장애인/NNG+의/JKG
자유권	자유/NNG+권/XSN
및	및/MAG
사회권에	사회권/NNG+에/JKB
대해	대하/VV+여/EC
구체적으로	구체적/NNG+으로/JKB
명시하고,	명시하/VV+고/EC+,/SP
인권침해	인권침해/NNG
예방	예방/NNG
및	및/MAG
권리구제를	권리구제/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
권리옹호시스템	권리옹호시스템/NNG
구축	구축/NNG
등도	등/NNB+도/JX
담겨있다	담기/VV+어/EC+있/VX+다/EC

현재	현재/MAG
이	이/MM
법안은	법안/NNG+은/JX
보건복지위원회	보건복지위원회/NNG
법안심사소위원회에	법안심사소위원회/NNG+에/JKB
계류중인	계류/NNG+중/NNB+이/VCP+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

이	이/NNP
단장은	단장/NNG+은/JX
“발달장애인법을	“/SN+발달장애인법/NNG+을/JKO
제정	제정/NNG
해야	하/VV+여야/EC
되는데	되/VV+는데/EC
재정적으로	재정적/NNG+으로/JKB
부담이	부담/NNG+이/JKS
많이	많이/MAG
따라서	따라서/MAJ
한	한/MM
번에	번/NNB+에/JKB
하기에는	하/VV+기/ETN+에/JKB+는/JX
정부로써	정부/NNG+로써/JKB
부담이	부담/NNG+이/JKS
많다”면서도	많/VA+다”면서/EC+도/JX
“(현재	“/SL+(/SS+현재/MAG
당에서도)	당/NNG+에서/JKB+도/JX+)/SS
‘어떻게	‘어떻/VA+게/EC
해	하/VV+여/EC
나가야	나가/VX+아야/EC
될까’	되/VV+ㄹ까/EC+’/JX
하는	하/VV+는/ETM
