10월	10/SN+월/NNB
세계	세계/NNG
장애인의	장애인/NNG+의/JKG
이목	이목/NNG
인천으로	인천/NNP+으로/JKB

2012인천세계장애대회(이하	2012/SN+인천세계장애대회/NNG+(/SS+이하/NNG
세계장애대회)가	세계장애대회/NNG+)/SS+가/JKS
오는	오/VV+는/ETM
24일부터	24/SN+일/NNB+부터/JX
내달	내달/NNG
2일까지	2/SN+일/NNB+까지/JX
10일간	10/SN+일/NNB+간/XSN
인천	인천/NNP
송도	송도/NNP
컨벤시아에서	컨벤시아/NNP+에서/JKB
열린다	열리/VV+ㄴ다/EF

세계장애대회는	세계장애대회/NNG+는/JX
제3차	제/XPN+3/SN+차/NNB
아태장애인	아태장애인/NNG
10년(2013~2022)이	10/SN+년/NNB+(/SS+2013/SN+~/SO+2022/SN+)/SS+이/JKS
다가옴에	다가오/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
국제적	국제적/NNG
장애이슈	장애이슈/NNG
해결을	해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공동협력과	공동협력/NNG+과/JC
의사소통의	의사소통/NNG+의/JKG
장	장/NNG
마련,	마련/NNG+,/SP
장애관련	장애관련/NNG
국제동향	국제동향/NNG
및	및/MAG
이슈	이슈/NNG
공유로	공유/NNG+로/JKB
국제적	국제적/NNG
공감대	공감대/NNG
형성과	형성/NNG+과/JC
사회통합을	사회통합/NNG+을/JKO
이루기	이루/VV+기/ETN
위한	위하/VV+ㄴ/ETM
자리다	자리/NNG+이/VCP+다/EF

이를	이/NP+를/JKO
위해	위하/VV+여/EC
국내외	국내외/NNG
장애관련	장애관련/NNG
전문가와	전문가/NNG+와/JC
장애인당사자	장애인당사자/NNG
등	등/NNB
3,000여명이	3,000/SN+여/XSN+명/NNB+이/JKS
이번	이번/NNG
세계장애대회에	세계장애대회/NNG+에/JKB
참가할	참가하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

특히	특히/MAG
세계장애대회는	세계장애대회/NNG+는/JX
정부행사인	정부행사/NNG+이/VCP+ㄴ/ETM
'유엔에스캅(UNESCAP:	'/SS+유엔에스캅/NNP+(/SS+UNESCAP/SL+:/SP
아태경제사회위원회)정부간고위급회의'와	아태경제사회위원회/NNG+)/SS+정부간고위급회의/NNG+'/SS+와/JC
3개	3/SN+개/NNB
민간단체가	민간단체/NNG+가/JKS
추진하는	추진하/VV+는/ETM
