검찰,	검찰/NNG+,/SP
최동익·장향숙	최동익/NNG+·/SP+장향숙/NNP
자택	자택/NNG
전격	전격/NNG
압수수색	압수수색/NNG

민주통합당	민주통합당/NNP
공천로비	공천로비/NNG
의혹을	의혹/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
부산지검	부산/NNP+지검/NNG
공안부는	공안부/NNG+는/JX
20일	20/SN+일/NNB
민주당	민주당/NNP
최동익	최동익/NNP
의원(비례대표)의	의원/NNG+(/SS+비례대표/NNG+)/SS+의/JKG
서울	서울/NNP
동작구	동작구/NNP
상도동	상도동/NNP
자택과	자택/NNG+과/JC
사무실을	사무실/NNG+을/JKO
전격	전격/NNG
압수수색했다	압수수색/NNG+하/XSV+였/EP+다/EF

검찰은	검찰/NNG+은/JX
또한	또한/MAG
민주당	민주당/NNP
장향숙	장향숙/NNP
전의원의	전/MM+의원/NNG+의/JKG
부산	부산/NNP
금정구	금정구/NNP
장전동	장전동/NNP
자택과	자택/NNG+과/JC
서울의	서울/NNP+의/JKG
모	모/MM
장애인단체	장애인단체/NNG
사무실	사무실/NNG
등도	등/NNB+도/JX
압수수색했다	압수수색하/VV+였/EP+다/EF

선관위는	선관위/NNG+는/JX
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
4·11총선에서	4/SN+·/SP+11/SN+총선/NNG+에서/JKB
비례대표	비례대표/NNG
후보자	후보자/NNG
추천과	추천/NNG+과/JC
관련해	관련하/VV+여/EC
수천만원의	수천만/NR+원/NNB+의/JKG
금품을	금품/NNG+을/JKO
제공받은	제공/NNG+받/VV+은/ETM
혐의(공직선거법	혐의/NNG+(/SS+공직선거법/NNG
위반)로	위반/NNG+)/SS+로/JKB
장	장/NNP
전의원을	전/MM+의원/NNG+을/JKO
대검에	대검/NNG+에/JKB
고발한	고발하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF

하지만	하지만/MAJ
민주당	민주당/NNP
김현	김현/NNP
대변인은	대변인/NNG+은/JX
장	장/NNP
전의원이	전/MM+의원/NNG+이/JKS
고발된	고발되/VV+ㄴ/ETM
이후	이후/NNG
브리핑을	브리핑/NNG+을/JKO
열어	열/VV+어/EC
'사실이	'/SS+사실/NNG+이/JKC
아니다'라고	아니/VCN+다/EF+'/SS+라고/JKQ
밝혔다	밝히/VV+었/EP+다/EC
