정부,	정부/NNG+,/SP
성범죄에	성범죄/NNG+에/JKB
`무관용'	`/SW+무관/NNG+용/XSN+'/SS
원칙..처벌	원칙/NNG+../SF+처벌/NNG
확대	확대/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
안용수	안용수/NNP
차병섭	차병섭/NNP
기자	기자/NNG
=	=/SW
정부가	정부/NNG+가/JKS
전남	전남/NNP
나주	나주/NNP
여아	여아/NNG
성폭행	성폭행/NNG
사건을	사건/NNG+을/JKO
계기로	계기/NNG+로/JKB
성범죄에	성범죄/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
`무관용'	`/SW+무관/NNG+용/XSN+'/SS
원칙을	원칙/NNG+을/JKO
적용해	적용하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
방침인	방침/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

이는	이/NP+는/JX
하루가	하루/NNG+가/JKS
멀다고	멀/VA+다고/EC
발생하는	발생하/VV+는/ETM
성폭행	성폭행/NNG
사건을	사건/NNG+을/JKO
예방하고,	예방하/VV+고/EC+,/SP
특히	특히/MAG
어린이나	어린이/NNG+나/JC
장애인	장애인/NNG
등	등/NNB
사회적	사회적/NNG
약자를	약자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
성범죄자에	성범죄자/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
예외	예외/NNG
없이	없이/MAG
강력한	강력하/VA+ㄴ/ETM
처벌을	처벌/NNG+을/JKO
해야	하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
국민들의	국민/NNG+들/XSN+의/JKG
요구를	요구/NNG+를/JKO
감안한데	감안하/VV+ㄴ/ETM+데/NNB
따른	따르/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

청와대	청와대/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
4일	4/SN+일/NNB
연합뉴스와의	연합뉴스/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
"최근	"/SS+최근/NNG
잇따른	잇따르/VV+ㄴ/ETM
