공동행동,	공동행동/NNG+,/SP
‘기초법	‘/SL+기초법/NNG
개정청원안’	개정청원안/NNG+’/SN
국회제출	국회제출/NNG

장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지	폐지/NNG
공동행동(이하	공동행동/NNG+(/SS+이하/NNG
공동행동)이	공동행동/NNG+)/SS+이/JKS
6일	6/SN+일/NNB
오후	오후/NNG
여의도	여의도/NNP
국민은행	국민은행/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
뒤	뒤/NNG
통합진보당	통합진보당/NNP
박원석	박원석/NNP
의원과	의원/NNG+과/JKB
함께	함께/MAG
‘국민기초생활보장법	‘/SL+국민기초생활보장법/NNG
개정	개정/NNG
청원안(이하	청원안/NNG+(/SS+이하/NNG
청원안)’을	청원안/NNG+)/SS+’/SL+을/JKO
국회에	국회/NNG+에/JKB
제출했다	제출하/VV+였/EP+다/EC

공동행동은	공동행동/NNG+은/JX
“복지부가	“/SL+복지부/NNG+가/JKS
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지에	폐지/NNG+에/JKB
의지가	의지/NNG+가/JKS
없고	없/VA+고/EC
국회는	국회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
18대에	18/SN+대/NNB+에/JKB
기초법	기초법/NNG
개정안을	개정안/NNG+을/JKO
발의하고도	발의하/VV+고도/EC
한	한/MM
차례	차례/NNG
논의	논의/NNG
없이	없이/MAG
무산시켜	무산/NNG+시키/XSV+어/EC
그	그/MM
결과	결과/NNG
기초수급자는	기초수급/NNG+자/XSN+는/JX
160만명에서	160/SN+만/NR+명/NNB+에서/JKB
144만명으로	144/SN+만/NR+명/NNB+으로/JKB
떨어져	떨어지/VV+어/EC
더	더/MAG
큰	크/VA+ㄴ/ETM
사각지대를	사각지대/NNG+를/JKO
낳게	낳/VV+게/EC
됐고,	되/VV+었/EP+고/EC+,/SP
부양의무자	부양의무자/NNG
기준으로	기준/NNG+으로/JKB
인해	인하/VV+여/EC
수급	수급/NNG
자격을	자격/NNG+을/JKO
얻지	얻/VV+지/EC
못하거나	못하/VX+거나/EC
박탈당한	박탈/NNG+당하/XSV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
매년	매년/MAG
목숨을	목숨/NNG+을/JKO
잃고	잃/VV+고/EC
있다”며	있/VX+다/EC+”/VX+며/EC
그	그/MM
배경을	배경/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

청원안에는	청원안/NNG+에/JKB+는/JX
독소조항으로	독소조항/NNG+으로/JKB
불리는	불리/VV+는/ETM
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지,	폐지/NNG+,/SP
상대빈곤선	상대빈곤선/NNG
도입에	도입/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
최저생계비	최저생계비/NNG
현실화,	현실화/NNG+,/SP
재산	재산/NNG
및	및/MAG
소득환산제의	소득환산제/NNG+의/JKG
비합리성	비합리성/NNG
개선,	개선/NNG+,/SP
차상위계층	차상위계층/NNG
재정의	재정/NNG+의/JKG
및	및/MAG
개별급여	개별급여/NNG
지원	지원/NNG
강화가	강화/NNG+가/JKS
담겨	담기/VV+어/EC
있다	있/VX+다/EF

또한	또한/MAG
강제근로를	강제근로/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
조건부	조건부/NNG
수급	수급/NNG
폐지	폐지/NNG
및	및/MAG
개인	개인/NNG
특성에	특성/NNG+에/JKB
맞는	맞/VV+는/ETM
자활지원서비스	자활지원서비스/NNG
제공을	제공/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
빈곤	빈곤/NNG
개선지원	개선지원/NNG
중앙생활보장위원회	중앙생활보장위원회/NNG
수급자	수급/NNG+자/XSN
직접	직접/MAG
참여보장	참여보장/NNG
및	및/MAG
수급자	수급/NNG+자/XSN
권리보장	권리보장/NNG
강화가	강화/NNG+가/JKS
포함돼	포함되/VV+어/EC
있다	있/VX+다/EF

한편	한편/MAG
박원석	박원석/NNP
의원은	의원/NNG+은/JX
청원안	청원안/NNG
제출에	제출/NNG+에/JKB
앞서	앞서/VV+어/EC
열린	열리/VV+ㄴ/ETM
기자회견에서	기자회견/NNG+에서/JKB
“기초법의	“/SN+기초법/NNG+의/JKG
부양의무자	부양의무자/NNG
기준은	기준/NNG+은/JX
‘독소조항’으로	‘/SL+독소조항/NNG+’/SL+으로/JKB
기본적인	기본적/NNG+이/VCP+ㄴ/ETM
사회안전망은	사회안전망/NNG+은/JX
지켜져야	지키/VV+어/EC+지/VX+어야/EC
한다”며	하/VX+ㄴ다”며/EC
“올해	“/SN+올해/NNG
정기국회	정기국회/NNG
내에서	내/NNB+에서/JKB
청원안이	청원안/NNG+이/JKS
심사되고,	심사되/VV+고/EC+,/SP
현재	현재/MAG
국회에	국회/NNG+에/JKB
발의된	발의되/VV+ㄴ/ETM
기초법	기초법/NNG
개정안이	개정안/NNG+이/JKS
국회를	국회/NNG+를/JKO
통과할	통과하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력할	노력하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
약속했다	약속하/VV+었/EP+다/EC

현재	현재/MAG
국회에는	국회/NNG+에/JKB+는/JX
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지	폐지/NNG
등이	등/NNB+이/JKS
담긴	담기/VV+ㄴ/ETM
다수의	다수/NNG+의/JKG
기초법	기초법/NNG
개정안이	개정안/NNG+이/JKS
발의된	발의되/VV+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지	폐지/NNG
공동행동이	공동행동/NNG+이/JKS
6일	6/SN+일/NNB
오후	오후/NNG
여의도	여의도/NNP
국민은행	국민은행/NNP
앞에서	앞/NNG+에서/JKB
국민기초생활보장법	국민기초생활보장법/NNG
개정	개정/NNG
청원안’	청원안/NNG+’/SN
국회제출에	국회제출/NNG+에/JKB
앞서	앞서/VV+어/EC
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
있다	있/VX+다/EC
