장총련,	장총련/NNP+,/SP
대선연대	대선연대/NNG
없이	없이/MAG
독자노선	독자노선/NNG
선택	선택/NNG

한국장애인단체총연합회(이하	한국장애인단체총연합회/NNP+(/SS+이하/NNG
장총련)가	장총련/NNP+)/SS+가/JKS
2012장애인대선연대(이하	2012/SN+장/NNB+애인대선연대/NNG+(/SS+이하/NNG
대선연대)를	대선연대/NNG+)/SS+를/JKO
꾸리지	꾸리/VV+지/EC
않고	않/VX+고/EC
독자적	독자적/NNG
노선을	노선/NNG+을/JKO
선택,	선택/NNG+,/SP
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대선공약	대선공약/NNG
개발	개발/NNG
작업에	작업/NNG+에/JKB
들어갔다	들어가/VV+았/EP+다/EC

장총련과	장총련/NNP+과/JC
장총련	장총련/NNP
회원단체는	회원단체/NNG+는/JX
10일	10/SN+일/NNB
이룸센터	이룸센터/NNG
다목적회의실에서	다목적회의실/NNG+에서/JKB
‘18대	‘18/SN+대/NNG
대선공약	대선공약/NNG
및	및/MAG
향후	향후/NNG
활동	활동/NNG
계획’을	계획’/NNG+을/JKO
취합하기	취합하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
‘(가)제18대	‘/SL+(/SS+가/IC+)/SS+제/XPN+18/SN+대/NNG
대선공약	대선공약/NNG
장애인정책	장애인정책/NNG
기획회의’를	기획회의’/NNG+를/JKO
개최했다	개최하/VV+였/EP+다/EC

2012장애인총선연대(이하	2012/SN+장/NNB+애인총선연대/NNG+(/SS+이하/NNG
총선연대)의	총선연대/NNG+)/SS+의/JKG
한축인	한축/NNG+이/VCP+ㄴ/ETM
장총련이	장총련/NNP+이/JKS
한국장애인단체총연맹(이하	한국/NNP+장애인/NNG+단/XSN+체/SS+총/XPN+연맹/NNG+(/SS+이하/NNG
장총)과의	장총/NNP+)/SS+과/JKB+의/JKG
대선연대	대선연대/NNG
구성을	구성/NNG+을/JKO
뒤로한	뒤로하/VV+ㄴ/ETM
채	채/NNB
독자적	독자적/NNG
노선을	노선/NNG+을/JKO
걷기로	걷/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것	것/NNB

장총련은	장총련/NNP+은/JX
2012장애인총선연대(이하	2012/SN+장/NNB+애인총선연대/NNG+(/SS+이하/NNG
총선연대)	총선연대/NNG+)/SS
당시의	당시/NNG+의/JKG
실망과	실망/NNG+과/JC
시간의	시간/NNG+의/JKG
촉박함을	촉박하/VA+ㅁ/ETN+을/JKO
고려해	고려하/VV+여/EC
대선연대	대선연대/NNG
내부적으로	내부적/NNG+으로/JKB
대선공약을	대선공약/NNG+을/JKO
개발,	개발/NNG+,/SP
대선후보들이	대선후보/NNG+들/XSN+이/JKS
공약화	공약/NNG+화/XSN
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
촉구한다는	촉구하/VV+ㄴ다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

장총련과	장총련/NNP+과/JC
장총은	장총/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1월,	1/SN+월/NNB+,/SP
4·11총선을	4/SN+·/SP+11/SN+총선/NNG+을/JKO
앞두고	앞두/VV+고/EC
‘장애계	‘/SN+장애/NNG+계/XSN
10대	10/SN+대/NNG
공약	공약/NNG
정당	정당/NNG
수용	수용/NNG
요구’,	요구/NNG+’/SL+,/SP
‘장애계	‘/SN+장애/NNB+계/XSN
비례대표	비례대표/NNG
후보	후보/NNG
각	각/MM
정당	정당/NNG
추천’,	추천/NNG+’/SL+,/SP
‘장애인	‘/SL+장애인/NNG
참정권	참정권/NNG
보장’을	보장/NNG+’/SL+을/JKO
목표로	목표/NNG+로/JKB
총선연대를	총선연대/NNG+를/JKO
구성했다	구성하/VV+였/EP+다/EF

하지만	하지만/MAJ
비례대표	비례대표/NNG
추천	추천/NNG
후보를	후보/NNG+를/JKO
선출하는	선출하/VV+는/ETM
과정에서	과정/NNG+에서/JKB
당시	당시/NNG
장총련	장총련/NNP
김정록	김정록/NNP
상임대표와	상임대표/NNG+와/JC
장총	장총/NNP
최동익	최동익/NNP
상임대표가	상임대표/NNG+가/JKS
독자적으로	독자적/NNG+으로/JKB
새누리당과	새누리당/NNP+과/JC
민주통합당에	민주통합당/NNP+에/JKB
비례대표	비례대표/NNG
후보를	후보/NNG+를/JKO
신청한	신청하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
알려지면서	알려지/VV+면서/EC
논란이	논란/NNG+이/JKC
됐고	되/VV+었/EP+고/EC
이후	이후/NNG
총선연대는	총선연대/NNG+는/JX
사실상	사실상/NNG
와해됐다	와해되/VV+었/EP+다/EC

이날	이날/NNG
장총련은	장총련/NNP+은/JX
현황과	현황/NNG+과/JC
문제점,	문제점/NNG+,/SP
대중성,	대중성/NNG+,/SP
실효성,	실효성/NNG+,/SP
효과성	효과성/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
대선공약을	대선공약/NNG+을/JKO
개발하기로	개발하/VV+기/ETN+로/JKB
하고	하/VV+고/EC
우선	우선/MAG
일자리	일자리/NNG
소득보장	소득보장/NNG
이동권	이동/NNG+권/XSN
건강권	건강/NNG+권/XSN
등	등/NNB
15개	15/SN+개/NNB
대범주	대범주/NNG
내에서	내/NNB+에서/JKB
세부적인	세부적/NNG+이/VCP+ㄴ/ETM
공약을	공약/NNG+을/JKO
단체별로	단체/NNG+별/XSN+로/JKB
나눠	나누/VV+어/EC
준비키로	준비하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

이어	이어/MAG
장총련은	장총련/NNP+은/JX
오는	오/VV+는/ETM
20일까지	20/SN+일/NNB+까지/JX
단체별로	단체/NNG+별/XSN+로/JKB
마련될	마련되/VV+ㄹ/ETM
분야별	분야/NNG+별/XSN
세부공약을	세부공약/NNG+을/JKO
취합,	취합/NNG+,/SP
11월	11/SN+월/NNB
3일과	3/SN+일/NNB+과/JC
4일	4/SN+일/NNB
이틀에	이틀/NNG+에/JKB
거쳐	거치/VV+어/EC
대선공약을	대선공약/NNG+을/JKO
마련키로	마련하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

이후	이후/NNG
11월	11/SN+월/NNB
중순께는	중순께/NNG+는/JX
정당	정당/NNG
간담회를	간담회/NNG+를/JKO
통해	통하/VV+여/EC
발표하고	발표하/VV+고/EC
수용을	수용/NNG+을/JKO
촉구한다는	촉구하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

장총련	장총련/NNP
서인환	서인환/NNP
사무총장은	사무총장/NNG+은/JX
“총선연대	“/SN+총선연대/NNG
당시	당시/NNG
장애계	장애/NNG+계/XSN
10대	10/SN+대/NNG
공약은	공약/NNG+은/JX
당	당/NNG
차원의	차원/NNG+의/JKG
공약으로	공약/NNG+으로/JKB
끝날	끝나/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다는	있/VA+다는/ETM
판단에	판단/NNG+에/JKB
따라	따르/VV+아/EC
대선을	대선/NNG+을/JKO
겨냥한	겨냥하/VV+ㄴ/ETM
공약을	공약/NNG+을/JKO
다시	다시/MAG
개발하기로	개발하/VV+기/ETN+로/JKB
했다”고	하/VV+였/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC
