최동익,	최동익/NNG+,/SP
“장애인복지사업	“/SN+장애인복지사업/NNG
중앙	중앙/NNG
환원”	환원/NNG+”/SN
주문	주문/NNG

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
최동익(민주통합당)	최동익/NNP+(/SS+민주통합당/NNP+)/SS
의원은	의원/NNG+은/JX
8일	8/SN+일/NNB
보건복지부	보건복지부/NNG
국정감사에서	국정감사/NNG+에서/JKB
지난	지나/VV+ㄴ/ETM
2005년	2005/SN+년/NNB
지방으로	지방/NNG+으로/JKB
이양된	이양되/VV+ㄴ/ETM
장애인복지사업에	장애인복지사업/NNG+에/JKB
대해서	대하/VV+여서/EC
실질적으로	실질적/NNG+으로/JKB
문제가	문제/NNG+가/JKS
많다면서	많/VA+다면서/EC
다시	다시/MAG
중앙으로	중앙/NNG+으로/JKB
환원할	환원하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
주문했다	주문하/VV+였/EP+다/EF

최동익	최동익/NNP
의원은	의원/NNG+은/JX
“장애인복지예산이	“/SL+장애인복지예산/NNG+이/JKS
지방으로	지방/NNG+으로/JKB
이양	이양/NNG
된	되/VV+ㄴ/ETM
후	후/NNG
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
문제가	문제/NNG+가/JKS
많다고	많/VA+다고/EC
알고	알/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“이번	“/SL+이번/NNG
대선	대선/NNG
후보들이	후보/NNG+들/XSN+이/JKS
예산이	예산/NNG+이/JKS
지방으로	지방/NNG+으로/JKB
이양된	이양되/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
장애인복지나	장애인복지/NNG+나/JC
사회복지에	사회복지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공약을	공약/NNG+을/JKO
내놓고	내놓/VV+고/EC
있어	있/VX+어/EC
장애인기관이나	장애인기관/NNG+이나/JC
장애인	장애인/NNG
복지를	복지/NNG+를/JKO
하는	하/VV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
현재	현재/MAG
박탈감에	박탈감/NNG+에/JKB
빠져있다”고	빠지/VV+어/EC+있/VX+다/EC+”/VX+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
증인으로	증인/NNG+으로/JKB
출석한	출석하/VV+ㄴ/ETM
정진모	정진모/NNP
한우리정보문화센터	한우리정보문화센터/NNP
관장도	관장/NNG+도/JX
장애인복지	장애인복지/NNG
현장에서	현장/NNG+에서/JKB
장애인복지사업	장애인복지사업/NNG
이양에	이양/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
문제점을	문제점/NNG+을/JKO
설명하며,	설명하/VV+며/EC+,/SP
중앙으로의	중앙/NNG+으로/JKB+의/JKG
환원을	환원/NNG+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

정	정/NNP
관장은	관장/NNG+은/JX
“복지	“/SN+복지/NNG
정책은	정책/NNG+은/JX
누구에게,	누구/NP+에게/JKB+,/SP
무엇을,	무엇/NP+을/JKO+,/SP
어떻게,	어떻/VA+게/EC+,/SP
예산	예산/NNG
마련을	마련/NNG+을/JKO
해주냐에	하/VV+여/EC+주/VX+냐/EC+에/JKB
따라	따르/VV+아/EC
달라진다고	달라지/VV+ㄴ다고/EC
생각한다	생각하/VV+ㄴ다/EF

복지부에서	복지부/NNG+에서/JKB
장애인복지에	장애인복지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전반적인	전반적/NNG+이/VCP+ㄴ/ETM
실태조사도	실태조사/NNG+도/JX
했었는데	하/VX+였었/EP+는데/EC
예산을	예산/NNG+을/JKO
지자체로	지자체/NNG+로/JKB
이양하는	이양하/VV+는/ETM
바람에	바람/NNB+에/JKB
(현재)	(/SS+현재/NNG+)/SS
일괄성있는	일괄성/NNG+있/VA+는/ETM
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
복지	복지/NNG
정책이	정책/NNG+이/JKS
이뤄지지	이루어지/VV+지/EC
않고	않/VX+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“지자체가	“/SL+지자체/NNG+가/JKS
장애인	장애인/NNG
관련	관련/NNG
시설을	시설/NNG+을/JKO
만드는	만들/VV+는/ETM
것도	것/NNB+도/JX
꺼려하고	꺼리/VV+어/EC+하/VV+고/EC
있고,	있/VX+고/EC+,/SP
연기까지	연기/NNG+까지/JX
하는	하/VV+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
전했다	전하/VV+었/EP+다/EC

더불어	더불/VV+어/EC
정	정/NNP
관장은	관장/NNG+은/JX
“복지부에서	“/SL+복지부/NNG+에서/JKB
장애인복지의	장애인복지/NNG+의/JKG
정책을	정책/NNG+을/JKO
새롭게	새롭/VA+게/EC
다듬을	다듬/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
장애인복지사업의	장애인복지사업/NNG+의/JKG
예산을	예산/NNG+을/JKO
다시	다시/MAG
정부로	정부/NNG+로/JKB
가져	가지/VV+어/EC
갔으면	가/VV+았/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
