내년	내년/NNG
활동지원예산	활동지원예산/NNG
올해대비	올해대비/NNG
50%	50/SN+%/SW
증액	증액/NNG

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
예산결산심사소위원회가	예산결산심사소위원회/NNG+가/JKS
20일	20/SN+일/NNB
만장일치로	만장일치/NNG+로/JKB
장애인활동지원제도	장애인활동지원제/NNG+도/JX
예산을	예산/NNG+을/JKO
올해년도	올해년도/NNG
보다	보다/MAG
50%(1500억원	50/SN+%/SW+(/SS+1500/SN+억/NR+원/NNB
가량)	가량/XSN+)/SS
증액하기로	증액하/VV+기/ETN+로/JKB
결정했다	결정하/VV+였/EP+다/EC

예산결산심사소위는	예산결산심사소위/NNG+는/JX
이중	이/MM+중/NNB
815억원은	815/SN+억/NR+원/NNB+은/JX
최중증독거장애인의	최중증독거장애인/NNG+의/JKG
하루	하루/NNG
24시간	24/SN+시간/NNB
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
사용하기로	사용하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EF

이는	이/NP+는/JX
최근	최근/NNG
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
혼자서	혼자/NNG+서/JKS
집안에	집안/NNG+에/JKB
머물다	머물/VV+다/EC
화재	화재/NNG
등으로	등/NNB+으로/JKB
참사를	참사/NNG+를/JKO
당한데	당하/VV+ㄴ/ETM+데/NNB
따른	따르/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

하지만	하지만/MAJ
이번	이번/NNG
복지위의	복지위/NNG+의/JKG
결정은	결정/NNG+은/JX
보건복지부의	보건복지부/NNG+의/JKG
반대에도	반대/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
진행	진행/NNG
된	되/VV+ㄴ/ETM
것이라	것/NNB+이/VCP+라/EC
본회의에서	본회의/NNG+에서/JKB
삭감될	삭감되/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
커	크/VA+어/EC
보인다	보일/VV+ㄴ다/EF

올해	올해/NNG
정부가	정부/NNG+가/JKS
국회에	국회/NNG+에/JKB
제출한	제출하/VV+ㄴ/ETM
내년도	내년도/NNG
예산안에는	예산안/NNG+에/JKB+는/JX
장애인활동지원제도	장애인활동지원제도/NNG
예산이	예산/NNG+이/JKS
3214억원으로	3214/SN+억/NR+원/NNB+으로/JKB
올해	올해/NNG
예산(3099억원)에	예산/NNG+(/SS+3099/SN+억/NR+원/NNB+)/SS+에/JKB
비해	비하/VV+여/EC
3	3/SN

7%	7/SN+%/SW
인상에	인상/NNG+에/JKB
그쳤다	그치/VV+었/EP+다/EC

특히	특히/MAG
보건복지부	보건복지부/NNG
등은	등/NNB+은/JX
긴급을	긴급/NNG+을/JKO
요하는	요하/VV+는/ETM
최중증독거장애인	최중증독거장애인/NNG
24시간	24/SN+시간/NNB
보장도	보장/NNG+도/JX
119를	119/SN+를/JKO
연결하는	연결하/VV+는/ETM
방식으로	방식/NNG+으로/JKB
대응하겠다는	대응하/VV+겠/EP+다는/ETM
입장인	입장/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
남병준	남병준/NNG
정책실장은	정책실장/NNG+은/JX
“여야	“/SN+여/XSN+야/NNG
의원들이	의원/NNG+들/XSN+이/JKS
만장일치로	만장일치/NNG+로/JKB
예산증액을	예산증액/NNG+을/JKO
결정했지만	결정하/VV+였/EP+지만/EC
정부가	정부/NNG+가/JKS
완강히	완강히/MAG
반대하고	반대하/VV+고/EC
있어	있/VX+어/EC
본회의	본회의/NNG
등에서	등/NNB+에서/JKB
난항이	난항/NNG+이/JKS
예상된다”고	예상되/VV+ㄴ다/EC+”/VX+고/EC
언급했다	언급하/VV+였/EP+다/EF

이에	이/NP+에/JKB
장애인단체들은	장애인단체/NNG+들/XSN+은/JX
오는	오/VV+는/ETM
21일	21/SN+일/NNB
활동지원제도	활동지원제도/NNG
예산증액에	예산증액/NNG+에/JKB
반대하고	반대하/VV+고/EC
있는	있/VX+는/ETM
복지부	복지부/NNG
규탄대회를	규탄대회/NNG+를/JKO
갖는다는	갖/VV+는다는/ETM
계획이다	계획/NNG+이/VCP+다/EC
