서울시	서울시/NNP
저상버스	저상버스/NNG
예산불용	예산불용/NNG
'사실로'	'/SS+사실/NNG+로/JKB+'/SS

지난해	지난해/NNG
서울시가	서울시/NNP+가/JKS
저상버스	저상버스/NNG
예산을	예산/NNG+을/JKO
불용했다는	불용하/VV+였/EP+다는/ETM
주장이	주장/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
가운데	가운데/NNG
'사실'인	'/SS+사실/NNG+'/SS+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러나	드러나/VV+아/EC
충격을	충격/NNG+을/JKO
주고	주/VV+고/EC
있다	있/VX+다/EC

새누리당	새누리당/NNP
심재철(안양동안을,	심재철/NNP+(/SS+안양동안/NNP+을/JKO+,/SP
국토해양위)의원이	국토해양위/NNP+)/SS+의원/NNG+이/JKS
국토해양위원회로부터	국토해양위원회/NNP+로부터/JKB
받은	받/VV+은/ETM
‘2011년	‘/SL+2011/SN+년/NNB
결산검토보고서’에	결산검토보고서/NNG+’/SL+에/JKB
따르면	따르/VV+면/EC
서울시가	서울시/NNP+가/JKS
지난해	지난해/NNG
총	총/MM
370대의	370/SN+대/NNB+의/JKG
저상버스를	저상버스/NNG+를/JKO
도입하기	도입하/VV+기/ETN
위해	위하/VV+여/EC
국토해양부로부터	국토해양부/NNP+로부터/JKB
예산을	예산/NNG+을/JKO
지원받았지만,	지원/NNG+받/VV+았/EP+지만/EC+,/SP
199대의	199/SN+대/NNB+의/JKG
저상버스만을	저상버스/NNG+만/JX+을/JKO
도입한	도입하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다	밝혀지/VV+었/EP+다/EF

또한	또한/MAG
이	이/MM
과정에서	과정/NNG+에서/JKB
‘보조금	‘/SN+보조금/NNG
관리에	관리/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’을	법률/NNG+’/SL+을/JKO
위반하며	위반하/VV+며/EC
국토부와	국토부/NNG+와/JC
사전	사전/NNG
협의	협의/NNG
없이	없이/MAG
저상버스	저상버스/NNG
도입예산을	도입예산/NNG+을/JKO
감액한	감액하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

저상버스는	저상버스/NNG+는/JX
장애인·고령자	장애인/NNG+·/SP+고령자/NNG
등	등/NNB
교통약자의	교통약자/NNG+의/JKG
이동편의를	이동편의/NNG+를/JKO
증진시키고,	증진/NNG+시키/XSV+고/EC+,/SP
손쉽게	손쉽/VA+게/EC
승·하차	승/NNG+·/SP+하차/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
계단을	계단/NNG+을/JKO
없애고	없애/VV+고/EC
리프트를	리프트/NNG+를/JKO
설치한	설치하/VV+ㄴ/ETM
버스다	버스다/NNG

서울시는	서울시/NNP+는/JX
지난해	지난해/NNG
신규로	신규/NNG+로/JKB
370대의	370/SN+대/NNB+의/JKG
저상버스를	저상버스/NNG+를/JKO
도입할	도입하/VV+ㄹ/ETM
계획이었고,	계획/NNG+이/VCP+었/EP+고/EC+,/SP
146억	146/SN+억/NR
800만원의	800/SN+만/NR+원/NNB+의/JKG
국고	국고/NNG
보조	보조/NNG
예산을	예산/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

하지만	하지만/MAJ
서울시가	서울시/NNP+가/JKS
지난해	지난해/NNG
12월	12/SN+월/NNB
저상버스	저상버스/NNG
도입예산을	도입예산/NNG+을/JKO
대폭	대폭/MAG
삭감해	삭감하/VV+여/EC
370대	370/SN+대/NNB
중	중/NNB
199대의	199/SN+대/NNB+의/JKG
저상버스만	저상버스/NNG+만/JX
도입한	도입하/VV+ㄴ/ETM
것	것/NNB

정당하게	정당하/VA+게/EC
보조사업의	보조사업/NNG+의/JKG
내용을	내용/NNG+을/JKO
변경할	변경하/VV+ㄹ/ETM
경우	경우/NNG
주무부처의	주무부처/NNG+의/JKG
승인을	승인/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
행해져야	행하/VV+여/EC+지/VX+어야/EC
하지만,	하/VX+지만/EC+,/SP
서울시는	서울시/NNP+는/JX
국토부와	국토부/NNG+와/JC
사전협의	사전협의/NNG
조차	조차/JX
하지	하/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

‘보조금	‘/SL+보조금/NNG
관리에	관리/NNG+에/JKB
