"복지인력개발원,	"/SS+복지인력개발/NNG+원/XSN+,/SP
시스템	시스템/NNG
관리	관리/NNG
부실"	부실/NNG+"/SS
지적	지적/NNG

보건복지분야	보건복지분야/NNG
전문교육기관인	전문교육기관/NNG+이/VCP+ㄴ/ETM
한국보건복지인력개발원이	한국보건복지인력개발원/NNP+이/JKS
시스템	시스템/NNG
관리부실로	관리부실/NNG+로/JKB
인해	인하/VV+여/EC
1달여	1/SN+달/NNB+여/XSN
간	간/NNB
온라인교육이	온라인교육/NNG+이/JKS
중단되고,	중단되/VV+고/EC+,/SP
대량의	대량/NNG+의/JKG
DB(데이터베이스)가	DB/SL+(/SS+데이터베이스/NNG+)/SS+가/JKS
통째로	통째/NNG+로/JKB
유실	유실/NNG
된	되/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
밝혀졌다	밝혀지/VV+었/EP+다/EF

한국보건복지인력개발원이	한국보건복지인력개발원/NNP+이/JKS
국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
이학영	이학영/NNP
의원(민주통합당)에게	의원/NNG+(/SS+민주통합당/NNP+)/SS+에게/JKB
제출한	제출하/VV+ㄴ/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
4일	4/SN+일/NNB
보건복지인력개발원의	보건복지인력개발/NNG+원/XSN+의/JKG
사이버교육	사이버교육/NNG
시스템의	시스템/NNG+의/JKG
하드디스크가	하드디스크/NNG+가/JKS
완전히	완전히/MAG
손상되는	손상되/VV+는/ETM
사고가	사고/NNG+가/JKS
발생해	발생하/VV+여/EC
회원	회원/NNG
DB	DB/SL
3만	3/SN+만/NR
건,	건/NNB+,/SP
수강이력	수강이력/NNG
DB	DB/SL
13만	13/SN+만/NR
건,	건/NNB+,/SP
영문	영문/NNG
홈페이지가	홈페이지/NNG+가/JKS
유실됐다	유실되/VV+었/EP+다/EF

또한	또한/MAG
백업해놓은	백업하/VV+여/EC+놓/VX+은/ETM
DB도	DB/SL+도/JX
새로운	새롭/VA+ㄴ/ETM
시스템과	시스템/NNG+과/JC
호환이	호환/NNG+이/JKS
되지	되/VV+지/EC
않아	않/VX+아/EC
무용지물이	무용지물/NNG+이/JKC
되어	되/VV+어/EC
버렸고,	버리/VX+었/EP+고/EC+,/SP
사고	사고/NNG
직후	직후/NNG
중단된	중단되/VV+ㄴ/ETM
온라인	온라인/NNG
교육은	교육/NNG+은/JX
1달여가	1/SN+달/NNB+여/XSN+가/JKS
지난	지나/VV+ㄴ/ETM
30일에야	30/SN+일/NNB+에/JKB+야/JX
겨우	겨우/MAG
교육이	교육/NNG+이/JKS
재게	재/VA+게/EC
된	되/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

현재	현재/MAG
한국보건복지인력개발원은	한국보건복지인력개발원/NNP+은/JX
연간	연간/NNG
3만	3/SN+만/NR
3천명의	3/SN+천/NR+명/NNB+의/JKG
보건복지분야	보건복지분야/NNG
공무원들과	공무원/NNG+들/XSN+과/JC
민간전문가를	민간전문가/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
62개	62/SN+개/NNB
과정,	과정/NNG+,/SP
271회에	271/SN+회/NNB+에/JKB
달하는	달하/VV+는/ETM
온라인교육을	온라인교육/NNG+을/JKO
실시하고	실시하/VV+고/EC
있다	있/VX+다/EC

DB	DB/SL
서버는	서버/NNG+는/JX
사용빈도가	사용빈도/NNG+가/JKS
높은	높/VA+은/ETM
시스템인데도	시스템/NNG+이/VCP+ㄴ데/EC+도/JX
불구하고	불구하/VV+고/EC
보건복지인력개발원은	보건복지인력개발/NNG+원/XSN+은/JX
하드웨어에	하드웨어/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모니터링을	모니터링/NNG+을/JKO
하지	하/VV+지/EC
않아	않/VX+아/EC
하드디스크가	하드디스크/NNG+가/JKS
완전히	완전히/MAG
손상될	손상되/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
모르고	모르/VV+고/EC
있었다	있/VX+었/EP+다/EF

이학영	이학영/NNP
의원은	의원/NNG+은/JX
모니터링을	모니터링/NNG+을/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
등	등/NNB
관리	관리/NNG
부실로	부실/NNG+로/JKB
보건복지인력개발원의	보건복지인력개발/NNG+원/XSN+의/JKG
시스템	시스템/NNG
21개	21/SN+개/NNB
중	중/NNB
5년	5/SN+년/NNB
이상	이상/NNG
된	되/VV+ㄴ/ETM
것이	것/NNB+이/JKS
총	총/MM
7개로	7/SN+개/NNB+로/JKB
노후	노후/NNG
장비가	장비/NNG+가/JKS
1/3이나	1/SN+//SP+3/SN+이나/JX
된다는	되/VV+ㄴ다는/ETM
사실도	사실/NNG+도/JX
모르고	모르/VV+고/EC
있었다고	있/VX+었/EP+다고/EC
지적했다	지적하/VV+였/EP+다/EF

이	이/MM
의원은	의원/NNG+은/JX
“교육전문기관인	“/SL+교육전문기관/NNG+이/VCP+ㄴ/ETM
보건복지인력개발원에서	보건복지인력개발/NNG+원/XSN+에서/JKB
DB유실	DB/SL+유실/NNG
사고가	사고/NNG+가/JKS
발생하고	발생하/VV+고/EC
온라인	온라인/NNG
교육업무가	교육업무/NNG+가/JKS
마비된	마비되/VV+ㄴ/ETM
것은	것/NNB+은/JX
그동안	그동안/NNG
시스템	시스템/NNG
관리가	관리/NNG+가/JKS
얼마나	얼마나/MAG
허술했는지를	허술하/VV+였/EP+는지/EC+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것”이라면서	것/NNB+”/SL+이/VCP+라면서/EC
“네트워크와	“/SL+네트워크/NNG+와/JC
시스템을	시스템/NNG+을/JKO
종합적으로	종합적/NNG+으로/JKB
모니터링하고	모니터링/NNG+하/XSV+고/EC
관리할	관리하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
개선책	개선책/NNG
마련이	마련/NNG+이/JKS
시급하다”고	시급하/VA+다/EC+”/SN+고/JKQ
강조했다	강조하/VV+였/EP+다/EC
